"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.02G031800.1","GO:0007018","microtubule-based movement",84,3,0.07,3.8e-05,"BP",4.42021640338319
"Ceric.02G031800.1","GO:0042546","cell wall biogenesis",35,1,0.03,0.03,"BP",1.52287874528034
"Ceric.03G020800.1","GO:0030091","protein repair",7,1,0.01,0.0061,"BP",2.21467016498923
"Ceric.03G020800.1","GO:0006241","CTP biosynthetic process",8,1,0.01,0.007,"BP",2.15490195998574
"Ceric.03G020800.1","GO:0006183","GTP biosynthetic process",8,1,0.01,0.007,"BP",2.15490195998574
"Ceric.03G020800.1","GO:0006228","UTP biosynthetic process",8,1,0.01,0.007,"BP",2.15490195998574
"Ceric.03G020800.1","GO:0019290","siderophore biosynthetic process",38,1,0.03,0.0329,"BP",1.48280410205003
"Ceric.03G020800.1","GO:0000398","mRNA splicing, via spliceosome",38,1,0.03,0.0329,"BP",1.48280410205003
"Ceric.03G020800.1","GO:0009664","plant-type cell wall organization",47,1,0.04,0.0406,"BP",1.39147396642281
"Ceric.04G085600.1","GO:0045893","positive regulation of DNA-templated tra...",6,1,0.01,0.006,"BP",2.22184874961636
"Ceric.04G105500.1","GO:0006873","intracellular monoatomic ion homeostasis",10,1,0.01,0.0063,"BP",2.20065945054642
"Ceric.04G105500.1","GO:0009725","response to hormone",55,1,0.03,0.034,"BP",1.46852108295774
"Ceric.07G045100.1","GO:0006913","nucleocytoplasmic transport",59,1,0.02,0.022,"BP",1.65757731917779
"Ceric.07G045100.1","GO:0007264","small GTPase-mediated signal transductio...",92,1,0.03,0.034,"BP",1.46852108295774
"Ceric.10G011000.1","GO:0031122","cytoplasmic microtubule organization",19,1,0.01,0.014,"BP",1.85387196432176
"Ceric.10G011000.1","GO:0007020","microtubule nucleation",20,1,0.02,0.015,"BP",1.82390874094432
"Ceric.10G011000.1","GO:0006413","translational initiation",31,1,0.02,0.023,"BP",1.63827216398241
"Ceric.10G011000.1","GO:0006412","translation",449,3,0.34,0.025,"BP",1.60205999132796
"Ceric.10G068300.1","GO:0019290","siderophore biosynthetic process",38,1,0.01,0.0095,"BP",2.02227639471115
"Ceric.10G068300.1","GO:0007264","small GTPase-mediated signal transductio...",92,1,0.02,0.0229,"BP",1.64016451766011
"Ceric.10G068300.1","GO:0006886","intracellular protein transport",194,1,0.05,0.0481,"BP",1.31785492362617
"Ceric.11G077600.1","GO:0032012","regulation of ARF protein signal transdu...",5,1,0.01,0.005,"BP",2.30102999566398
"Ceric.11G077600.1","GO:0006886","intracellular protein transport",194,2,0.19,0.015,"BP",1.82390874094432
"Ceric.11G077600.1","GO:0006486","protein glycosylation",37,1,0.04,0.037,"BP",1.431798275933
"Ceric.11G077600.1","GO:0006418","tRNA aminoacylation for protein translat...",44,1,0.04,0.043,"BP",1.36653154442041
"Ceric.11G077600.1","GO:0006096","glycolytic process",48,1,0.05,0.047,"BP",1.32790214206428
"Ceric.12G014800.1","GO:0006952","defense response",34,2,0.03,0.00037,"BP",3.431798275933
"Ceric.12G014800.1","GO:0006749","glutathione metabolic process",8,1,0.01,0.00701,"BP",2.15428198203334
"Ceric.12G014800.1","GO:0006075","(1->3)-beta-D-glucan biosynthetic proces...",16,1,0.01,0.01397,"BP",1.85480359388582
"Ceric.12G095800.1","GO:0007096","regulation of exit from mitosis",1,1,0,0.00063,"BP",3.20065945054642
"Ceric.12G095800.1","GO:0007018","microtubule-based movement",84,2,0.05,0.00107,"BP",2.97061622231479
"Ceric.12G095800.1","GO:0046856","phosphatidylinositol dephosphorylation",16,1,0.01,0.01,"BP",2
"Ceric.12G095800.1","GO:0006508","proteolysis",353,2,0.22,0.01789,"BP",1.74738965943263
