"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.13G071000.1","GO:0009664","plant-type cell wall organization",47,2,0.05,0.0012,"BP",2.92081875395238
"Ceric.13G071000.1","GO:0031122","cytoplasmic microtubule organization",19,1,0.02,0.0213,"BP",1.67162039656126
"Ceric.13G071000.1","GO:0046274","lignin catabolic process",19,1,0.02,0.0213,"BP",1.67162039656126
"Ceric.13G071000.1","GO:0007020","microtubule nucleation",20,1,0.02,0.0224,"BP",1.64975198166584
"Ceric.13G071000.1","GO:0006334","nucleosome assembly",20,1,0.02,0.0224,"BP",1.64975198166584
"Ceric.17G019100.1","GO:0006166","purine ribonucleoside salvage",2,1,0,0.0015,"BP",2.82390874094432
"Ceric.17G019100.1","GO:0006850","mitochondrial pyruvate transmembrane tra...",3,1,0,0.0023,"BP",2.63827216398241
"Ceric.17G019100.1","GO:0006352","DNA-templated transcription initiation",37,1,0.03,0.0275,"BP",1.56066730616974
"Ceric.17G023000.1","GO:0006694","steroid biosynthetic process",27,1,0.01,0.0068,"BP",2.16749108729376
"Ceric.17G023000.1","GO:0042545","cell wall modification",70,1,0.02,0.0175,"BP",1.75696195131371
"Ceric.17G048700.1","GO:0042545","cell wall modification",70,3,0.11,0.00013,"BP",3.88605664769316
"Ceric.17G048700.1","GO:0006542","glutamine biosynthetic process",6,1,0.01,0.009,"BP",2.04575749056068
"Ceric.17G048700.1","GO:0006979","response to oxidative stress",110,2,0.17,0.01138,"BP",1.94385773794095
"Ceric.17G048700.1","GO:0031122","cytoplasmic microtubule organization",19,1,0.03,0.02825,"BP",1.54898154784454
"Ceric.17G048700.1","GO:0007020","microtubule nucleation",20,1,0.03,0.02971,"BP",1.52709734819634
"Ceric.17G050800.1","GO:0006355","regulation of DNA-templated transcriptio...",607,2,0.3,0.031,"BP",1.50863830616573
"Ceric.17G050800.1","GO:0006260","DNA replication",78,1,0.04,0.039,"BP",1.4089353929735
"Ceric.17G050800.1","GO:0007049","cell cycle",100,1,0.05,0.049,"BP",1.30980391997149
"Ceric.1Z138800.1","GO:0006334","nucleosome assembly",20,1,0.01,0.01,"BP",2
"Ceric.1Z138800.1","GO:0010411","xyloglucan metabolic process",21,1,0.01,0.01,"BP",2
"Ceric.1Z138800.1","GO:0042546","cell wall biogenesis",35,1,0.02,0.017,"BP",1.76955107862173
"Ceric.1Z138800.1","GO:0042545","cell wall modification",70,1,0.04,0.035,"BP",1.45593195564972
"Ceric.1Z139800.1","GO:0070588","calcium ion transmembrane transport",13,1,0.01,0.0097,"BP",2.01322826573376
"Ceric.1Z139800.1","GO:0006950","response to stress",409,2,0.31,0.0343,"BP",1.46470587995723
"Ceric.1Z211400.1","GO:0009408","response to heat",13,1,0.01,0.0065,"BP",2.18708664335714
"Ceric.1Z211400.1","GO:0016485","protein processing",14,1,0.01,0.007,"BP",2.15490195998574
"Ceric.1Z211400.1","GO:0007018","microtubule-based movement",84,1,0.04,0.0415,"BP",1.38195190328791
"Ceric.20G064100.1","GO:0006556","S-adenosylmethionine biosynthetic proces...",5,1,0,0.0044,"BP",2.35654732351381
"Ceric.20G064100.1","GO:0006559","L-phenylalanine catabolic process",8,1,0.01,0.007,"BP",2.15490195998574
"Ceric.20G064100.1","GO:0006555","methionine metabolic process",12,1,0.01,0.0105,"BP",1.97881070093006
"Ceric.20G064100.1","GO:0008152","metabolic process",5817,7,5.11,0.0345,"BP",1.46218090492673
"Ceric.21G001400.1","GO:0006508","proteolysis",353,2,0.27,0.026,"BP",1.58502665202918
"Ceric.21G001400.1","GO:0006096","glycolytic process",48,1,0.04,0.036,"BP",1.44369749923271
"Ceric.22G041500.1","GO:0006108","malate metabolic process",13,1,0.01,0.0065,"BP",2.18708664335714
"Ceric.22G049900.1","GO:0019427","acetyl-CoA biosynthetic process from ace...",2,1,0,0.0015,"BP",2.82390874094432
"Ceric.22G049900.1","GO:0006006","glucose metabolic process",21,1,0.02,0.0157,"BP",1.80410034759077
"Ceric.22G049900.1","GO:0006508","proteolysis",353,2,0.27,0.0261,"BP",1.58335949266172
"Ceric.24G077200.1","GO:0046856","phosphatidylinositol dephosphorylation",16,1,0,0.004,"BP",2.39794000867204
"Ceric.26G061600.1","GO:0007034","vacuolar transport",18,1,0,0.0045,"BP",2.34678748622466
"Ceric.26G061600.1","GO:0006633","fatty acid biosynthetic process",86,1,0.02,0.0215,"BP",1.66756154008439
"Ceric.29G023400.1","GO:0046856","phosphatidylinositol dephosphorylation",16,1,0.01,0.008,"BP",2.09691001300806
"Ceric.29G023400.1","GO:0006855","xenobiotic transmembrane transport",28,1,0.01,0.014,"BP",1.85387196432176
"Ceric.29G023400.1","GO:0009664","plant-type cell wall organization",47,1,0.02,0.023,"BP",1.63827216398241
"Ceric.29G050300.1","GO:0048193","Golgi vesicle transport",36,2,0.01,0.0048,"BP",2.31875876262441
"Ceric.29G050300.1","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",17,1,0.01,0.0064,"BP",2.19382002601611
"Ceric.29G050300.1","GO:0009765","photosynthesis, light harvesting",44,1,0.02,0.0165,"BP",1.78251605578609
"Ceric.29G082500.1","GO:0006556","S-adenosylmethionine biosynthetic proces...",5,1,0,0.0019,"BP",2.72124639904717
"Ceric.30G028700.1","GO:0019310","inositol catabolic process",2,1,0,0.001,"BP",3
"Ceric.35G028100.1","GO:0006486","protein glycosylation",37,1,0.01,0.014,"BP",1.85387196432176
"Ceric.35G028100.1","GO:0042545","cell wall modification",70,1,0.03,0.026,"BP",1.58502665202918
"Ceric.38G021900.1","GO:0001932","regulation of protein phosphorylation",21,2,0.01,6.6e-06,"BP",5.18045606445813
"hubs","GO:0006873","intracellular monoatomic ion homeostasis",10,1,0.01,0.012,"BP",1.92081875395238
"hubs","GO:0046856","phosphatidylinositol dephosphorylation",16,1,0.02,0.02,"BP",1.69897000433602
"hubs","GO:0006006","glucose metabolic process",21,1,0.03,0.026,"BP",1.58502665202918
"hubs","GO:0006855","xenobiotic transmembrane transport",28,1,0.04,0.035,"BP",1.45593195564972
