"hubGene","genes","cor"
"Ceric.35G028100.1","Ceric.35G028100.1",1
"Ceric.35G028100.1","Ceric.20G077700.1",0.888
"Ceric.35G028100.1","Ceric.10G000700.1",0.885
"Ceric.35G028100.1","Ceric.21G007600.1",0.885
"Ceric.35G028100.1","Ceric.30G050100.1",0.883
"Ceric.35G028100.1","Ceric.06G019100.1",0.879
"Ceric.35G028100.1","Ceric.11G018200.1",0.879
"Ceric.35G028100.1","Ceric.20G026400.1",0.879
"Ceric.35G028100.1","Ceric.07G034400.1",0.877
"Ceric.35G028100.1","Ceric.03G065300.1",0.876
"Ceric.10G068300.1","Ceric.10G068300.1",1
"Ceric.10G068300.1","Ceric.37G021900.1",0.875
"Ceric.10G068300.1","Ceric.28G065900.1",0.861
"Ceric.10G068300.1","Ceric.10G068000.1",0.847
"Ceric.10G068300.1","Ceric.31G025400.1",0.846
"Ceric.10G068300.1","Ceric.17G062200.1",0.844
"Ceric.10G068300.1","Ceric.13G070400.1",0.84
"Ceric.10G068300.1","Ceric.18G085300.1",0.839
"Ceric.10G068300.1","Ceric.24G027800.1",0.833
"Ceric.10G068300.1","Ceric.20G007200.1",0.83
"Ceric.38G021900.1","Ceric.38G021900.1",1
"Ceric.38G021900.1","Ceric.08G000800.1",0.891
"Ceric.38G021900.1","Ceric.16G071900.1",0.886
"Ceric.38G021900.1","Ceric.32G020900.1",0.886
"Ceric.38G021900.1","Ceric.29G054900.1",0.881
"Ceric.38G021900.1","Ceric.02G106100.1",0.88
"Ceric.38G021900.1","Ceric.07G020100.1",0.88
"Ceric.38G021900.1","Ceric.22G074700.1",0.879
"Ceric.38G021900.1","Ceric.08G068400.1",0.878
"Ceric.38G021900.1","Ceric.01G015100.1",0.877
"Ceric.04G085600.1","Ceric.04G085600.1",1
"Ceric.04G085600.1","Ceric.04G070700.1",0.844
"Ceric.04G085600.1","Ceric.03G025300.1",0.829
"Ceric.04G085600.1","Ceric.03G073900.1",0.826
"Ceric.04G085600.1","Ceric.08G069200.1",0.821
"Ceric.04G085600.1","Ceric.26G014100.1",0.82
"Ceric.04G085600.1","Ceric.11G068800.1",0.817
"Ceric.04G085600.1","Ceric.04G087600.1",0.815
"Ceric.04G085600.1","Ceric.24G060700.1",0.812
"Ceric.04G085600.1","Ceric.02G068300.1",0.81
"Ceric.04G085600.1","Ceric.26G040900.1",0.81
"Ceric.04G085600.1","Ceric.15G043200.1",0.809
"Ceric.04G085600.1","Ceric.21G056300.1",0.809
"Ceric.04G085600.1","Ceric.10G069400.1",0.806
"Ceric.04G085600.1","Ceric.07G000700.1",0.805
"Ceric.04G085600.1","Ceric.33G060800.1",0.805
"Ceric.04G085600.1","Ceric.01G051400.1",0.803
"Ceric.04G085600.1","Ceric.01G093300.1",0.802
"Ceric.04G085600.1","Ceric.10G029300.1",0.801
"Ceric.04G085600.1","Ceric.35G021300.1",0.8
"Ceric.22G049900.1","Ceric.22G049900.1",1
"Ceric.22G049900.1","Ceric.31G012200.1",0.91
"Ceric.22G049900.1","Ceric.07G059300.1",0.851
"Ceric.22G049900.1","Ceric.11G082900.1",0.848
"Ceric.22G049900.1","Ceric.13G046100.1",0.84
"Ceric.22G049900.1","Ceric.19G022500.1",0.838
