"hubGene","genes","cor"
"Ceric.10G068300.1","Ceric.10G068300.1",1
"Ceric.10G068300.1","Ceric.37G021900.1",0.875
"Ceric.10G068300.1","Ceric.28G065900.1",0.861
"Ceric.10G068300.1","Ceric.10G068000.1",0.847
"Ceric.10G068300.1","Ceric.31G025400.1",0.846
"Ceric.10G068300.1","Ceric.17G062200.1",0.844
"Ceric.10G068300.1","Ceric.13G070400.1",0.84
"Ceric.10G068300.1","Ceric.18G085300.1",0.839
"Ceric.10G068300.1","Ceric.24G027800.1",0.833
"Ceric.10G068300.1","Ceric.20G007200.1",0.83
"Ceric.35G028100.1","Ceric.35G028100.1",1
"Ceric.35G028100.1","Ceric.20G077700.1",0.888
"Ceric.35G028100.1","Ceric.10G000700.1",0.885
"Ceric.35G028100.1","Ceric.21G007600.1",0.885
"Ceric.35G028100.1","Ceric.30G050100.1",0.883
"Ceric.35G028100.1","Ceric.06G019100.1",0.879
"Ceric.35G028100.1","Ceric.11G018200.1",0.879
"Ceric.35G028100.1","Ceric.20G026400.1",0.879
"Ceric.35G028100.1","Ceric.07G034400.1",0.877
"Ceric.35G028100.1","Ceric.03G065300.1",0.876
"Ceric.30G028700.1","Ceric.30G028700.1",1
"Ceric.30G028700.1","Ceric.23G011900.1",0.805
"Ceric.30G028700.1","Ceric.12G073900.1",0.786
"Ceric.30G028700.1","Ceric.28G000700.1",0.781
"Ceric.30G028700.1","Ceric.36G011200.1",0.775
"Ceric.30G028700.1","Ceric.27G026000.1",0.771
"Ceric.30G028700.1","Ceric.18G045700.1",0.77
"Ceric.30G028700.1","Ceric.10G034100.1",0.767
"Ceric.30G028700.1","Ceric.09G067500.1",0.764
"Ceric.30G028700.1","Ceric.12G022900.1",0.762
"Ceric.1Z211400.1","Ceric.1Z211400.1",1
"Ceric.1Z211400.1","Ceric.1Z170800.1",0.751
"Ceric.1Z211400.1","Ceric.19G075300.1",0.75
"Ceric.1Z211400.1","Ceric.30G000500.1",0.743
"Ceric.1Z211400.1","Ceric.07G005700.1",0.742
"Ceric.1Z211400.1","Ceric.35G006200.1",0.741
"Ceric.1Z211400.1","Ceric.13G027800.1",0.74
"Ceric.1Z211400.1","Ceric.1Z035100.1",0.734
"Ceric.1Z211400.1","Ceric.17G027900.1",0.729
"Ceric.1Z211400.1","Ceric.14G059800.1",0.728
"Ceric.17G050800.1","Ceric.17G050800.1",1
"Ceric.17G050800.1","Ceric.1Z063700.1",0.856
"Ceric.17G050800.1","Ceric.33G047200.1",0.844
"Ceric.17G050800.1","Ceric.13G051200.1",0.837
"Ceric.17G050800.1","Ceric.01G011000.1",0.835
"Ceric.17G050800.1","Ceric.07G020500.1",0.834
"Ceric.17G050800.1","Ceric.33G018300.1",0.833
"Ceric.17G050800.1","Ceric.05G100700.1",0.83
"Ceric.17G050800.1","Ceric.1Z064000.1",0.83
"Ceric.17G050800.1","Ceric.05G006900.1",0.828
"Ceric.17G050800.1","Ceric.06G037000.1",0.828
"Ceric.17G050800.1","Ceric.01G055300.1",0.827
"Ceric.17G050800.1","Ceric.27G054500.1",0.826
"Ceric.17G050800.1","Ceric.27G025700.1",0.825
"Ceric.17G050800.1","Ceric.25G054900.1",0.824
"Ceric.17G050800.1","Ceric.02G009300.1",0.823
"Ceric.17G050800.1","Ceric.1Z099500.1",0.823
"Ceric.17G050800.1","Ceric.20G054400.1",0.821
"Ceric.17G050800.1","Ceric.23G037600.1",0.821
"Ceric.17G050800.1","Ceric.10G051900.1",0.82
"Ceric.17G050800.1","Ceric.11G046600.1",0.82
"Ceric.17G050800.1","Ceric.35G028100.1",0.82
"Ceric.17G050800.1","Ceric.11G034200.1",0.817
"Ceric.17G050800.1","Ceric.18G032800.1",0.817
"Ceric.17G050800.1","Ceric.27G031100.1",0.816
"Ceric.17G050800.1","Ceric.11G065900.1",0.815
"Ceric.17G050800.1","Ceric.06G049500.1",0.814
"Ceric.17G050800.1","Ceric.19G016400.1",0.814
"Ceric.17G050800.1","Ceric.04G093200.1",0.813
"Ceric.17G050800.1","Ceric.14G042700.1",0.813
"Ceric.11G077600.1","Ceric.11G077600.1",1
"Ceric.11G077600.1","Ceric.33G016000.1",0.885
"Ceric.11G077600.1","Ceric.11G032000.1",0.875
"Ceric.11G077600.1","Ceric.13G011400.1",0.866
"Ceric.11G077600.1","Ceric.16G036300.1",0.863
"Ceric.11G077600.1","Ceric.01G004000.1",0.857
"Ceric.11G077600.1","Ceric.07G056200.1",0.842
"Ceric.11G077600.1","Ceric.34G017500.1",0.841
"Ceric.11G077600.1","Ceric.37G062500.1",0.838
"Ceric.11G077600.1","Ceric.15G051500.1",0.833
"Ceric.38G021900.1","Ceric.38G021900.1",1
"Ceric.38G021900.1","Ceric.08G000800.1",0.891
"Ceric.38G021900.1","Ceric.16G071900.1",0.886
"Ceric.38G021900.1","Ceric.32G020900.1",0.886
"Ceric.38G021900.1","Ceric.29G054900.1",0.881
"Ceric.38G021900.1","Ceric.02G106100.1",0.88
"Ceric.38G021900.1","Ceric.07G020100.1",0.88
"Ceric.38G021900.1","Ceric.22G074700.1",0.879
"Ceric.38G021900.1","Ceric.08G068400.1",0.878
"Ceric.38G021900.1","Ceric.01G015100.1",0.877
"Ceric.04G085600.1","Ceric.04G085600.1",1
"Ceric.04G085600.1","Ceric.04G070700.1",0.844
"Ceric.04G085600.1","Ceric.03G025300.1",0.829
"Ceric.04G085600.1","Ceric.03G073900.1",0.826
"Ceric.04G085600.1","Ceric.08G069200.1",0.821
"Ceric.04G085600.1","Ceric.26G014100.1",0.82
"Ceric.04G085600.1","Ceric.11G068800.1",0.817
"Ceric.04G085600.1","Ceric.04G087600.1",0.815
"Ceric.04G085600.1","Ceric.24G060700.1",0.812
"Ceric.04G085600.1","Ceric.02G068300.1",0.81
"Ceric.04G085600.1","Ceric.26G040900.1",0.81
"Ceric.04G085600.1","Ceric.15G043200.1",0.809
"Ceric.04G085600.1","Ceric.21G056300.1",0.809
"Ceric.04G085600.1","Ceric.10G069400.1",0.806
"Ceric.04G085600.1","Ceric.07G000700.1",0.805
"Ceric.04G085600.1","Ceric.33G060800.1",0.805
"Ceric.04G085600.1","Ceric.01G051400.1",0.803
"Ceric.04G085600.1","Ceric.01G093300.1",0.802
"Ceric.04G085600.1","Ceric.10G029300.1",0.801
"Ceric.04G085600.1","Ceric.35G021300.1",0.8
"Ceric.17G048700.1","Ceric.17G048700.1",1
"Ceric.17G048700.1","Ceric.11G007100.1",0.888
"Ceric.17G048700.1","Ceric.12G069000.1",0.871
"Ceric.17G048700.1","Ceric.09G089900.1",0.869
"Ceric.17G048700.1","Ceric.30G034400.1",0.855
"Ceric.17G048700.1","Ceric.15G072700.1",0.854
"Ceric.17G048700.1","Ceric.26G030800.1",0.852
"Ceric.17G048700.1","Ceric.30G016400.1",0.85
"Ceric.17G048700.1","Ceric.03G032600.1",0.847
"Ceric.17G048700.1","Ceric.18G062700.1",0.846
"Ceric.17G048700.1","Ceric.38G045600.1",0.845
"Ceric.17G048700.1","Ceric.02G024000.1",0.844
"Ceric.17G048700.1","Ceric.14G053100.1",0.843
"Ceric.17G048700.1","Ceric.07G056800.1",0.841
"Ceric.17G048700.1","Ceric.14G054500.1",0.841
"Ceric.17G048700.1","Ceric.12G046100.1",0.839
"Ceric.17G048700.1","Ceric.1Z240700.1",0.839
"Ceric.17G048700.1","Ceric.21G056400.1",0.839
"Ceric.17G048700.1","Ceric.02G038400.1",0.837
"Ceric.17G048700.1","Ceric.08G069200.1",0.834
"Ceric.17G048700.1","Ceric.07G008800.1",0.833
"Ceric.17G048700.1","Ceric.38G055500.1",0.83
