"hubGene","genes","cor"
"Ceric.10G068300.1","Ceric.10G068300.1",1
"Ceric.10G068300.1","Ceric.37G021900.1",0.875
"Ceric.10G068300.1","Ceric.28G065900.1",0.861
"Ceric.10G068300.1","Ceric.10G068000.1",0.847
"Ceric.10G068300.1","Ceric.31G025400.1",0.846
"Ceric.10G068300.1","Ceric.17G062200.1",0.844
"Ceric.10G068300.1","Ceric.13G070400.1",0.84
"Ceric.10G068300.1","Ceric.18G085300.1",0.839
"Ceric.10G068300.1","Ceric.24G027800.1",0.833
"Ceric.10G068300.1","Ceric.20G007200.1",0.83
"Ceric.20G064100.1","Ceric.20G064100.1",1
"Ceric.20G064100.1","Ceric.1Z168700.1",0.838
"Ceric.20G064100.1","Ceric.13G025100.1",0.836
"Ceric.20G064100.1","Ceric.01G053500.1",0.804
"Ceric.20G064100.1","Ceric.29G082500.1",0.802
"Ceric.20G064100.1","Ceric.14G083300.1",0.799
"Ceric.20G064100.1","Ceric.10G043900.1",0.788
"Ceric.20G064100.1","Ceric.14G032900.1",0.788
"Ceric.20G064100.1","Ceric.23G010200.1",0.787
"Ceric.20G064100.1","Ceric.05G032100.1",0.772
"Ceric.20G064100.1","Ceric.06G042500.1",0.771
"Ceric.20G064100.1","Ceric.30G065500.1",0.771
"Ceric.20G064100.1","Ceric.21G018700.1",0.764
"Ceric.20G064100.1","Ceric.39G049700.1",0.763
"Ceric.20G064100.1","Ceric.21G086200.1",0.761
"Ceric.20G064100.1","Ceric.27G014100.1",0.76
"Ceric.20G064100.1","Ceric.10G019800.1",0.759
"Ceric.20G064100.1","Ceric.02G047600.1",0.756
"Ceric.20G064100.1","Ceric.22G010700.1",0.75
"Ceric.20G064100.1","Ceric.09G089000.1",0.749
