"hubGene","genes","cor"
"Ceric.16G069600.1","Ceric.16G069600.1",1
"Ceric.16G069600.1","Ceric.25G027300.1",0.776
"Ceric.16G069600.1","Ceric.01G018500.1",0.714
"Ceric.16G069600.1","Ceric.23G017800.1",0.71
"Ceric.16G069600.1","Ceric.06G037600.1",0.691
"Ceric.16G069600.1","Ceric.31G036600.1",0.686
"Ceric.16G069600.1","Ceric.1Z004200.1",0.679
"Ceric.16G069600.1","Ceric.1Z119300.1",0.674
"Ceric.16G069600.1","Ceric.20G091500.1",0.671
"Ceric.16G069600.1","Ceric.18G008800.1",0.669
"Ceric.1Z119300.1","Ceric.1Z119300.1",1
"Ceric.1Z119300.1","Ceric.16G055700.1",0.777
"Ceric.1Z119300.1","Ceric.38G069500.1",0.767
"Ceric.1Z119300.1","Ceric.22G062700.1",0.761
"Ceric.1Z119300.1","Ceric.03G077000.1",0.75
"Ceric.1Z119300.1","Ceric.26G066400.1",0.74
"Ceric.1Z119300.1","Ceric.39G010200.1",0.738
"Ceric.1Z119300.1","Ceric.12G027400.1",0.736
"Ceric.1Z119300.1","Ceric.27G014300.1",0.736
"Ceric.1Z119300.1","Ceric.26G037900.1",0.735
"Ceric.18G036100.1","Ceric.18G036100.1",1
"Ceric.18G036100.1","Ceric.01G018500.1",0.791
"Ceric.18G036100.1","Ceric.04G029800.1",0.773
"Ceric.18G036100.1","Ceric.24G058800.1",0.738
"Ceric.18G036100.1","Ceric.17G007600.1",0.734
"Ceric.18G036100.1","Ceric.26G031400.1",0.725
"Ceric.18G036100.1","Ceric.1Z067000.1",0.722
"Ceric.18G036100.1","Ceric.12G030600.1",0.72
"Ceric.18G036100.1","Ceric.14G090300.1",0.704
"Ceric.18G036100.1","Ceric.22G062700.1",0.704
"Ceric.18G036100.1","Ceric.25G024500.1",0.704
"Ceric.18G036100.1","Ceric.08G025600.1",0.702
"Ceric.18G036100.1","Ceric.10G058400.1",0.702
"Ceric.18G036100.1","Ceric.14G025100.1",0.7
"Ceric.18G036100.1","Ceric.33G024000.1",0.7
"Ceric.18G036100.1","Ceric.1Z030400.1",0.695
"Ceric.18G036100.1","Ceric.32G061800.1",0.689
"Ceric.18G036100.1","Ceric.15G076300.1",0.686
"Ceric.18G036100.1","Ceric.09G024300.1",0.684
"Ceric.18G036100.1","Ceric.1Z119300.1",0.684
"Ceric.18G036100.1","Ceric.03G008900.1",0.681
"Ceric.18G036100.1","Ceric.37G010100.1",0.678
"Ceric.18G036100.1","Ceric.01G128100.1",0.677
"Ceric.18G036100.1","Ceric.16G055700.1",0.677
"Ceric.18G036100.1","Ceric.35G049100.1",0.677
"Ceric.18G036100.1","Ceric.02G006300.1",0.673
"Ceric.18G036100.1","Ceric.35G045500.1",0.673
"Ceric.18G036100.1","Ceric.01G128000.1",0.67
"Ceric.18G036100.1","Ceric.01G128200.1",0.669
"Ceric.18G036100.1","Ceric.06G051900.1",0.669
"Ceric.33G032900.1","Ceric.33G032900.1",1
"Ceric.33G032900.1","Ceric.03G091800.1",0.663
"Ceric.33G032900.1","Ceric.30G006900.1",0.663
"Ceric.33G032900.1","Ceric.11G090900.1",0.628
"Ceric.33G032900.1","Ceric.10G016900.1",0.623
"Ceric.33G032900.1","Ceric.23G015300.1",0.622
"Ceric.33G032900.1","Ceric.10G017100.1",0.614
"Ceric.33G032900.1","Ceric.03G018000.1",0.611
"Ceric.33G032900.1","Ceric.35G040600.1",0.605
"Ceric.33G032900.1","Ceric.02G109000.1",0.595
