"hubGene","genes","cor"
"Ceric.16G069600.1","Ceric.16G069600.1",1
"Ceric.16G069600.1","Ceric.25G027300.1",0.776
"Ceric.16G069600.1","Ceric.01G018500.1",0.714
"Ceric.16G069600.1","Ceric.23G017800.1",0.71
"Ceric.16G069600.1","Ceric.06G037600.1",0.691
"Ceric.16G069600.1","Ceric.31G036600.1",0.686
"Ceric.16G069600.1","Ceric.1Z004200.1",0.679
"Ceric.16G069600.1","Ceric.1Z119300.1",0.674
"Ceric.16G069600.1","Ceric.20G091500.1",0.671
"Ceric.16G069600.1","Ceric.18G008800.1",0.669
"Ceric.11G001200.1","Ceric.11G001200.1",1
"Ceric.11G001200.1","Ceric.07G009300.1",0.746
"Ceric.11G001200.1","Ceric.01G099800.1",0.741
"Ceric.11G001200.1","Ceric.15G032100.1",0.74
"Ceric.11G001200.1","Ceric.01G100000.1",0.732
"Ceric.11G001200.1","Ceric.01G100200.1",0.729
"Ceric.11G001200.1","Ceric.15G008100.1",0.729
"Ceric.11G001200.1","Ceric.36G008200.1",0.729
"Ceric.11G001200.1","Ceric.01G092300.1",0.728
"Ceric.11G001200.1","Ceric.01G099900.1",0.724
"Ceric.11G001200.1","Ceric.10G041600.1",0.72
"Ceric.11G001200.1","Ceric.02G061600.1",0.711
"Ceric.11G001200.1","Ceric.06G085200.1",0.711
"Ceric.11G001200.1","Ceric.39G025100.1",0.709
"Ceric.11G001200.1","Ceric.24G034800.1",0.704
"Ceric.11G001200.1","Ceric.1Z084300.1",0.703
"Ceric.11G001200.1","Ceric.10G053700.1",0.702
"Ceric.11G001200.1","Ceric.11G089100.1",0.697
"Ceric.11G001200.1","Ceric.26G004200.1",0.695
"Ceric.11G001200.1","Ceric.21G073600.1",0.693
"Ceric.01G018500.1","Ceric.01G018500.1",1
"Ceric.01G018500.1","Ceric.04G029800.1",0.792
"Ceric.01G018500.1","Ceric.18G036100.1",0.791
"Ceric.01G018500.1","Ceric.09G028000.1",0.789
"Ceric.01G018500.1","Ceric.10G058400.1",0.785
"Ceric.01G018500.1","Ceric.22G065300.1",0.775
"Ceric.01G018500.1","Ceric.23G017800.1",0.771
"Ceric.01G018500.1","Ceric.33G018900.1",0.77
"Ceric.01G018500.1","Ceric.13G022400.1",0.767
"Ceric.01G018500.1","Ceric.16G037000.1",0.767
"Ceric.01G018500.1","Ceric.18G023700.1",0.748
"Ceric.01G018500.1","Ceric.02G006300.1",0.745
"Ceric.01G018500.1","Ceric.1Z004200.1",0.734
