"query","sum","numGenes","sum_corrected"
"Ceric.01G116000.1",10.172,20,0.5086
"Ceric.1Z072500.1",2.796,10,0.2796
"Ceric.31G037000.1",2.854,10,0.2854
"Ceric.34G011800.1",7.262,20,0.3631
"Ceric.26G010600.1",7.232,10,0.7232
"Ceric.19G025600.1",5.087,10,0.5087
"Ceric.30G051000.1",8.401,10,0.8401
"Ceric.34G055100.1",1.678,10,0.1678
"Ceric.21G017300.1",4.673,10,0.4673
"Ceric.08G035200.1",7.24,10,0.724
"Ceric.31G011800.1",1.796,10,0.1796
"Ceric.08G028400.1",4.718,10,0.4718
"Ceric.07G041400.1",1.092,10,0.1092
"Ceric.03G029200.1",6.283,10,0.6283
"hubs",2.42,14,0.172857142857143
