"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.01G116000.1","GO:0010215","cellulose microfibril organization",5,1,0,0.0025,"BP",2.60205999132796
"Ceric.01G116000.1","GO:0016049","cell growth",8,1,0,0.004,"BP",2.39794000867204
"Ceric.01G116000.1","GO:0000079","regulation of cyclin-dependent protein s...",14,1,0.01,0.007,"BP",2.15490195998574
"Ceric.01G116000.1","GO:0042254","ribosome biogenesis",61,1,0.03,0.0303,"BP",1.5185573714977
"Ceric.01G116000.1","GO:0016567","protein ubiquitination",64,1,0.03,0.0317,"BP",1.49894073778225
"Ceric.03G029200.1","GO:0010189","vitamin E biosynthetic process",3,1,0,0.0015,"BP",2.82390874094432
"Ceric.03G029200.1","GO:0032259","methylation",37,1,0.02,0.0184,"BP",1.73518217699046
"Ceric.03G029200.1","GO:0019290","siderophore biosynthetic process",38,1,0.02,0.0189,"BP",1.72353819582676
"Ceric.04G074600.1","GO:0006066","alcohol metabolic process",30,1,0.01,0.0075,"BP",2.1249387366083
"Ceric.06G079300.1","GO:0006635","fatty acid beta-oxidation",7,1,0.01,0.0088,"BP",2.05551732784983
"Ceric.06G079300.1","GO:0000103","sulfate assimilation",8,1,0.01,0.01,"BP",2
"Ceric.06G079300.1","GO:0006694","steroid biosynthetic process",27,1,0.03,0.0334,"BP",1.47625353318844
"Ceric.07G041400.1","GO:0030001","metal ion transport",166,1,0.08,0.081,"BP",1.09151498112135
"Ceric.08G028400.1","GO:0048193","Golgi vesicle transport",36,1,0.01,0.013,"BP",1.88605664769316
"Ceric.08G028400.1","GO:0006633","fatty acid biosynthetic process",86,1,0.03,0.032,"BP",1.49485002168009
"Ceric.08G028400.1","GO:0006470","protein dephosphorylation",124,1,0.05,0.046,"BP",1.33724216831843
"Ceric.08G035200.1","GO:0010215","cellulose microfibril organization",5,1,0,0.0019,"BP",2.72124639904717
"Ceric.08G035200.1","GO:0016049","cell growth",8,1,0,0.003,"BP",2.52287874528034
"Ceric.08G035200.1","GO:0006694","steroid biosynthetic process",27,1,0.01,0.0101,"BP",1.99567862621736
"Ceric.09G074900.1","GO:0006468","protein phosphorylation",1003,8,2.26,0.00083,"BP",3.08092190762393
"Ceric.09G074900.1","GO:0006635","fatty acid beta-oxidation",7,1,0.02,0.0157,"BP",1.80410034759077
"Ceric.09G074900.1","GO:0006221","pyrimidine nucleotide biosynthetic proce...",19,1,0.04,0.04209,"BP",1.37582107425198
"Ceric.09G074900.1","GO:0006355","regulation of DNA-templated transcriptio...",607,4,1.37,0.0432,"BP",1.36451625318509
"Ceric.09G074900.1","GO:0016310","phosphorylation",1036,9,2.34,0.04639,"BP",1.33357562748124
"Ceric.15G023900.1","GO:0000103","sulfate assimilation",8,1,0.01,0.007,"BP",2.15490195998574
"Ceric.15G023900.1","GO:0006072","glycerol-3-phosphate metabolic process",10,1,0.01,0.0088,"BP",2.05551732784983
"Ceric.15G023900.1","GO:0006108","malate metabolic process",13,1,0.01,0.0114,"BP",1.94309514866353
