"hubGene","genes","cor"
"Ceric.01G116000.1","Ceric.01G116000.1",1
"Ceric.01G116000.1","Ceric.21G078600.1",0.936
"Ceric.01G116000.1","Ceric.31G006600.1",0.93
"Ceric.01G116000.1","Ceric.28G067600.1",0.926
"Ceric.01G116000.1","Ceric.32G056100.1",0.909
"Ceric.01G116000.1","Ceric.01G054800.1",0.891
"Ceric.01G116000.1","Ceric.05G093300.1",0.891
"Ceric.01G116000.1","Ceric.21G002900.1",0.889
"Ceric.01G116000.1","Ceric.10G043200.1",0.881
"Ceric.01G116000.1","Ceric.13G073400.1",0.881
"Ceric.01G116000.1","Ceric.33G060000.1",0.875
"Ceric.01G116000.1","Ceric.21G087900.1",0.874
"Ceric.01G116000.1","Ceric.32G005000.1",0.873
"Ceric.01G116000.1","Ceric.24G065500.1",0.869
"Ceric.01G116000.1","Ceric.33G017000.1",0.869
"Ceric.01G116000.1","Ceric.03G028800.1",0.865
"Ceric.01G116000.1","Ceric.32G043200.1",0.864
"Ceric.01G116000.1","Ceric.19G025600.1",0.861
"Ceric.01G116000.1","Ceric.33G061400.1",0.86
"Ceric.01G116000.1","Ceric.01G060900.1",0.859
"Ceric.1Z072500.1","Ceric.1Z072500.1",1
"Ceric.1Z072500.1","Ceric.35G010100.1",0.719
"Ceric.1Z072500.1","Ceric.20G042700.1",0.705
"Ceric.1Z072500.1","Ceric.02G022700.1",0.704
"Ceric.1Z072500.1","Ceric.15G050000.1",0.703
"Ceric.1Z072500.1","Ceric.29G046800.1",0.69
"Ceric.1Z072500.1","Ceric.34G019100.1",0.686
"Ceric.1Z072500.1","Ceric.07G074400.1",0.685
"Ceric.1Z072500.1","Ceric.24G074000.1",0.685
"Ceric.1Z072500.1","Ceric.23G040100.1",0.682
"Ceric.31G037000.1","Ceric.31G037000.1",1
"Ceric.31G037000.1","Ceric.31G006600.1",0.894
"Ceric.31G037000.1","Ceric.11G098200.1",0.877
"Ceric.31G037000.1","Ceric.21G078600.1",0.862
"Ceric.31G037000.1","Ceric.30G048400.1",0.853
"Ceric.31G037000.1","Ceric.28G067600.1",0.852
"Ceric.31G037000.1","Ceric.33G060000.1",0.846
"Ceric.31G037000.1","Ceric.39G015900.1",0.845
"Ceric.31G037000.1","Ceric.39G011000.1",0.844
"Ceric.31G037000.1","Ceric.26G067000.1",0.843
"Ceric.34G011800.1","Ceric.34G011800.1",1
"Ceric.34G011800.1","Ceric.34G011700.1",0.968
"Ceric.34G011800.1","Ceric.15G059200.1",0.513
"Ceric.34G011800.1","Ceric.39G011300.1",0.471
"Ceric.34G011800.1","Ceric.38G004700.1",0.454
"Ceric.34G011800.1","Ceric.39G055300.1",0.437
"Ceric.34G011800.1","Ceric.02G081900.1",0.416
"Ceric.34G011800.1","Ceric.24G001500.1",0.414
"Ceric.34G011800.1","Ceric.20G047900.1",0.413
"Ceric.34G011800.1","Ceric.16G046500.1",0.408
"Ceric.34G011800.1","Ceric.07G008000.1",0.398
"Ceric.34G011800.1","Ceric.17G058200.1",0.392
"Ceric.34G011800.1","Ceric.07G093900.1",0.389
"Ceric.34G011800.1","Ceric.04G094100.1",0.384
"Ceric.34G011800.1","Ceric.09G093400.1",0.384
"Ceric.34G011800.1","Ceric.09G016600.1",0.383
"Ceric.34G011800.1","Ceric.39G016300.1",0.382
