Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
BF5-S5_R1_001_trimmed_1P	(50, 18767.0)	(55, 18471.0)	(60, 18020.0)	(65, 17763.0)	(70, 17973.0)	(75, 17807.0)	(80, 17639.0)	(85, 17681.0)	(90, 18055.0)	(95, 18238.0)	(100, 19263.0)	(105, 19438.0)	(110, 20187.0)	(115, 21129.0)	(120, 21132.0)	(125, 23707.0)	(130, 24369.0)	(135, 23777.0)	(140, 26266.0)	(145, 319490.0)	(150, 16447680.0)
BF5-S5_R1_001_trimmed_1U	(50, 20529.0)	(55, 22799.0)	(60, 27465.0)	(65, 32995.0)	(70, 41605.0)	(75, 52032.0)	(80, 65827.0)	(85, 80727.0)	(90, 99211.0)	(95, 120848.0)	(100, 143058.0)	(105, 167837.0)	(110, 192492.0)	(115, 225125.0)	(120, 254896.0)	(125, 292213.0)	(130, 326875.0)	(135, 362088.0)	(140, 232538.0)	(145, 21220.0)	(150, 199257.0)
BF5-S5_R1_001_trimmed_2P	(50, 28572.0)	(55, 28172.0)	(60, 29475.0)	(65, 30851.0)	(70, 29328.0)	(75, 31235.0)	(80, 32521.0)	(85, 33990.0)	(90, 34524.0)	(95, 35616.0)	(100, 36155.0)	(105, 37604.0)	(110, 39205.0)	(115, 42960.0)	(120, 44932.0)	(125, 50253.0)	(130, 52421.0)	(135, 54138.0)	(140, 58322.0)	(145, 683255.0)	(150, 15733323.0)
BF5-S5_R1_001_trimmed_2U	(50, 6016.0)	(55, 5557.0)	(60, 5253.0)	(65, 5007.0)	(70, 4600.0)	(75, 4372.0)	(80, 4282.0)	(85, 4128.0)	(90, 3837.0)	(95, 3673.0)	(100, 3628.0)	(105, 3526.0)	(110, 3488.0)	(115, 3380.0)	(120, 3443.0)	(125, 3484.0)	(130, 3331.0)	(135, 3129.0)	(140, 3295.0)	(145, 13918.0)	(150, 91825.0)
BF5-WYS_R1_001_trimmed_1P	(50, 21129.0)	(55, 20987.0)	(60, 21118.0)	(65, 20568.0)	(70, 20568.0)	(75, 20580.0)	(80, 20414.0)	(85, 20796.0)	(90, 20572.0)	(95, 21072.0)	(100, 22170.0)	(105, 22188.0)	(110, 23065.0)	(115, 24226.0)	(120, 24041.0)	(125, 26853.0)	(130, 27771.0)	(135, 27493.0)	(140, 29813.0)	(145, 378884.0)	(150, 19216459.0)
BF5-WYS_R1_001_trimmed_1U	(50, 22540.0)	(55, 23720.0)	(60, 26657.0)	(65, 30092.0)	(70, 37434.0)	(75, 46579.0)	(80, 58636.0)	(85, 73970.0)	(90, 93742.0)	(95, 119615.0)	(100, 145544.0)	(105, 175416.0)	(110, 205760.0)	(115, 243756.0)	(120, 279210.0)	(125, 320785.0)	(130, 360806.0)	(135, 401375.0)	(140, 260893.0)	(145, 38718.0)	(150, 399261.0)
BF5-WYS_R1_001_trimmed_2P	(50, 49034.0)	(55, 48446.0)	(60, 50014.0)	(65, 51378.0)	(70, 49182.0)	(75, 51734.0)	(80, 53516.0)	(85, 56251.0)	(90, 56353.0)	(95, 58167.0)	(100, 58993.0)	(105, 61014.0)	(110, 63045.0)	(115, 69013.0)	(120, 71410.0)	(125, 80217.0)	(130, 83110.0)	(135, 85109.0)	(140, 90666.0)	(145, 931723.0)	(150, 17912392.0)
BF5-WYS_R1_001_trimmed_2U	(50, 6938.0)	(55, 6294.0)	(60, 6084.0)	(65, 5582.0)	(70, 5221.0)	(75, 5035.0)	(80, 4778.0)	(85, 4551.0)	(90, 4421.0)	(95, 4170.0)	(100, 3862.0)	(105, 3885.0)	(110, 3566.0)	(115, 3735.0)	(120, 3585.0)	(125, 3670.0)	(130, 3508.0)	(135, 3409.0)	(140, 3217.0)	(145, 13490.0)	(150, 91258.0)
BF5-gam_R1_001_trimmed_1P	(50, 22189.0)	(55, 21984.0)	(60, 22025.0)	(65, 20962.0)	(70, 21029.0)	(75, 21086.0)	(80, 21542.0)	(85, 21454.0)	(90, 21686.0)	(95, 21992.0)	(100, 23488.0)	(105, 23553.0)	(110, 23966.0)	(115, 25753.0)	(120, 25219.0)	(125, 28386.0)	(130, 29392.0)	(135, 28996.0)	(140, 31716.0)	(145, 389201.0)	(150, 20323024.0)
BF5-gam_R1_001_trimmed_1U	(50, 26830.0)	(55, 29158.0)	(60, 35342.0)	(65, 43180.0)	(70, 54519.0)	(75, 70048.0)	(80, 90280.0)	(85, 115773.0)	(90, 148241.0)	(95, 187355.0)	(100, 227660.0)	(105, 269243.0)	(110, 311755.0)	(115, 369137.0)	(120, 420488.0)	(125, 479390.0)	(130, 531632.0)	(135, 585573.0)	(140, 371331.0)	(145, 29927.0)	(150, 291054.0)
BF5-gam_R1_001_trimmed_2P	(50, 40321.0)	(55, 39596.0)	(60, 40747.0)	(65, 42305.0)	(70, 39811.0)	(75, 42246.0)	(80, 44897.0)	(85, 46758.0)	(90, 46617.0)	(95, 48647.0)	(100, 49406.0)	(105, 50876.0)	(110, 52746.0)	(115, 57723.0)	(120, 60689.0)	(125, 67639.0)	(130, 70604.0)	(135, 72804.0)	(140, 77894.0)	(145, 882905.0)	(150, 19293412.0)
BF5-gam_R1_001_trimmed_2U	(50, 7276.0)	(55, 6822.0)	(60, 6536.0)	(65, 5877.0)	(70, 5677.0)	(75, 5367.0)	(80, 5260.0)	(85, 4978.0)	(90, 4634.0)	(95, 4548.0)	(100, 4344.0)	(105, 4258.0)	(110, 3999.0)	(115, 4105.0)	(120, 4002.0)	(125, 4168.0)	(130, 3940.0)	(135, 3787.0)	(140, 3797.0)	(145, 15736.0)	(150, 102191.0)
Cross-S5-1_R1_001_trimmed_1P	(50, 22303.0)	(55, 22185.0)	(60, 21977.0)	(65, 21472.0)	(70, 22231.0)	(75, 21949.0)	(80, 22012.0)	(85, 22443.0)	(90, 22551.0)	(95, 22913.0)	(100, 24611.0)	(105, 24623.0)	(110, 25992.0)	(115, 27657.0)	(120, 27372.0)	(125, 30662.0)	(130, 31765.0)	(135, 31972.0)	(140, 33858.0)	(145, 415318.0)	(150, 21027885.0)
Cross-S5-1_R1_001_trimmed_1U	(50, 28718.0)	(55, 31121.0)	(60, 35934.0)	(65, 42828.0)	(70, 52050.0)	(75, 63535.0)	(80, 78870.0)	(85, 95926.0)	(90, 117581.0)	(95, 143348.0)	(100, 171665.0)	(105, 200541.0)	(110, 230499.0)	(115, 272660.0)	(120, 309896.0)	(125, 354686.0)	(130, 398297.0)	(135, 444353.0)	(140, 290410.0)	(145, 40868.0)	(150, 419194.0)
Cross-S5-1_R1_001_trimmed_2P	(50, 52855.0)	(55, 52418.0)	(60, 54237.0)	(65, 55998.0)	(70, 53336.0)	(75, 57015.0)	(80, 59069.0)	(85, 61824.0)	(90, 62148.0)	(95, 64428.0)	(100, 65377.0)	(105, 67650.0)	(110, 69733.0)	(115, 76236.0)	(120, 80287.0)	(125, 89560.0)	(130, 92472.0)	(135, 94633.0)	(140, 101107.0)	(145, 1053073.0)	(150, 19560295.0)
Cross-S5-1_R1_001_trimmed_2U	(50, 7522.0)	(55, 6859.0)	(60, 6546.0)	(65, 6046.0)	(70, 5547.0)	(75, 5388.0)	(80, 5081.0)	(85, 4894.0)	(90, 4390.0)	(95, 4343.0)	(100, 4160.0)	(105, 4123.0)	(110, 3787.0)	(115, 3803.0)	(120, 3865.0)	(125, 3864.0)	(130, 3828.0)	(135, 3588.0)	(140, 3570.0)	(145, 14294.0)	(150, 93588.0)
Cross-S5-2_R1_001_trimmed_1P	(50, 22819.0)	(55, 22807.0)	(60, 22499.0)	(65, 22049.0)	(70, 22749.0)	(75, 22833.0)	(80, 22656.0)	(85, 22968.0)	(90, 22762.0)	(95, 23151.0)	(100, 24605.0)	(105, 25157.0)	(110, 25970.0)	(115, 27128.0)	(120, 27031.0)	(125, 30171.0)	(130, 30896.0)	(135, 31174.0)	(140, 34018.0)	(145, 433669.0)	(150, 22187851.0)
Cross-S5-2_R1_001_trimmed_1U	(50, 26774.0)	(55, 28868.0)	(60, 32930.0)	(65, 38444.0)	(70, 47232.0)	(75, 57431.0)	(80, 71653.0)	(85, 88682.0)	(90, 109605.0)	(95, 135261.0)	(100, 162533.0)	(105, 192889.0)	(110, 225245.0)	(115, 265815.0)	(120, 305455.0)	(125, 353661.0)	(130, 398498.0)	(135, 446571.0)	(140, 290607.0)	(145, 44164.0)	(150, 456378.0)
Cross-S5-2_R1_001_trimmed_2P	(50, 54200.0)	(55, 53213.0)	(60, 55611.0)	(65, 56994.0)	(70, 55065.0)	(75, 58552.0)	(80, 60589.0)	(85, 62832.0)	(90, 63012.0)	(95, 65026.0)	(100, 65767.0)	(105, 68412.0)	(110, 70588.0)	(115, 76874.0)	(120, 80392.0)	(125, 89708.0)	(130, 93084.0)	(135, 95280.0)	(140, 101233.0)	(145, 1055844.0)	(150, 20722687.0)
Cross-S5-2_R1_001_trimmed_2U	(50, 7229.0)	(55, 6626.0)	(60, 6299.0)	(65, 5769.0)	(70, 5409.0)	(75, 5301.0)	(80, 5018.0)	(85, 4801.0)	(90, 4468.0)	(95, 4383.0)	(100, 4194.0)	(105, 4110.0)	(110, 3763.0)	(115, 3805.0)	(120, 3725.0)	(125, 3988.0)	(130, 3833.0)	(135, 3688.0)	(140, 3740.0)	(145, 15013.0)	(150, 98913.0)
Cross-S5-3_R1_001_trimmed_1P	(50, 20061.0)	(55, 20067.0)	(60, 19884.0)	(65, 18958.0)	(70, 19504.0)	(75, 19167.0)	(80, 19185.0)	(85, 19394.0)	(90, 19583.0)	(95, 20004.0)	(100, 21401.0)	(105, 21926.0)	(110, 22099.0)	(115, 23701.0)	(120, 23647.0)	(125, 26435.0)	(130, 27330.0)	(135, 26609.0)	(140, 28745.0)	(145, 348587.0)	(150, 18273819.0)
Cross-S5-3_R1_001_trimmed_1U	(50, 24245.0)	(55, 26270.0)	(60, 30584.0)	(65, 36074.0)	(70, 44728.0)	(75, 56044.0)	(80, 70719.0)	(85, 86538.0)	(90, 108296.0)	(95, 136117.0)	(100, 162555.0)	(105, 188599.0)	(110, 217602.0)	(115, 258791.0)	(120, 292531.0)	(125, 336622.0)	(130, 380440.0)	(135, 420042.0)	(140, 273955.0)	(145, 29326.0)	(150, 291083.0)
Cross-S5-3_R1_001_trimmed_2P	(50, 39583.0)	(55, 38653.0)	(60, 40080.0)	(65, 41545.0)	(70, 39996.0)	(75, 42146.0)	(80, 43975.0)	(85, 46037.0)	(90, 46065.0)	(95, 47819.0)	(100, 48878.0)	(105, 50735.0)	(110, 52268.0)	(115, 57391.0)	(120, 59588.0)	(125, 66625.0)	(130, 69595.0)	(135, 71821.0)	(140, 76916.0)	(145, 838864.0)	(150, 17221526.0)
Cross-S5-3_R1_001_trimmed_2U	(50, 6703.0)	(55, 6132.0)	(60, 5813.0)	(65, 5451.0)	(70, 4939.0)	(75, 4810.0)	(80, 4633.0)	(85, 4386.0)	(90, 4169.0)	(95, 4003.0)	(100, 3901.0)	(105, 3928.0)	(110, 3508.0)	(115, 3742.0)	(120, 3561.0)	(125, 3706.0)	(130, 3502.0)	(135, 3391.0)	(140, 3358.0)	(145, 13775.0)	(150, 90820.0)
Cross-WYS-1_R1_001_trimmed_1P	(50, 21777.0)	(55, 21866.0)	(60, 21190.0)	(65, 20486.0)	(70, 20999.0)	(75, 21126.0)	(80, 21158.0)	(85, 21285.0)	(90, 21137.0)	(95, 21570.0)	(100, 23006.0)	(105, 23108.0)	(110, 23563.0)	(115, 24839.0)	(120, 25095.0)	(125, 27398.0)	(130, 28381.0)	(135, 28262.0)	(140, 30721.0)	(145, 376377.0)	(150, 19187782.0)
Cross-WYS-1_R1_001_trimmed_1U	(50, 25058.0)	(55, 27569.0)	(60, 32788.0)	(65, 39218.0)	(70, 49301.0)	(75, 61542.0)	(80, 78040.0)	(85, 96496.0)	(90, 119744.0)	(95, 147723.0)	(100, 178492.0)	(105, 208179.0)	(110, 241112.0)	(115, 281911.0)	(120, 321483.0)	(125, 366116.0)	(130, 408966.0)	(135, 450858.0)	(140, 291201.0)	(145, 31141.0)	(150, 302295.0)
Cross-WYS-1_R1_001_trimmed_2P	(50, 41700.0)	(55, 40929.0)	(60, 42512.0)	(65, 43477.0)	(70, 41844.0)	(75, 44011.0)	(80, 45899.0)	(85, 48490.0)	(90, 48327.0)	(95, 50185.0)	(100, 51212.0)	(105, 53009.0)	(110, 54807.0)	(115, 60228.0)	(120, 63434.0)	(125, 70599.0)	(130, 73590.0)	(135, 75361.0)	(140, 80916.0)	(145, 882662.0)	(150, 18097934.0)
Cross-WYS-1_R1_001_trimmed_2U	(50, 7047.0)	(55, 6518.0)	(60, 6141.0)	(65, 5692.0)	(70, 5278.0)	(75, 5108.0)	(80, 4923.0)	(85, 4602.0)	(90, 4503.0)	(95, 4255.0)	(100, 4016.0)	(105, 4016.0)	(110, 3732.0)	(115, 3840.0)	(120, 3794.0)	(125, 3994.0)	(130, 3658.0)	(135, 3661.0)	(140, 3580.0)	(145, 14780.0)	(150, 97396.0)
Cross-WYS-2_R1_001_trimmed_1P	(50, 22249.0)	(55, 21975.0)	(60, 21806.0)	(65, 21471.0)	(70, 21607.0)	(75, 21959.0)	(80, 21892.0)	(85, 21839.0)	(90, 22142.0)	(95, 22172.0)	(100, 23462.0)	(105, 23570.0)	(110, 24513.0)	(115, 25601.0)	(120, 26067.0)	(125, 28397.0)	(130, 28962.0)	(135, 28839.0)	(140, 31689.0)	(145, 392507.0)	(150, 19057424.0)
Cross-WYS-2_R1_001_trimmed_1U	(50, 20691.0)	(55, 21805.0)	(60, 24912.0)	(65, 28956.0)	(70, 35739.0)	(75, 43684.0)	(80, 55476.0)	(85, 69051.0)	(90, 86321.0)	(95, 106513.0)	(100, 128185.0)	(105, 150520.0)	(110, 175157.0)	(115, 207437.0)	(120, 236947.0)	(125, 271500.0)	(130, 305467.0)	(135, 342339.0)	(140, 222436.0)	(145, 29448.0)	(150, 283517.0)
Cross-WYS-2_R1_001_trimmed_2P	(50, 39561.0)	(55, 39436.0)	(60, 40995.0)	(65, 41922.0)	(70, 40583.0)	(75, 42791.0)	(80, 44357.0)	(85, 46555.0)	(90, 46230.0)	(95, 47909.0)	(100, 49033.0)	(105, 51103.0)	(110, 52380.0)	(115, 57157.0)	(120, 59969.0)	(125, 67607.0)	(130, 69541.0)	(135, 70826.0)	(140, 75872.0)	(145, 848161.0)	(150, 18078155.0)
Cross-WYS-2_R1_001_trimmed_2U	(50, 7071.0)	(55, 6415.0)	(60, 6115.0)	(65, 5663.0)	(70, 5299.0)	(75, 5007.0)	(80, 4862.0)	(85, 4724.0)	(90, 4557.0)	(95, 4226.0)	(100, 4148.0)	(105, 4104.0)	(110, 3859.0)	(115, 3896.0)	(120, 3890.0)	(125, 3952.0)	(130, 3823.0)	(135, 3738.0)	(140, 3589.0)	(145, 15534.0)	(150, 105091.0)
Cross-WYS-3_R1_001_trimmed_1P	(50, 22462.0)	(55, 22246.0)	(60, 22210.0)	(65, 21263.0)	(70, 21754.0)	(75, 21562.0)	(80, 21597.0)	(85, 22148.0)	(90, 22325.0)	(95, 22396.0)	(100, 24012.0)	(105, 23994.0)	(110, 24767.0)	(115, 26182.0)	(120, 25858.0)	(125, 28762.0)	(130, 29818.0)	(135, 29433.0)	(140, 32192.0)	(145, 398888.0)	(150, 20310146.0)
Cross-WYS-3_R1_001_trimmed_1U	(50, 25187.0)	(55, 27134.0)	(60, 31204.0)	(65, 36607.0)	(70, 45685.0)	(75, 56354.0)	(80, 71670.0)	(85, 90191.0)	(90, 111475.0)	(95, 138145.0)	(100, 167793.0)	(105, 196751.0)	(110, 230061.0)	(115, 271863.0)	(120, 309040.0)	(125, 353816.0)	(130, 397408.0)	(135, 440689.0)	(140, 285514.0)	(145, 32008.0)	(150, 310252.0)
Cross-WYS-3_R1_001_trimmed_2P	(50, 42564.0)	(55, 42214.0)	(60, 43905.0)	(65, 44969.0)	(70, 43171.0)	(75, 45873.0)	(80, 47391.0)	(85, 49829.0)	(90, 50085.0)	(95, 51801.0)	(100, 53158.0)	(105, 54970.0)	(110, 56915.0)	(115, 61729.0)	(120, 64947.0)	(125, 73182.0)	(130, 75770.0)	(135, 77928.0)	(140, 84355.0)	(145, 918720.0)	(150, 19190539.0)
Cross-WYS-3_R1_001_trimmed_2U	(50, 7128.0)	(55, 6547.0)	(60, 6290.0)	(65, 5892.0)	(70, 5487.0)	(75, 5223.0)	(80, 5023.0)	(85, 4855.0)	(90, 4669.0)	(95, 4440.0)	(100, 4195.0)	(105, 4157.0)	(110, 3924.0)	(115, 3948.0)	(120, 3967.0)	(125, 3948.0)	(130, 3964.0)	(135, 3588.0)	(140, 3767.0)	(145, 15523.0)	(150, 102956.0)
Cross-gam-1_R1_001_trimmed_1P	(50, 20342.0)	(55, 20193.0)	(60, 19833.0)	(65, 19486.0)	(70, 20077.0)	(75, 19517.0)	(80, 19456.0)	(85, 19835.0)	(90, 20110.0)	(95, 20202.0)	(100, 21637.0)	(105, 21830.0)	(110, 22273.0)	(115, 23713.0)	(120, 23403.0)	(125, 25880.0)	(130, 26622.0)	(135, 26451.0)	(140, 28737.0)	(145, 359664.0)	(150, 17709356.0)
Cross-gam-1_R1_001_trimmed_1U	(50, 21265.0)	(55, 22422.0)	(60, 25286.0)	(65, 28755.0)	(70, 35959.0)	(75, 43745.0)	(80, 55038.0)	(85, 71163.0)	(90, 90124.0)	(95, 114853.0)	(100, 142701.0)	(105, 169745.0)	(110, 200997.0)	(115, 237607.0)	(120, 275235.0)	(125, 315637.0)	(130, 356094.0)	(135, 392092.0)	(140, 255071.0)	(145, 33434.0)	(150, 335847.0)
Cross-gam-1_R1_001_trimmed_2P	(50, 44013.0)	(55, 43764.0)	(60, 44897.0)	(65, 45157.0)	(70, 43856.0)	(75, 46538.0)	(80, 48232.0)	(85, 49896.0)	(90, 50422.0)	(95, 52187.0)	(100, 53289.0)	(105, 54880.0)	(110, 55988.0)	(115, 61418.0)	(120, 64545.0)	(125, 71993.0)	(130, 73991.0)	(135, 75653.0)	(140, 81724.0)	(145, 843482.0)	(150, 16582692.0)
Cross-gam-1_R1_001_trimmed_2U	(50, 6595.0)	(55, 5902.0)	(60, 5745.0)	(65, 5365.0)	(70, 4901.0)	(75, 4761.0)	(80, 4611.0)	(85, 4372.0)	(90, 4173.0)	(95, 3951.0)	(100, 3789.0)	(105, 3656.0)	(110, 3478.0)	(115, 3566.0)	(120, 3331.0)	(125, 3513.0)	(130, 3557.0)	(135, 3190.0)	(140, 3189.0)	(145, 13301.0)	(150, 89273.0)
Cross-gam-2_R1_001_trimmed_1P	(50, 20650.0)	(55, 20162.0)	(60, 19928.0)	(65, 19669.0)	(70, 19839.0)	(75, 19736.0)	(80, 19431.0)	(85, 19682.0)	(90, 20126.0)	(95, 20266.0)	(100, 21490.0)	(105, 21606.0)	(110, 22409.0)	(115, 23586.0)	(120, 23492.0)	(125, 26428.0)	(130, 26657.0)	(135, 26977.0)	(140, 29366.0)	(145, 358938.0)	(150, 18047282.0)
Cross-gam-2_R1_001_trimmed_1U	(50, 22368.0)	(55, 24237.0)	(60, 28155.0)	(65, 33000.0)	(70, 40922.0)	(75, 51212.0)	(80, 65313.0)	(85, 81943.0)	(90, 101950.0)	(95, 127326.0)	(100, 153648.0)	(105, 184690.0)	(110, 216752.0)	(115, 255132.0)	(120, 291542.0)	(125, 335164.0)	(130, 373446.0)	(135, 412291.0)	(140, 265009.0)	(145, 29583.0)	(150, 291662.0)
Cross-gam-2_R1_001_trimmed_2P	(50, 39127.0)	(55, 38803.0)	(60, 39876.0)	(65, 40911.0)	(70, 39259.0)	(75, 41883.0)	(80, 43108.0)	(85, 45371.0)	(90, 45727.0)	(95, 46826.0)	(100, 47613.0)	(105, 49785.0)	(110, 50908.0)	(115, 56186.0)	(120, 58085.0)	(125, 65270.0)	(130, 66767.0)	(135, 69349.0)	(140, 74191.0)	(145, 805144.0)	(150, 17063531.0)
Cross-gam-2_R1_001_trimmed_2U	(50, 6531.0)	(55, 6104.0)	(60, 5712.0)	(65, 5294.0)	(70, 4992.0)	(75, 4758.0)	(80, 4605.0)	(85, 4412.0)	(90, 4123.0)	(95, 3974.0)	(100, 3797.0)	(105, 3872.0)	(110, 3489.0)	(115, 3638.0)	(120, 3674.0)	(125, 3725.0)	(130, 3486.0)	(135, 3417.0)	(140, 3402.0)	(145, 14199.0)	(150, 94136.0)
Cross-gam-3_R1_001_trimmed_1P	(50, 17397.0)	(55, 17462.0)	(60, 17040.0)	(65, 16778.0)	(70, 16936.0)	(75, 16809.0)	(80, 16956.0)	(85, 17008.0)	(90, 16878.0)	(95, 17303.0)	(100, 18057.0)	(105, 18852.0)	(110, 19107.0)	(115, 20215.0)	(120, 20054.0)	(125, 22364.0)	(130, 22977.0)	(135, 22903.0)	(140, 24916.0)	(145, 320873.0)	(150, 16300276.0)
Cross-gam-3_R1_001_trimmed_1U	(50, 19059.0)	(55, 19992.0)	(60, 22052.0)	(65, 24773.0)	(70, 30049.0)	(75, 36296.0)	(80, 44965.0)	(85, 54620.0)	(90, 66906.0)	(95, 81203.0)	(100, 97721.0)	(105, 115241.0)	(110, 135084.0)	(115, 157143.0)	(120, 179277.0)	(125, 207023.0)	(130, 232448.0)	(135, 262132.0)	(140, 173554.0)	(145, 34124.0)	(150, 354258.0)
Cross-gam-3_R1_001_trimmed_2P	(50, 43640.0)	(55, 43274.0)	(60, 44453.0)	(65, 45798.0)	(70, 43621.0)	(75, 46028.0)	(80, 47148.0)	(85, 49033.0)	(90, 49079.0)	(95, 50798.0)	(100, 51969.0)	(105, 53795.0)	(110, 54880.0)	(115, 59839.0)	(120, 62549.0)	(125, 69485.0)	(130, 71669.0)	(135, 73221.0)	(140, 78536.0)	(145, 798223.0)	(150, 15144123.0)
Cross-gam-3_R1_001_trimmed_2U	(50, 5916.0)	(55, 5511.0)	(60, 5190.0)	(65, 4868.0)	(70, 4473.0)	(75, 4190.0)	(80, 3993.0)	(85, 3781.0)	(90, 3601.0)	(95, 3528.0)	(100, 3470.0)	(105, 3276.0)	(110, 3115.0)	(115, 3203.0)	(120, 3026.0)	(125, 3161.0)	(130, 2904.0)	(135, 2794.0)	(140, 2804.0)	(145, 11525.0)	(150, 74673.0)
RESUB-WT-WYS-4_R1_001_trimmed_1P	(50, 21331.0)	(55, 21302.0)	(60, 21147.0)	(65, 20586.0)	(70, 21145.0)	(75, 20799.0)	(80, 21021.0)	(85, 21232.0)	(90, 21261.0)	(95, 21691.0)	(100, 23157.0)	(105, 23076.0)	(110, 24109.0)	(115, 25110.0)	(120, 24864.0)	(125, 27376.0)	(130, 28298.0)	(135, 27665.0)	(140, 30083.0)	(145, 391241.0)	(150, 19933462.0)
RESUB-WT-WYS-4_R1_001_trimmed_1U	(50, 23122.0)	(55, 24879.0)	(60, 28821.0)	(65, 33638.0)	(70, 41710.0)	(75, 51504.0)	(80, 64990.0)	(85, 80304.0)	(90, 99331.0)	(95, 121371.0)	(100, 145749.0)	(105, 173311.0)	(110, 200251.0)	(115, 235462.0)	(120, 270158.0)	(125, 310744.0)	(130, 347885.0)	(135, 389983.0)	(140, 254631.0)	(145, 32058.0)	(150, 318021.0)
RESUB-WT-WYS-4_R1_001_trimmed_2P	(50, 43468.0)	(55, 43231.0)	(60, 44840.0)	(65, 46035.0)	(70, 44342.0)	(75, 45982.0)	(80, 48300.0)	(85, 50111.0)	(90, 50747.0)	(95, 53190.0)	(100, 53325.0)	(105, 55406.0)	(110, 56724.0)	(115, 62768.0)	(120, 65505.0)	(125, 73232.0)	(130, 75695.0)	(135, 77931.0)	(140, 83281.0)	(145, 909391.0)	(150, 18786452.0)
RESUB-WT-WYS-4_R1_001_trimmed_2U	(50, 6872.0)	(55, 6399.0)	(60, 6165.0)	(65, 5527.0)	(70, 5128.0)	(75, 5019.0)	(80, 4861.0)	(85, 4501.0)	(90, 4325.0)	(95, 4201.0)	(100, 4098.0)	(105, 4081.0)	(110, 3859.0)	(115, 3847.0)	(120, 3607.0)	(125, 3875.0)	(130, 3734.0)	(135, 3530.0)	(140, 3498.0)	(145, 14395.0)	(150, 95145.0)
RNAi-S5-1_R1_001_trimmed_1P	(50, 16538.0)	(55, 16358.0)	(60, 15901.0)	(65, 15814.0)	(70, 15765.0)	(75, 15761.0)	(80, 15811.0)	(85, 16255.0)	(90, 16382.0)	(95, 16037.0)	(100, 17120.0)	(105, 17077.0)	(110, 17435.0)	(115, 18661.0)	(120, 18915.0)	(125, 20614.0)	(130, 21244.0)	(135, 21379.0)	(140, 23354.0)	(145, 298578.0)	(150, 16315857.0)
RNAi-S5-1_R1_001_trimmed_1U	(50, 24041.0)	(55, 26093.0)	(60, 30633.0)	(65, 36183.0)	(70, 44979.0)	(75, 54964.0)	(80, 67737.0)	(85, 84600.0)	(90, 101550.0)	(95, 121782.0)	(100, 143685.0)	(105, 170081.0)	(110, 196258.0)	(115, 228182.0)	(120, 257463.0)	(125, 296539.0)	(130, 326594.0)	(135, 367134.0)	(140, 237809.0)	(145, 34462.0)	(150, 358860.0)
RNAi-S5-1_R1_001_trimmed_2P	(50, 43271.0)	(55, 42548.0)	(60, 44119.0)	(65, 45203.0)	(70, 43233.0)	(75, 45987.0)	(80, 46833.0)	(85, 49283.0)	(90, 49205.0)	(95, 50008.0)	(100, 51546.0)	(105, 52814.0)	(110, 54718.0)	(115, 60550.0)	(120, 62549.0)	(125, 69940.0)	(130, 73090.0)	(135, 74574.0)	(140, 79547.0)	(145, 820049.0)	(150, 15091789.0)
RNAi-S5-1_R1_001_trimmed_2U	(50, 5899.0)	(55, 5386.0)	(60, 5066.0)	(65, 4580.0)	(70, 4340.0)	(75, 4078.0)	(80, 3856.0)	(85, 3618.0)	(90, 3527.0)	(95, 3355.0)	(100, 3195.0)	(105, 3126.0)	(110, 2988.0)	(115, 2923.0)	(120, 2823.0)	(125, 2938.0)	(130, 2809.0)	(135, 2601.0)	(140, 2708.0)	(145, 10664.0)	(150, 69449.0)
RNAi-S5-2_R1_001_trimmed_1P	(50, 23431.0)	(55, 22935.0)	(60, 22989.0)	(65, 22444.0)	(70, 22664.0)	(75, 22272.0)	(80, 22712.0)	(85, 24418.0)	(90, 23851.0)	(95, 22865.0)	(100, 25006.0)	(105, 24820.0)	(110, 25346.0)	(115, 27040.0)	(120, 26197.0)	(125, 29128.0)	(130, 29597.0)	(135, 28951.0)	(140, 31171.0)	(145, 403271.0)	(150, 20777203.0)
RNAi-S5-2_R1_001_trimmed_1U	(50, 25591.0)	(55, 27400.0)	(60, 31847.0)	(65, 37137.0)	(70, 46867.0)	(75, 57341.0)	(80, 73255.0)	(85, 93280.0)	(90, 117437.0)	(95, 147090.0)	(100, 177765.0)	(105, 210009.0)	(110, 248557.0)	(115, 294943.0)	(120, 334475.0)	(125, 383952.0)	(130, 432993.0)	(135, 484258.0)	(140, 311610.0)	(145, 33441.0)	(150, 330272.0)
RNAi-S5-2_R1_001_trimmed_2P	(50, 46427.0)	(55, 45351.0)	(60, 47894.0)	(65, 50304.0)	(70, 46530.0)	(75, 48586.0)	(80, 50396.0)	(85, 52968.0)	(90, 52958.0)	(95, 56631.0)	(100, 56027.0)	(105, 57316.0)	(110, 58919.0)	(115, 64913.0)	(120, 66631.0)	(125, 75267.0)	(130, 77586.0)	(135, 80021.0)	(140, 85415.0)	(145, 949800.0)	(150, 19588371.0)
