Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
BA19-S5_R1_001_trimmed_2U	(50, 8331.0)	(55, 7750.0)	(60, 7312.0)	(65, 6837.0)	(70, 6429.0)	(75, 6275.0)	(80, 5845.0)	(85, 5774.0)	(90, 5458.0)	(95, 5317.0)	(100, 5001.0)	(105, 4924.0)	(110, 4629.0)	(115, 4684.0)	(120, 4539.0)	(125, 4839.0)	(130, 4647.0)	(135, 4379.0)	(140, 4361.0)	(145, 18407.0)	(150, 126668.0)
BA19-WYS_R1_001_trimmed_1P	(50, 20801.0)	(55, 20649.0)	(60, 20621.0)	(65, 19630.0)	(70, 20173.0)	(75, 19894.0)	(80, 19683.0)	(85, 20276.0)	(90, 20308.0)	(95, 20915.0)	(100, 21927.0)	(105, 22074.0)	(110, 22596.0)	(115, 24025.0)	(120, 24028.0)	(125, 26855.0)	(130, 27522.0)	(135, 27734.0)	(140, 29869.0)	(145, 370760.0)	(150, 18144303.0)
BA19-WYS_R1_001_trimmed_1U	(50, 25762.0)	(55, 27959.0)	(60, 33497.0)	(65, 40365.0)	(70, 50810.0)	(75, 63149.0)	(80, 79278.0)	(85, 96920.0)	(90, 120769.0)	(95, 148357.0)	(100, 178851.0)	(105, 206994.0)	(110, 239766.0)	(115, 281121.0)	(120, 320332.0)	(125, 364520.0)	(130, 407332.0)	(135, 448827.0)	(140, 286216.0)	(145, 29832.0)	(150, 283578.0)
BA19-WYS_R1_001_trimmed_2P	(50, 39923.0)	(55, 39585.0)	(60, 40960.0)	(65, 42793.0)	(70, 40862.0)	(75, 42992.0)	(80, 45087.0)	(85, 47168.0)	(90, 47926.0)	(95, 49861.0)	(100, 50748.0)	(105, 52521.0)	(110, 54376.0)	(115, 59631.0)	(120, 62464.0)	(125, 69283.0)	(130, 72835.0)	(135, 74801.0)	(140, 79700.0)	(145, 857926.0)	(150, 17073201.0)
BA19-WYS_R1_001_trimmed_2U	(50, 6613.0)	(55, 6222.0)	(60, 5907.0)	(65, 5477.0)	(70, 5031.0)	(75, 4883.0)	(80, 4651.0)	(85, 4616.0)	(90, 4435.0)	(95, 4130.0)	(100, 4016.0)	(105, 3968.0)	(110, 3699.0)	(115, 3746.0)	(120, 3740.0)	(125, 3786.0)	(130, 3596.0)	(135, 3478.0)	(140, 3417.0)	(145, 14270.0)	(150, 91820.0)
BA19-gam_R1_001_trimmed_1P	(50, 73508.0)	(55, 20603.0)	(60, 15087.0)	(65, 14443.0)	(70, 18691.0)	(75, 26317.0)	(80, 37908.0)	(85, 30839.0)	(90, 34308.0)	(95, 37566.0)	(100, 16893.0)	(105, 14630.0)	(110, 13830.0)	(115, 13649.0)	(120, 13764.0)	(125, 14099.0)	(130, 14456.0)	(135, 14804.0)	(140, 15912.0)	(145, 188572.0)	(150, 21936074.0)
BA19-gam_R1_001_trimmed_1U	(50, 36461.0)	(55, 19272.0)	(60, 17110.0)	(65, 18120.0)	(70, 24234.0)	(75, 33026.0)	(80, 50038.0)	(85, 63066.0)	(90, 95613.0)	(95, 134371.0)	(100, 177007.0)	(105, 231279.0)	(110, 311746.0)	(115, 366818.0)	(120, 438699.0)	(125, 477276.0)	(130, 509976.0)	(135, 532848.0)	(140, 325558.0)	(145, 27559.0)	(150, 616107.0)
BA19-gam_R1_001_trimmed_2P	(50, 35787.0)	(55, 32845.0)	(60, 30198.0)	(65, 30244.0)	(70, 30390.0)	(75, 31075.0)	(80, 26698.0)	(85, 28961.0)	(90, 32228.0)	(95, 30509.0)	(100, 32638.0)	(105, 26063.0)	(110, 26575.0)	(115, 26969.0)	(120, 26720.0)	(125, 27330.0)	(130, 28272.0)	(135, 27764.0)	(140, 29536.0)	(145, 279634.0)	(150, 21725517.0)
BA19-gam_R1_001_trimmed_2U	(50, 10329.0)	(55, 6627.0)	(60, 6096.0)	(65, 6676.0)	(70, 5348.0)	(75, 4371.0)	(80, 3230.0)	(85, 3281.0)	(90, 3503.0)	(95, 5071.0)	(100, 13269.0)	(105, 3320.0)	(110, 3298.0)	(115, 3405.0)	(120, 3322.0)	(125, 3226.0)	(130, 3138.0)	(135, 2989.0)	(140, 3056.0)	(145, 10639.0)	(150, 272087.0)
BD5-S5_R1_001_trimmed_1P	(50, 18400.0)	(55, 18323.0)	(60, 17971.0)	(65, 17569.0)	(70, 17773.0)	(75, 17529.0)	(80, 17665.0)	(85, 17703.0)	(90, 17871.0)	(95, 17964.0)	(100, 19143.0)	(105, 19344.0)	(110, 19966.0)	(115, 21053.0)	(120, 21050.0)	(125, 23404.0)	(130, 24473.0)	(135, 24121.0)	(140, 26187.0)	(145, 309309.0)	(150, 15489677.0)
BD5-S5_R1_001_trimmed_1U	(50, 19740.0)	(55, 22049.0)	(60, 26433.0)	(65, 32441.0)	(70, 41024.0)	(75, 51199.0)	(80, 64395.0)	(85, 77531.0)	(90, 94272.0)	(95, 113404.0)	(100, 133282.0)	(105, 157396.0)	(110, 181671.0)	(115, 210717.0)	(120, 236760.0)	(125, 270297.0)	(130, 301879.0)	(135, 336046.0)	(140, 215224.0)	(145, 19337.0)	(150, 181769.0)
BD5-S5_R1_001_trimmed_2P	(50, 26636.0)	(55, 26862.0)	(60, 27476.0)	(65, 28688.0)	(70, 27500.0)	(75, 29717.0)	(80, 30308.0)	(85, 31700.0)	(90, 32053.0)	(95, 33199.0)	(100, 33878.0)	(105, 35580.0)	(110, 36615.0)	(115, 40103.0)	(120, 42480.0)	(125, 46767.0)	(130, 48659.0)	(135, 50528.0)	(140, 54079.0)	(145, 632863.0)	(150, 14860804.0)
BD5-S5_R1_001_trimmed_2U	(50, 5501.0)	(55, 5137.0)	(60, 4812.0)	(65, 4482.0)	(70, 4250.0)	(75, 4104.0)	(80, 3844.0)	(85, 3725.0)	(90, 3487.0)	(95, 3580.0)	(100, 3359.0)	(105, 3309.0)	(110, 3113.0)	(115, 3193.0)	(120, 3231.0)	(125, 3254.0)	(130, 3198.0)	(135, 3017.0)	(140, 3027.0)	(145, 13255.0)	(150, 91642.0)
BD5-WYS_R1_001_trimmed_1P	(50, 20105.0)	(55, 20323.0)	(60, 20052.0)	(65, 19958.0)	(70, 20058.0)	(75, 19224.0)	(80, 19861.0)	(85, 19913.0)	(90, 20352.0)	(95, 20653.0)	(100, 22030.0)	(105, 22273.0)	(110, 22701.0)	(115, 24144.0)	(120, 23652.0)	(125, 26860.0)	(130, 27580.0)	(135, 27669.0)	(140, 29851.0)	(145, 356684.0)	(150, 18365046.0)
BD5-WYS_R1_001_trimmed_1U	(50, 23340.0)	(55, 25203.0)	(60, 29474.0)	(65, 34404.0)	(70, 42901.0)	(75, 54493.0)	(80, 69154.0)	(85, 88620.0)	(90, 111681.0)	(95, 141235.0)	(100, 172053.0)	(105, 204434.0)	(110, 240243.0)	(115, 280338.0)	(120, 319129.0)	(125, 364844.0)	(130, 409185.0)	(135, 452680.0)	(140, 292574.0)	(145, 27571.0)	(150, 262405.0)
BD5-WYS_R1_001_trimmed_2P	(50, 37529.0)	(55, 36687.0)	(60, 38648.0)	(65, 39561.0)	(70, 37747.0)	(75, 39872.0)	(80, 41018.0)	(85, 43463.0)	(90, 43594.0)	(95, 45368.0)	(100, 45917.0)	(105, 47707.0)	(110, 49399.0)	(115, 54403.0)	(120, 57005.0)	(125, 63472.0)	(130, 65642.0)	(135, 69049.0)	(140, 73206.0)	(145, 823060.0)	(150, 17396642.0)
BD5-WYS_R1_001_trimmed_2U	(50, 6787.0)	(55, 6098.0)	(60, 5964.0)	(65, 5494.0)	(70, 5070.0)	(75, 4943.0)	(80, 4697.0)	(85, 4413.0)	(90, 4300.0)	(95, 4105.0)	(100, 3855.0)	(105, 3845.0)	(110, 3719.0)	(115, 3857.0)	(120, 3712.0)	(125, 3759.0)	(130, 3632.0)	(135, 3488.0)	(140, 3429.0)	(145, 14301.0)	(150, 92985.0)
BD5-gam_R1_001_trimmed_1P	(50, 169690.0)	(55, 78168.0)	(60, 19033.0)	(65, 17299.0)	(70, 21991.0)	(75, 30249.0)	(80, 42403.0)	(85, 34802.0)	(90, 39748.0)	(95, 43340.0)	(100, 20057.0)	(105, 16929.0)	(110, 16445.0)	(115, 15709.0)	(120, 15813.0)	(125, 15756.0)	(130, 16332.0)	(135, 16325.0)	(140, 17549.0)	(145, 214036.0)	(150, 23655471.0)
BD5-gam_R1_001_trimmed_1U	(50, 104209.0)	(55, 46790.0)	(60, 19139.0)	(65, 19931.0)	(70, 26845.0)	(75, 35295.0)	(80, 51074.0)	(85, 62940.0)	(90, 92094.0)	(95, 124674.0)	(100, 161789.0)	(105, 206028.0)	(110, 269362.0)	(115, 320658.0)	(120, 378977.0)	(125, 413983.0)	(130, 447292.0)	(135, 470111.0)	(140, 294586.0)	(145, 29092.0)	(150, 648969.0)
BD5-gam_R1_001_trimmed_2P	(50, 41093.0)	(55, 38634.0)	(60, 36643.0)	(65, 36533.0)	(70, 36002.0)	(75, 36223.0)	(80, 31603.0)	(85, 33177.0)	(90, 36735.0)	(95, 37733.0)	(100, 51608.0)	(105, 31252.0)	(110, 31569.0)	(115, 32462.0)	(120, 32191.0)	(125, 32210.0)	(130, 33495.0)	(135, 33506.0)	(140, 35456.0)	(145, 311924.0)	(150, 23527096.0)
BD5-gam_R1_001_trimmed_2U	(50, 7397.0)	(55, 5688.0)	(60, 4761.0)	(65, 4647.0)	(70, 4619.0)	(75, 4155.0)	(80, 3470.0)	(85, 3392.0)	(90, 3557.0)	(95, 3585.0)	(100, 4546.0)	(105, 2714.0)	(110, 2569.0)	(115, 2717.0)	(120, 2589.0)	(125, 2434.0)	(130, 2524.0)	(135, 2526.0)	(140, 2694.0)	(145, 10456.0)	(150, 208669.0)
BF16-S5_R1_001_trimmed_1P	(50, 70652.0)	(55, 20933.0)	(60, 18297.0)	(65, 17580.0)	(70, 23087.0)	(75, 31719.0)	(80, 43420.0)	(85, 36833.0)	(90, 41717.0)	(95, 45571.0)	(100, 20654.0)	(105, 17606.0)	(110, 16942.0)	(115, 16219.0)	(120, 16275.0)	(125, 16381.0)	(130, 16869.0)	(135, 17395.0)	(140, 18786.0)	(145, 220262.0)	(150, 26264707.0)
BF16-S5_R1_001_trimmed_1U	(50, 36095.0)	(55, 19573.0)	(60, 18054.0)	(65, 18866.0)	(70, 25101.0)	(75, 34128.0)	(80, 50060.0)	(85, 63658.0)	(90, 92881.0)	(95, 128519.0)	(100, 169658.0)	(105, 221005.0)	(110, 289691.0)	(115, 346137.0)	(120, 413917.0)	(125, 457463.0)	(130, 500121.0)	(135, 529450.0)	(140, 328455.0)	(145, 29083.0)	(150, 652576.0)
BF16-S5_R1_001_trimmed_2P	(50, 39887.0)	(55, 37127.0)	(60, 33976.0)	(65, 34336.0)	(70, 35403.0)	(75, 36491.0)	(80, 32040.0)	(85, 34360.0)	(90, 38365.0)	(95, 36221.0)	(100, 38839.0)	(105, 31090.0)	(110, 31217.0)	(115, 31795.0)	(120, 31388.0)	(125, 32135.0)	(130, 32484.0)	(135, 32423.0)	(140, 34636.0)	(145, 325508.0)	(150, 26012184.0)
BF16-S5_R1_001_trimmed_2U	(50, 10338.0)	(55, 6087.0)	(60, 5468.0)	(65, 5587.0)	(70, 4862.0)	(75, 4248.0)	(80, 3356.0)	(85, 3466.0)	(90, 3646.0)	(95, 4595.0)	(100, 10046.0)	(105, 3102.0)	(110, 3010.0)	(115, 3108.0)	(120, 2942.0)	(125, 2837.0)	(130, 2684.0)	(135, 2659.0)	(140, 2814.0)	(145, 10810.0)	(150, 259855.0)
BF16-WYS_R1_001_trimmed_1P	(50, 22186.0)	(55, 22215.0)	(60, 21957.0)	(65, 21859.0)	(70, 22081.0)	(75, 21667.0)	(80, 21718.0)	(85, 21983.0)	(90, 22200.0)	(95, 22222.0)	(100, 23797.0)	(105, 23974.0)	(110, 24846.0)	(115, 26312.0)	(120, 25960.0)	(125, 29329.0)	(130, 30144.0)	(135, 29591.0)	(140, 32067.0)	(145, 390411.0)	(150, 19513224.0)
BF16-WYS_R1_001_trimmed_1U	(50, 23750.0)	(55, 25442.0)	(60, 30220.0)	(65, 35760.0)	(70, 44165.0)	(75, 55604.0)	(80, 70171.0)	(85, 88729.0)	(90, 109910.0)	(95, 136394.0)	(100, 163461.0)	(105, 192854.0)	(110, 225809.0)	(115, 265286.0)	(120, 302500.0)	(125, 345803.0)	(130, 388918.0)	(135, 431522.0)	(140, 278481.0)	(145, 28888.0)	(150, 275762.0)
BF16-WYS_R1_001_trimmed_2P	(50, 38353.0)	(55, 37596.0)	(60, 39553.0)	(65, 40746.0)	(70, 39002.0)	(75, 41157.0)	(80, 42893.0)	(85, 45045.0)	(90, 45367.0)	(95, 46958.0)	(100, 47727.0)	(105, 49383.0)	(110, 50958.0)	(115, 56213.0)	(120, 58685.0)	(125, 66328.0)	(130, 68106.0)	(135, 70505.0)	(140, 75688.0)	(145, 847817.0)	(150, 18561663.0)
BF16-WYS_R1_001_trimmed_2U	(50, 6865.0)	(55, 6363.0)	(60, 6116.0)	(65, 5693.0)	(70, 5177.0)	(75, 5062.0)	(80, 4944.0)	(85, 4671.0)	(90, 4461.0)	(95, 4327.0)	(100, 4141.0)	(105, 4191.0)	(110, 3821.0)	(115, 3949.0)	(120, 3751.0)	(125, 3944.0)	(130, 3832.0)	(135, 3657.0)	(140, 3707.0)	(145, 15728.0)	(150, 105394.0)
BF16-gam_R1_001_trimmed_1P	(50, 264400.0)	(55, 39677.0)	(60, 17324.0)	(65, 16723.0)	(70, 21658.0)	(75, 29034.0)	(80, 40812.0)	(85, 34814.0)	(90, 39076.0)	(95, 42669.0)	(100, 19916.0)	(105, 17183.0)	(110, 16621.0)	(115, 16563.0)	(120, 16513.0)	(125, 16676.0)	(130, 17277.0)	(135, 17206.0)	(140, 18657.0)	(145, 213812.0)	(150, 24612951.0)
BF16-gam_R1_001_trimmed_1U	(50, 106034.0)	(55, 22880.0)	(60, 17761.0)	(65, 18800.0)	(70, 25987.0)	(75, 35056.0)	(80, 51632.0)	(85, 66041.0)	(90, 98490.0)	(95, 134542.0)	(100, 179450.0)	(105, 228310.0)	(110, 297055.0)	(115, 350261.0)	(120, 417279.0)	(125, 454038.0)	(130, 488911.0)	(135, 513963.0)	(140, 319136.0)	(145, 26352.0)	(150, 595045.0)
BF16-gam_R1_001_trimmed_2P	(50, 49109.0)	(55, 37830.0)	(60, 36400.0)	(65, 37578.0)	(70, 37514.0)	(75, 37688.0)	(80, 33353.0)	(85, 35652.0)	(90, 39481.0)	(95, 40248.0)	(100, 55384.0)	(105, 34226.0)	(110, 34404.0)	(115, 35589.0)	(120, 35031.0)	(125, 35464.0)	(130, 36821.0)	(135, 36163.0)	(140, 38039.0)	(145, 332537.0)	(150, 24471051.0)
BF16-gam_R1_001_trimmed_2U	(50, 9594.0)	(55, 5468.0)	(60, 4838.0)	(65, 5199.0)	(70, 5092.0)	(75, 4216.0)	(80, 3355.0)	(85, 3507.0)	(90, 3702.0)	(95, 5092.0)	(100, 11433.0)	(105, 3158.0)	(110, 3053.0)	(115, 2989.0)	(120, 2912.0)	(125, 2827.0)	(130, 2785.0)	(135, 2733.0)	(140, 2961.0)	(145, 10976.0)	(150, 250327.0)
