Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
BF5-S5_R1_001_trimmed_2U	(24.0, 3.0)	(25.0, 14.0)	(26.0, 130.0)	(27.0, 813.0)	(28.0, 2822.0)	(29.0, 8205.0)	(30.0, 17081.0)	(31.0, 27119.0)	(32.0, 33225.0)	(33.0, 32302.0)	(34.0, 26518.0)	(35.0, 19312.0)	(36.0, 15298.0)	(37.0, 330.0)				
BF5-WYS_R1_001_trimmed_1P	(26.0, 25.0)	(27.0, 383.0)	(28.0, 2626.0)	(29.0, 12149.0)	(30.0, 38899.0)	(31.0, 93037.0)	(32.0, 175815.0)	(33.0, 304973.0)	(34.0, 571380.0)	(35.0, 1681218.0)	(36.0, 15731123.0)	(37.0, 1419139.0)						
BF5-WYS_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 15.0)	(26.0, 189.0)	(27.0, 1456.0)	(28.0, 6686.0)	(29.0, 21809.0)	(30.0, 49678.0)	(31.0, 85529.0)	(32.0, 115545.0)	(33.0, 142470.0)	(34.0, 177558.0)	(35.0, 302279.0)	(36.0, 2021526.0)	(37.0, 439768.0)				
BF5-WYS_R1_001_trimmed_2P	(24.0, 8.0)	(25.0, 41.0)	(26.0, 405.0)	(27.0, 2652.0)	(28.0, 11684.0)	(29.0, 39130.0)	(30.0, 104548.0)	(31.0, 238187.0)	(32.0, 468436.0)	(33.0, 889054.0)	(34.0, 1816782.0)	(35.0, 4986185.0)	(36.0, 11230332.0)	(37.0, 243323.0)				
BF5-WYS_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 28.0)	(26.0, 155.0)	(27.0, 967.0)	(28.0, 3621.0)	(29.0, 9604.0)	(30.0, 18726.0)	(31.0, 28900.0)	(32.0, 33597.0)	(33.0, 31866.0)	(34.0, 25712.0)	(35.0, 20001.0)	(36.0, 16814.0)	(37.0, 266.0)				
BF5-gam_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 40.0)	(27.0, 457.0)	(28.0, 3091.0)	(29.0, 14340.0)	(30.0, 44748.0)	(31.0, 105286.0)	(32.0, 196165.0)	(33.0, 333203.0)	(34.0, 605953.0)	(35.0, 1703682.0)	(36.0, 16529194.0)	(37.0, 1632483.0)					
BF5-gam_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 18.0)	(26.0, 195.0)	(27.0, 1618.0)	(28.0, 7362.0)	(29.0, 24414.0)	(30.0, 54684.0)	(31.0, 92547.0)	(32.0, 122425.0)	(33.0, 150535.0)	(34.0, 189004.0)	(35.0, 352762.0)	(36.0, 2957682.0)	(37.0, 734669.0)				
BF5-gam_R1_001_trimmed_2P	(24.0, 4.0)	(25.0, 24.0)	(26.0, 291.0)	(27.0, 1978.0)	(28.0, 8807.0)	(29.0, 30725.0)	(30.0, 82989.0)	(31.0, 192150.0)	(32.0, 384922.0)	(33.0, 743568.0)	(34.0, 1583242.0)	(35.0, 4758539.0)	(36.0, 13040564.0)	(37.0, 340840.0)				
BF5-gam_R1_001_trimmed_2U	(25.0, 16.0)	(26.0, 150.0)	(27.0, 962.0)	(28.0, 3699.0)	(29.0, 10384.0)	(30.0, 20272.0)	(31.0, 32233.0)	(32.0, 38488.0)	(33.0, 36757.0)	(34.0, 29587.0)	(35.0, 21487.0)	(36.0, 16970.0)	(37.0, 297.0)					
Cross-S5-1_R1_001_trimmed_1P	(25.0, 4.0)	(26.0, 43.0)	(27.0, 397.0)	(28.0, 2635.0)	(29.0, 12715.0)	(30.0, 40610.0)	(31.0, 99395.0)	(32.0, 190084.0)	(33.0, 333174.0)	(34.0, 625672.0)	(35.0, 1860171.0)	(36.0, 17270562.0)	(37.0, 1488289.0)					
Cross-S5-1_R1_001_trimmed_1U	(25.0, 13.0)	(26.0, 173.0)	(27.0, 1488.0)	(28.0, 7461.0)	(29.0, 24867.0)	(30.0, 57385.0)	(31.0, 99264.0)	(32.0, 132958.0)	(33.0, 160360.0)	(34.0, 197259.0)	(35.0, 347328.0)	(36.0, 2315127.0)	(37.0, 479297.0)					
Cross-S5-1_R1_001_trimmed_2P	(24.0, 9.0)	(25.0, 42.0)	(26.0, 430.0)	(27.0, 2979.0)	(28.0, 12468.0)	(29.0, 41905.0)	(30.0, 111977.0)	(31.0, 256948.0)	(32.0, 515805.0)	(33.0, 1002045.0)	(34.0, 2129829.0)	(35.0, 5895132.0)	(36.0, 11741833.0)	(37.0, 212349.0)				
Cross-S5-1_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 2.0)	(25.0, 14.0)	(26.0, 194.0)	(27.0, 1046.0)	(28.0, 3944.0)	(29.0, 10639.0)	(30.0, 20733.0)	(31.0, 31304.0)	(32.0, 35576.0)	(33.0, 33399.0)	(34.0, 25926.0)	(35.0, 20141.0)	(36.0, 15926.0)	(37.0, 241.0)			
Cross-S5-2_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 28.0)	(27.0, 387.0)	(28.0, 2729.0)	(29.0, 13130.0)	(30.0, 42564.0)	(31.0, 103221.0)	(32.0, 197507.0)	(33.0, 345407.0)	(34.0, 650325.0)	(35.0, 1924524.0)	(36.0, 18167170.0)	(37.0, 1657970.0)					
Cross-S5-2_R1_001_trimmed_1U	(25.0, 15.0)	(26.0, 181.0)	(27.0, 1450.0)	(28.0, 7114.0)	(29.0, 23891.0)	(30.0, 56087.0)	(31.0, 98147.0)	(32.0, 132922.0)	(33.0, 162711.0)	(34.0, 201477.0)	(35.0, 344155.0)	(36.0, 2262566.0)	(37.0, 487980.0)					
Cross-S5-2_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 7.0)	(25.0, 35.0)	(26.0, 496.0)	(27.0, 3150.0)	(28.0, 13081.0)	(29.0, 44043.0)	(30.0, 117408.0)	(31.0, 268234.0)	(32.0, 532754.0)	(33.0, 1015381.0)	(34.0, 2090019.0)	(35.0, 5739196.0)	(36.0, 12992353.0)	(37.0, 288805.0)			
Cross-S5-2_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 18.0)	(26.0, 168.0)	(27.0, 1033.0)	(28.0, 3846.0)	(29.0, 10309.0)	(30.0, 20319.0)	(31.0, 31153.0)	(32.0, 36478.0)	(33.0, 34869.0)	(34.0, 27531.0)	(35.0, 21070.0)	(36.0, 16981.0)	(37.0, 298.0)				
Cross-S5-3_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 31.0)	(27.0, 354.0)	(28.0, 2639.0)	(29.0, 12540.0)	(30.0, 38938.0)	(31.0, 92105.0)	(32.0, 171592.0)	(33.0, 293773.0)	(34.0, 540504.0)	(35.0, 1550385.0)	(36.0, 14926236.0)	(37.0, 1411008.0)					
Cross-S5-3_R1_001_trimmed_1U	(25.0, 8.0)	(26.0, 165.0)	(27.0, 1360.0)	(28.0, 6564.0)	(29.0, 21285.0)	(30.0, 47094.0)	(31.0, 79498.0)	(32.0, 105352.0)	(33.0, 127243.0)	(34.0, 156087.0)	(35.0, 274335.0)	(36.0, 2128421.0)	(37.0, 523749.0)					
Cross-S5-3_R1_001_trimmed_2P	(24.0, 1.0)	(25.0, 31.0)	(26.0, 312.0)	(27.0, 2001.0)	(28.0, 8869.0)	(29.0, 30901.0)	(30.0, 82839.0)	(31.0, 192639.0)	(32.0, 385495.0)	(33.0, 745260.0)	(34.0, 1573101.0)	(35.0, 4550493.0)	(36.0, 11208005.0)	(37.0, 260159.0)				
Cross-S5-3_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 27.0)	(26.0, 150.0)	(27.0, 937.0)	(28.0, 3391.0)	(29.0, 9215.0)	(30.0, 18796.0)	(31.0, 28987.0)	(32.0, 33914.0)	(33.0, 32212.0)	(34.0, 25760.0)	(35.0, 19459.0)	(36.0, 15108.0)	(37.0, 273.0)				
Cross-WYS-1_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 47.0)	(27.0, 400.0)	(28.0, 2869.0)	(29.0, 13327.0)	(30.0, 40914.0)	(31.0, 97675.0)	(32.0, 183279.0)	(33.0, 311201.0)	(34.0, 572242.0)	(35.0, 1656776.0)	(36.0, 15698413.0)	(37.0, 1433982.0)					
Cross-WYS-1_R1_001_trimmed_1U	(24.0, 3.0)	(25.0, 14.0)	(26.0, 191.0)	(27.0, 1542.0)	(28.0, 6812.0)	(29.0, 22057.0)	(30.0, 50012.0)	(31.0, 84221.0)	(32.0, 111781.0)	(33.0, 134912.0)	(34.0, 166470.0)	(35.0, 299914.0)	(36.0, 2330338.0)	(37.0, 550966.0)				
Cross-WYS-1_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 2.0)	(25.0, 31.0)	(26.0, 327.0)	(27.0, 2227.0)	(28.0, 9605.0)	(29.0, 32465.0)	(30.0, 87678.0)	(31.0, 202752.0)	(32.0, 402763.0)	(33.0, 770727.0)	(34.0, 1602895.0)	(35.0, 4638153.0)	(36.0, 11971010.0)	(37.0, 290490.0)			
Cross-WYS-1_R1_001_trimmed_2U	(24.0, 4.0)	(25.0, 18.0)	(26.0, 161.0)	(27.0, 907.0)	(28.0, 3545.0)	(29.0, 9698.0)	(30.0, 19810.0)	(31.0, 30506.0)	(32.0, 35694.0)	(33.0, 34011.0)	(34.0, 27309.0)	(35.0, 20672.0)	(36.0, 17878.0)	(37.0, 321.0)				
Cross-WYS-2_R1_001_trimmed_1P	(25.0, 5.0)	(26.0, 48.0)	(27.0, 469.0)	(28.0, 2978.0)	(29.0, 14036.0)	(30.0, 42875.0)	(31.0, 101614.0)	(32.0, 189224.0)	(33.0, 322854.0)	(34.0, 595626.0)	(35.0, 1740991.0)	(36.0, 15580988.0)	(37.0, 1318435.0)					
Cross-WYS-2_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 11.0)	(26.0, 178.0)	(27.0, 1364.0)	(28.0, 5909.0)	(29.0, 19475.0)	(30.0, 43381.0)	(31.0, 73229.0)	(32.0, 96886.0)	(33.0, 116535.0)	(34.0, 142554.0)	(35.0, 251780.0)	(36.0, 1759228.0)	(37.0, 335570.0)				
Cross-WYS-2_R1_001_trimmed_2P	(24.0, 4.0)	(25.0, 31.0)	(26.0, 300.0)	(27.0, 1996.0)	(28.0, 8599.0)	(29.0, 29892.0)	(30.0, 82060.0)	(31.0, 191426.0)	(32.0, 386458.0)	(33.0, 740829.0)	(34.0, 1533689.0)	(35.0, 4399105.0)	(36.0, 12200025.0)	(37.0, 335729.0)				
Cross-WYS-2_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 15.0)	(26.0, 155.0)	(27.0, 906.0)	(28.0, 3175.0)	(29.0, 9478.0)	(30.0, 19229.0)	(31.0, 30581.0)	(32.0, 37325.0)	(33.0, 36563.0)	(34.0, 29472.0)	(35.0, 22818.0)	(36.0, 19441.0)	(37.0, 404.0)				
Cross-WYS-3_R1_001_trimmed_1P	(25.0, 3.0)	(26.0, 43.0)	(27.0, 446.0)	(28.0, 2873.0)	(29.0, 13894.0)	(30.0, 43770.0)	(31.0, 103971.0)	(32.0, 193393.0)	(33.0, 331657.0)	(34.0, 607418.0)	(35.0, 1752865.0)	(36.0, 16587172.0)	(37.0, 1536510.0)					
Cross-WYS-3_R1_001_trimmed_1U	(24.0, 2.0)	(25.0, 20.0)	(26.0, 181.0)	(27.0, 1536.0)	(28.0, 6858.0)	(29.0, 22202.0)	(30.0, 50187.0)	(31.0, 84733.0)	(32.0, 112505.0)	(33.0, 135851.0)	(34.0, 167805.0)	(35.0, 301851.0)	(36.0, 2242409.0)	(37.0, 502707.0)				
Cross-WYS-3_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 4.0)	(25.0, 34.0)	(26.0, 330.0)	(27.0, 2195.0)	(28.0, 9785.0)	(29.0, 33565.0)	(30.0, 91463.0)	(31.0, 210866.0)	(32.0, 421218.0)	(33.0, 806918.0)	(34.0, 1679270.0)	(35.0, 4812568.0)	(36.0, 12772426.0)	(37.0, 333372.0)			
Cross-WYS-3_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 19.0)	(26.0, 153.0)	(27.0, 882.0)	(28.0, 3647.0)	(29.0, 9953.0)	(30.0, 20097.0)	(31.0, 31815.0)	(32.0, 37404.0)	(33.0, 36352.0)	(34.0, 29105.0)	(35.0, 21701.0)	(36.0, 18042.0)	(37.0, 319.0)				
Cross-gam-1_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 25.0)	(27.0, 335.0)	(28.0, 2667.0)	(29.0, 11929.0)	(30.0, 37566.0)	(31.0, 89358.0)	(32.0, 168447.0)	(33.0, 293170.0)	(34.0, 546666.0)	(35.0, 1613449.0)	(36.0, 14476624.0)	(37.0, 1248379.0)					
Cross-gam-1_R1_001_trimmed_1U	(25.0, 17.0)	(26.0, 170.0)	(27.0, 1290.0)	(28.0, 5996.0)	(29.0, 19821.0)	(30.0, 44899.0)	(31.0, 77007.0)	(32.0, 104151.0)	(33.0, 129298.0)	(34.0, 162744.0)	(35.0, 286804.0)	(36.0, 1974223.0)	(37.0, 416650.0)					
Cross-gam-1_R1_001_trimmed_2P	(23.0, 3.0)	(24.0, 8.0)	(25.0, 46.0)	(26.0, 317.0)	(27.0, 2248.0)	(28.0, 9643.0)	(29.0, 33640.0)	(30.0, 90769.0)	(31.0, 209582.0)	(32.0, 419353.0)	(33.0, 797601.0)	(34.0, 1634210.0)	(35.0, 4484819.0)	(36.0, 10561157.0)	(37.0, 245221.0)			
Cross-gam-1_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 16.0)	(26.0, 169.0)	(27.0, 787.0)	(28.0, 3222.0)	(29.0, 8811.0)	(30.0, 17822.0)	(31.0, 27456.0)	(32.0, 32983.0)	(33.0, 31936.0)	(34.0, 25920.0)	(35.0, 19314.0)	(36.0, 15501.0)	(37.0, 281.0)				
Cross-gam-2_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 36.0)	(27.0, 442.0)	(28.0, 2701.0)	(29.0, 12753.0)	(30.0, 39501.0)	(31.0, 93003.0)	(32.0, 173711.0)	(33.0, 294797.0)	(34.0, 545272.0)	(35.0, 1584055.0)	(36.0, 14713523.0)	(37.0, 1367924.0)					
Cross-gam-2_R1_001_trimmed_1U	(25.0, 16.0)	(26.0, 172.0)	(27.0, 1273.0)	(28.0, 6168.0)	(29.0, 19963.0)	(30.0, 45103.0)	(31.0, 76537.0)	(32.0, 101878.0)	(33.0, 125374.0)	(34.0, 157079.0)	(35.0, 288095.0)	(36.0, 2101570.0)	(37.0, 462117.0)					
Cross-gam-2_R1_001_trimmed_2P	(24.0, 4.0)	(25.0, 40.0)	(26.0, 294.0)	(27.0, 2063.0)	(28.0, 8887.0)	(29.0, 30170.0)	(30.0, 81952.0)	(31.0, 189636.0)	(32.0, 378693.0)	(33.0, 721793.0)	(34.0, 1487622.0)	(35.0, 4209561.0)	(36.0, 11400546.0)	(37.0, 316459.0)				
Cross-gam-2_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 16.0)	(26.0, 159.0)	(27.0, 838.0)	(28.0, 3296.0)	(29.0, 9009.0)	(30.0, 18080.0)	(31.0, 28459.0)	(32.0, 34319.0)	(33.0, 33338.0)	(34.0, 26872.0)	(35.0, 20149.0)	(36.0, 16465.0)	(37.0, 339.0)				
Cross-gam-3_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 26.0)	(27.0, 295.0)	(28.0, 2200.0)	(29.0, 10346.0)	(30.0, 32650.0)	(31.0, 78142.0)	(32.0, 148406.0)	(33.0, 258709.0)	(34.0, 487993.0)	(35.0, 1453745.0)	(36.0, 13320824.0)	(37.0, 1187824.0)					
Cross-gam-3_R1_001_trimmed_1U	(25.0, 20.0)	(26.0, 163.0)	(27.0, 1228.0)	(28.0, 5448.0)	(29.0, 18055.0)	(30.0, 40581.0)	(31.0, 69646.0)	(32.0, 93511.0)	(33.0, 114331.0)	(34.0, 140562.0)	(35.0, 222410.0)	(36.0, 1336062.0)	(37.0, 305903.0)					
Cross-gam-3_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 4.0)	(25.0, 40.0)	(26.0, 325.0)	(27.0, 2319.0)	(28.0, 10296.0)	(29.0, 35021.0)	(30.0, 93054.0)	(31.0, 211234.0)	(32.0, 417432.0)	(33.0, 785735.0)	(34.0, 1590663.0)	(35.0, 4265046.0)	(36.0, 9370120.0)	(37.0, 199871.0)			
Cross-gam-3_R1_001_trimmed_2U	(24.0, 5.0)	(25.0, 18.0)	(26.0, 131.0)	(27.0, 852.0)	(28.0, 3132.0)	(29.0, 8268.0)	(30.0, 16370.0)	(31.0, 24659.0)	(32.0, 28616.0)	(33.0, 26728.0)	(34.0, 20844.0)	(35.0, 16053.0)	(36.0, 13100.0)	(37.0, 226.0)				
RESUB-WT-WYS-4_R1_001_trimmed_1P	(26.0, 25.0)	(27.0, 359.0)	(28.0, 2598.0)	(29.0, 12900.0)	(30.0, 40883.0)	(31.0, 98751.0)	(32.0, 184836.0)	(33.0, 318970.0)	(34.0, 590511.0)	(35.0, 1739573.0)	(36.0, 16337124.0)	(37.0, 1443426.0)						
RESUB-WT-WYS-4_R1_001_trimmed_1U	(25.0, 10.0)	(26.0, 138.0)	(27.0, 1221.0)	(28.0, 6055.0)	(29.0, 20469.0)	(30.0, 46799.0)	(31.0, 80012.0)	(32.0, 107352.0)	(33.0, 128900.0)	(34.0, 158514.0)	(35.0, 284244.0)	(36.0, 1996700.0)	(37.0, 417509.0)					
RESUB-WT-WYS-4_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 7.0)	(25.0, 34.0)	(26.0, 328.0)	(27.0, 2232.0)	(28.0, 10078.0)	(29.0, 34383.0)	(30.0, 92796.0)	(31.0, 214076.0)	(32.0, 427338.0)	(33.0, 810865.0)	(34.0, 1669954.0)	(35.0, 4719927.0)	(36.0, 12456759.0)	(37.0, 331178.0)			
RESUB-WT-WYS-4_R1_001_trimmed_2U	(25.0, 17.0)	(26.0, 144.0)	(27.0, 883.0)	(28.0, 3385.0)	(29.0, 9695.0)	(30.0, 19445.0)	(31.0, 30253.0)	(32.0, 35458.0)	(33.0, 34478.0)	(34.0, 26894.0)	(35.0, 19890.0)	(36.0, 15795.0)	(37.0, 330.0)					
RNAi-S5-1_R1_001_trimmed_1P	(26.0, 29.0)	(27.0, 277.0)	(28.0, 2035.0)	(29.0, 9484.0)	(30.0, 30662.0)	(31.0, 73676.0)	(32.0, 140591.0)	(33.0, 244674.0)	(34.0, 453550.0)	(35.0, 1322084.0)	(36.0, 13314163.0)	(37.0, 1359631.0)						
RNAi-S5-1_R1_001_trimmed_1U	(25.0, 13.0)	(26.0, 176.0)	(27.0, 1328.0)	(28.0, 6217.0)	(29.0, 20645.0)	(30.0, 46093.0)	(31.0, 79371.0)	(32.0, 107164.0)	(33.0, 130791.0)	(34.0, 159652.0)	(35.0, 266946.0)	(36.0, 1894100.0)	(37.0, 497133.0)					
RNAi-S5-1_R1_001_trimmed_2P	(23.0, 2.0)	(24.0, 4.0)	(25.0, 37.0)	(26.0, 380.0)	(27.0, 2419.0)	(28.0, 10603.0)	(29.0, 35308.0)	(30.0, 92405.0)	(31.0, 209592.0)	(32.0, 413888.0)	(33.0, 791339.0)	(34.0, 1660608.0)	(35.0, 4607069.0)	(36.0, 8967925.0)	(37.0, 159277.0)			
RNAi-S5-1_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 21.0)	(26.0, 138.0)	(27.0, 911.0)	(28.0, 3081.0)	(29.0, 8495.0)	(30.0, 16078.0)	(31.0, 23809.0)	(32.0, 26872.0)	(33.0, 24512.0)	(34.0, 18582.0)	(35.0, 14844.0)	(36.0, 12385.0)	(37.0, 199.0)				
RNAi-S5-2_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 32.0)	(27.0, 408.0)	(28.0, 2846.0)	(29.0, 13513.0)	(30.0, 43426.0)	(31.0, 103824.0)	(32.0, 194224.0)	(33.0, 334598.0)	(34.0, 617896.0)	(35.0, 1803547.0)	(36.0, 16986526.0)	(37.0, 1557470.0)					
RNAi-S5-2_R1_001_trimmed_1U	(25.0, 14.0)	(26.0, 178.0)	(27.0, 1393.0)	(28.0, 6768.0)	(29.0, 22597.0)	(30.0, 51536.0)	(31.0, 88509.0)	(32.0, 118485.0)	(33.0, 143254.0)	(34.0, 178085.0)	(35.0, 326307.0)	(36.0, 2431362.0)	(37.0, 531032.0)					
RNAi-S5-2_R1_001_trimmed_2P	(24.0, 5.0)	(25.0, 34.0)	(26.0, 317.0)	(27.0, 2345.0)	(28.0, 10310.0)	(29.0, 35060.0)	(30.0, 95933.0)	(31.0, 220742.0)	(32.0, 441246.0)	(33.0, 843891.0)	(34.0, 1761924.0)	(35.0, 5041281.0)	(36.0, 12876255.0)	(37.0, 328968.0)				
RNAi-S5-2_R1_001_trimmed_2U	(25.0, 12.0)	(26.0, 165.0)	(27.0, 962.0)	(28.0, 3719.0)	(29.0, 10392.0)	(30.0, 20958.0)	(31.0, 32520.0)	(32.0, 38246.0)	(33.0, 36194.0)	(34.0, 28585.0)	(35.0, 21786.0)	(36.0, 19991.0)	(37.0, 390.0)					
RNAi-S5-3_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 35.0)	(27.0, 403.0)	(28.0, 2928.0)	(29.0, 14081.0)	(30.0, 43060.0)	(31.0, 101251.0)	(32.0, 186681.0)	(33.0, 315279.0)	(34.0, 576774.0)	(35.0, 1678921.0)	(36.0, 15402654.0)	(37.0, 1371702.0)					
RNAi-S5-3_R1_001_trimmed_1U	(25.0, 9.0)	(26.0, 146.0)	(27.0, 1267.0)	(28.0, 5564.0)	(29.0, 18902.0)	(30.0, 41710.0)	(31.0, 69631.0)	(32.0, 91428.0)	(33.0, 109776.0)	(34.0, 136042.0)	(35.0, 268438.0)	(36.0, 1955383.0)	(37.0, 380326.0)					
RNAi-S5-3_R1_001_trimmed_2P	(24.0, 5.0)	(25.0, 18.0)	(26.0, 229.0)	(27.0, 1516.0)	(28.0, 6888.0)	(29.0, 24420.0)	(30.0, 66567.0)	(31.0, 157879.0)	(32.0, 322552.0)	(33.0, 633441.0)	(34.0, 1365481.0)	(35.0, 4128901.0)	(36.0, 12592350.0)	(37.0, 393523.0)				
RNAi-S5-3_R1_001_trimmed_2U	(25.0, 16.0)	(26.0, 120.0)	(27.0, 825.0)	(28.0, 3135.0)	(29.0, 8833.0)	(30.0, 18396.0)	(31.0, 29756.0)	(32.0, 37081.0)	(33.0, 37147.0)	(34.0, 30742.0)	(35.0, 23004.0)	(36.0, 18360.0)	(37.0, 376.0)					
RNAi-WYS-1_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 35.0)	(27.0, 405.0)	(28.0, 2781.0)	(29.0, 12614.0)	(30.0, 39917.0)	(31.0, 94812.0)	(32.0, 177456.0)	(33.0, 305330.0)	(34.0, 567450.0)	(35.0, 1660507.0)	(36.0, 15349914.0)	(37.0, 1366993.0)					
RNAi-WYS-1_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 15.0)	(26.0, 205.0)	(27.0, 1403.0)	(28.0, 6342.0)	(29.0, 20548.0)	(30.0, 45299.0)	(31.0, 76857.0)	(32.0, 101696.0)	(33.0, 122885.0)	(34.0, 149678.0)	(35.0, 259974.0)	(36.0, 1748891.0)	(37.0, 369459.0)				
RNAi-WYS-1_R1_001_trimmed_2P	(24.0, 4.0)	(25.0, 26.0)	(26.0, 350.0)	(27.0, 2182.0)	(28.0, 9646.0)	(29.0, 33018.0)	(30.0, 88842.0)	(31.0, 206796.0)	(32.0, 414202.0)	(33.0, 792913.0)	(34.0, 1648940.0)	(35.0, 4689803.0)	(36.0, 11422488.0)	(37.0, 269005.0)				
RNAi-WYS-1_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 17.0)	(26.0, 162.0)	(27.0, 979.0)	(28.0, 3452.0)	(29.0, 9599.0)	(30.0, 18969.0)	(31.0, 29286.0)	(32.0, 34504.0)	(33.0, 32913.0)	(34.0, 26125.0)	(35.0, 19817.0)	(36.0, 16464.0)	(37.0, 275.0)				
RNAi-WYS-2_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 36.0)	(27.0, 409.0)	(28.0, 2675.0)	(29.0, 12477.0)	(30.0, 39480.0)	(31.0, 94914.0)	(32.0, 181106.0)	(33.0, 316610.0)	(34.0, 600501.0)	(35.0, 1785243.0)	(36.0, 15746039.0)	(37.0, 1332292.0)					
RNAi-WYS-2_R1_001_trimmed_1U	(25.0, 12.0)	(26.0, 202.0)	(27.0, 1408.0)	(28.0, 6520.0)	(29.0, 21824.0)	(30.0, 49825.0)	(31.0, 84056.0)	(32.0, 113113.0)	(33.0, 138305.0)	(34.0, 167863.0)	(35.0, 283088.0)	(36.0, 1889423.0)	(37.0, 416477.0)					
RNAi-WYS-2_R1_001_trimmed_2P	(24.0, 4.0)	(25.0, 26.0)	(26.0, 337.0)	(27.0, 2374.0)	(28.0, 10552.0)	(29.0, 36449.0)	(30.0, 98707.0)	(31.0, 228681.0)	(32.0, 462114.0)	(33.0, 899823.0)	(34.0, 1885562.0)	(35.0, 5175289.0)	(36.0, 11087956.0)	(37.0, 223909.0)				
RNAi-WYS-2_R1_001_trimmed_2U	(25.0, 25.0)	(26.0, 145.0)	(27.0, 976.0)	(28.0, 3608.0)	(29.0, 9908.0)	(30.0, 19541.0)	(31.0, 30436.0)	(32.0, 35242.0)	(33.0, 33075.0)	(34.0, 25747.0)	(35.0, 19723.0)	(36.0, 15367.0)	(37.0, 223.0)					
RNAi-WYS-3_R1_001_trimmed_1P	(25.0, 3.0)	(26.0, 43.0)	(27.0, 612.0)	(28.0, 3817.0)	(29.0, 17711.0)	(30.0, 54548.0)	(31.0, 128096.0)	(32.0, 235139.0)	(33.0, 393708.0)	(34.0, 701215.0)	(35.0, 1966350.0)	(36.0, 19354705.0)	(37.0, 1826742.0)					
RNAi-WYS-3_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 11.0)	(26.0, 232.0)	(27.0, 1721.0)	(28.0, 7824.0)	(29.0, 25701.0)	(30.0, 56894.0)	(31.0, 94523.0)	(32.0, 123755.0)	(33.0, 147558.0)	(34.0, 181751.0)	(35.0, 348622.0)	(36.0, 2921781.0)	(37.0, 677952.0)				
RNAi-WYS-3_R1_001_trimmed_2P	(25.0, 26.0)	(26.0, 297.0)	(27.0, 1941.0)	(28.0, 8711.0)	(29.0, 30243.0)	(30.0, 82537.0)	(31.0, 193263.0)	(32.0, 390075.0)	(33.0, 760581.0)	(34.0, 1640681.0)	(35.0, 5110141.0)	(36.0, 15979218.0)	(37.0, 484975.0)					
RNAi-WYS-3_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 17.0)	(26.0, 151.0)	(27.0, 1008.0)	(28.0, 3916.0)	(29.0, 11312.0)	(30.0, 22967.0)	(31.0, 37723.0)	(32.0, 46123.0)	(33.0, 45680.0)	(34.0, 37566.0)	(35.0, 27739.0)	(36.0, 22527.0)	(37.0, 479.0)				
RNAi-gam-1_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 24.0)	(27.0, 349.0)	(28.0, 2530.0)	(29.0, 11769.0)	(30.0, 37044.0)	(31.0, 88726.0)	(32.0, 167913.0)	(33.0, 289635.0)	(34.0, 538150.0)	(35.0, 1575130.0)	(36.0, 14231614.0)	(37.0, 1220009.0)					
RNAi-gam-1_R1_001_trimmed_1U	(25.0, 20.0)	(26.0, 162.0)	(27.0, 1289.0)	(28.0, 5742.0)	(29.0, 19042.0)	(30.0, 43157.0)	(31.0, 72757.0)	(32.0, 96810.0)	(33.0, 116071.0)	(34.0, 141229.0)	(35.0, 258166.0)	(36.0, 1870781.0)	(37.0, 383605.0)					
