Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
BA14-WYS_R1_001_trimmed_1U	(25.0, 12.0)	(26.0, 160.0)	(27.0, 1155.0)	(28.0, 5759.0)	(29.0, 19430.0)	(30.0, 45126.0)	(31.0, 78854.0)	(32.0, 107823.0)	(33.0, 134283.0)	(34.0, 168424.0)	(35.0, 291107.0)	(36.0, 1714546.0)	(37.0, 309031.0)					
BA14-WYS_R1_001_trimmed_2P	(23.0, 4.0)	(24.0, 6.0)	(25.0, 46.0)	(26.0, 380.0)	(27.0, 2495.0)	(28.0, 10839.0)	(29.0, 37330.0)	(30.0, 100451.0)	(31.0, 231654.0)	(32.0, 461894.0)	(33.0, 875793.0)	(34.0, 1776837.0)	(35.0, 4806487.0)	(36.0, 11261817.0)	(37.0, 261396.0)			
BA14-WYS_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 1.0)	(25.0, 15.0)	(26.0, 139.0)	(27.0, 932.0)	(28.0, 3277.0)	(29.0, 9277.0)	(30.0, 18788.0)	(31.0, 28841.0)	(32.0, 34843.0)	(33.0, 33509.0)	(34.0, 27246.0)	(35.0, 20787.0)	(36.0, 16746.0)	(37.0, 246.0)			
BA14-gam_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 43.0)	(27.0, 441.0)	(28.0, 3211.0)	(29.0, 15100.0)	(30.0, 47456.0)	(31.0, 112563.0)	(32.0, 211936.0)	(33.0, 366579.0)	(34.0, 686719.0)	(35.0, 2036120.0)	(36.0, 17195840.0)	(37.0, 1384998.0)					
BA14-gam_R1_001_trimmed_1U	(25.0, 16.0)	(26.0, 204.0)	(27.0, 1530.0)	(28.0, 7205.0)	(29.0, 23568.0)	(30.0, 52975.0)	(31.0, 90448.0)	(32.0, 121666.0)	(33.0, 151451.0)	(34.0, 194522.0)	(35.0, 380930.0)	(36.0, 2629163.0)	(37.0, 504288.0)					
BA14-gam_R1_001_trimmed_2P	(24.0, 3.0)	(25.0, 30.0)	(26.0, 307.0)	(27.0, 2183.0)	(28.0, 9486.0)	(29.0, 33223.0)	(30.0, 91320.0)	(31.0, 213213.0)	(32.0, 431569.0)	(33.0, 839777.0)	(34.0, 1797690.0)	(35.0, 5280142.0)	(36.0, 13057740.0)	(37.0, 304325.0)				
BA14-gam_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 1.0)	(25.0, 22.0)	(26.0, 158.0)	(27.0, 1025.0)	(28.0, 3807.0)	(29.0, 10759.0)	(30.0, 21494.0)	(31.0, 34300.0)	(32.0, 40831.0)	(33.0, 39884.0)	(34.0, 32776.0)	(35.0, 24159.0)	(36.0, 17497.0)	(37.0, 294.0)			
BA19-S5_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 43.0)	(27.0, 537.0)	(28.0, 3579.0)	(29.0, 16520.0)	(30.0, 52601.0)	(31.0, 124202.0)	(32.0, 233326.0)	(33.0, 406415.0)	(34.0, 766914.0)	(35.0, 2303235.0)	(36.0, 19654764.0)	(37.0, 1558919.0)					
BA19-S5_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 22.0)	(26.0, 190.0)	(27.0, 1504.0)	(28.0, 7414.0)	(29.0, 23862.0)	(30.0, 53848.0)	(31.0, 91019.0)	(32.0, 121861.0)	(33.0, 147351.0)	(34.0, 180757.0)	(35.0, 300055.0)	(36.0, 1767640.0)	(37.0, 342808.0)				
BA19-S5_R1_001_trimmed_2P	(23.0, 2.0)	(24.0, 6.0)	(25.0, 55.0)	(26.0, 404.0)	(27.0, 2978.0)	(28.0, 13021.0)	(29.0, 44292.0)	(30.0, 119083.0)	(31.0, 275325.0)	(32.0, 546518.0)	(33.0, 1035210.0)	(34.0, 2094128.0)	(35.0, 5725912.0)	(36.0, 14866739.0)	(37.0, 397384.0)			
BA19-S5_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 16.0)	(26.0, 204.0)	(27.0, 1149.0)	(28.0, 4133.0)	(29.0, 11347.0)	(30.0, 23527.0)	(31.0, 36832.0)	(32.0, 43963.0)	(33.0, 43765.0)	(34.0, 36069.0)	(35.0, 27998.0)	(36.0, 22979.0)	(37.0, 422.0)				
BA19-WYS_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 34.0)	(27.0, 387.0)	(28.0, 2712.0)	(29.0, 12491.0)	(30.0, 40059.0)	(31.0, 95568.0)	(32.0, 179125.0)	(33.0, 310982.0)	(34.0, 577248.0)	(35.0, 1716841.0)	(36.0, 14825945.0)	(37.0, 1183249.0)					
BA19-WYS_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 8.0)	(26.0, 189.0)	(27.0, 1358.0)	(28.0, 6419.0)	(29.0, 21357.0)	(30.0, 47905.0)	(31.0, 81917.0)	(32.0, 108617.0)	(33.0, 133618.0)	(34.0, 169248.0)	(35.0, 320237.0)	(36.0, 2350205.0)	(37.0, 493156.0)				
BA19-WYS_R1_001_trimmed_2P	(24.0, 6.0)	(25.0, 36.0)	(26.0, 274.0)	(27.0, 1902.0)	(28.0, 8619.0)	(29.0, 29923.0)	(30.0, 82278.0)	(31.0, 193170.0)	(32.0, 391275.0)	(33.0, 766864.0)	(34.0, 1651761.0)	(35.0, 4772652.0)	(36.0, 10817081.0)	(37.0, 228802.0)				
BA19-WYS_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 2.0)	(25.0, 15.0)	(26.0, 141.0)	(27.0, 859.0)	(28.0, 3333.0)	(29.0, 9346.0)	(30.0, 18843.0)	(31.0, 29265.0)	(32.0, 34787.0)	(33.0, 33391.0)	(34.0, 26526.0)	(35.0, 19826.0)	(36.0, 14920.0)	(37.0, 246.0)			
