Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA12-gam_R1_001_trimmed_2P	(1, 0.0)	(2, 0.003920143260217937)	(3, 0.0)	(4, 0.0)	(5, 9.775918354658196e-06)	(6, 0.0005132357136195553)	(7, 0.0)	(8, 0.00035682101994502415)	(9, 0.0)	(10, 0.0009580399987565032)	(15, 0.0004848855503910465)	(20, 0.0)	(25, 0.0)	(30, 0.0001593474691809286)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 9.8102530289892e-06)	(60, 1.9669865501492024e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0001073576576626727)	(85, 9.969311965442377e-07)	(90, 0.0)	(95, 0.0)	(100, 1.3080138081986908e-05)	(105, 6.561036668018913e-05)	(110, 0.0)	(115, 0.000310002699564492)	(120, 1.0202685426385172e-06)	(125, 0.0)	(130, 1.9553837214655097e-05)	(135, 7.030039628126619e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA12-gam_R1_001_trimmed_2U	(1, 0.0)	(2, 0.020934845527008566)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004186969105401713)	(7, 0.0)	(8, 0.003663597967226499)	(9, 0.0)	(10, 0.003454249511956414)	(15, 0.000628045365810257)	(20, 0.0)	(25, 0.0)	(30, 0.0023028330079709427)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0006555683318539341)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0006134611786429626)	(110, 0.0)	(115, 0.0004888987392931177)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.00018513273091142694)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA14-S5_R1_001_trimmed_1P	(1, 0.0)	(2, 0.020212352757354446)	(3, 0.023812496214341068)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000281027364540757)	(15, 0.0008281161392976153)	(20, 0.0)	(25, 0.0)	(30, 8.314419069253166e-07)	(35, 0.0003783060676510191)	(40, 5.653804967092153e-05)	(45, 6.069525920554811e-05)	(50, 0.0)	(55, 0.0)	(60, 6.91783647281422e-05)	(65, 0.00013599009251272505)	(70, 3.0064271399397634e-05)	(75, 8.359525468192987e-07)	(80, 0.0)	(85, 0.0)	(90, 2.8507407641491112e-05)	(95, 0.0)	(100, 0.0)	(105, 2.523278781756294e-06)	(110, 0.0)	(115, 3.2034265738970066e-05)	(120, 1.1816099959479218e-05)	(125, 0.0)	(130, 8.800756831238421e-05)	(135, 4.3216500405586855e-05)	(140, 5.091449821394486e-06)	(145, 0.0)	(150, 0.0)
BA14-S5_R1_001_trimmed_1U	(1, 0.0)	(2, 0.02162909877601548)	(3, 0.028130187893834993)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005289859586362644)	(15, 0.0007910070409514233)	(20, 0.0)	(25, 4.943794005946395e-06)	(30, 7.910070409514232e-05)	(35, 0.0034754871861803157)	(40, 0.0006970749548384417)	(45, 0.0016166206399444714)	(50, 0.0)	(55, 0.00027944044844603166)	(60, 0.0023528163790206198)	(65, 0.0011258404627265159)	(70, 0.0011786590959172274)	(75, 3.115704328590902e-05)	(80, 0.0)	(85, 1.618610568501892e-05)	(90, 0.0004493279053043104)	(95, 7.478132645851342e-05)	(100, 0.0)	(105, 0.0006139859867931613)	(110, 6.889059752879782e-06)	(115, 0.0020929711431603637)	(120, 6.875389157769124e-05)	(125, 0.0)	(130, 0.0038597156223079765)	(135, 0.0034146519611423566)	(140, 0.0016771427800976427)	(145, 0.0)	(150, 0.0)
BA14-S5_R1_001_trimmed_2P	(1, 0.0)	(2, 0.004244510934853741)	(3, 0.0)	(4, 0.0)	(5, 8.314419069253166e-06)	(6, 0.0004074065343934051)	(7, 0.0)	(8, 0.00028684745788923425)	(9, 0.0)	(10, 0.000961146844405666)	(15, 0.0004905507250859368)	(20, 1.6628838138506333e-06)	(25, 0.0)	(30, 0.00014134512417730383)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 5.0042803695117256e-06)	(60, 1.6717941848160615e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00011305490553672056)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.4492289944039558e-05)	(105, 6.239857933649847e-05)	(110, 0.0)	(115, 0.0003000521893067263)	(120, 1.7249278438965142e-06)	(125, 0.0)	(130, 1.563613314396702e-05)	(135, 6.36518438757688e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA14-S5_R1_001_trimmed_2U	(1, 0.0)	(2, 0.02421077206422772)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004755687369759017)	(7, 0.0)	(8, 0.002594011292595827)	(9, 0.0)	(10, 0.0025075442495092995)	(15, 0.000605269301605693)	(20, 0.0)	(25, 0.0)	(30, 0.001383472689384441)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0001814911677323223)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0013795298986576112)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00036741742293419557)	(110, 0.0)	(115, 0.0003884490782103374)	(120, 0.0)	(125, 0.0)	(130, 0.00014138732066785716)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA14-WYS_R1_001_trimmed_1P	(1, 0.0)	(2, 0.01988659245734785)	(3, 0.024400541290552597)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00029756757671405606)	(15, 0.0008382327330487478)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0004085249782006532)	(40, 6.455703359220199e-05)	(45, 7.161795914134908e-05)	(50, 0.0)	(55, 0.0)	(60, 8.900236420621048e-05)	(65, 0.00013263500496976275)	(70, 2.838052580620433e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.9523764874569045e-05)	(95, 0.0)	(100, 0.0)	(105, 1.0216655625186378e-06)	(110, 0.0)	(115, 4.301900361411868e-05)	(120, 9.230141865126767e-06)	(125, 0.0)	(130, 8.022659363674133e-05)	(135, 5.1504226251390975e-05)	(140, 4.1267381111641115e-06)	(145, 0.0)	(150, 0.0)
BA14-WYS_R1_001_trimmed_1U	(1, 0.0)	(2, 0.018465005163942123)	(3, 0.02761057269335225)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005702939447997191)	(15, 0.0007928476793557068)	(20, 0.0)	(25, 4.1728825229247734e-05)	(30, 0.00020168932194136402)	(35, 0.0038181875084761677)	(40, 0.0008137120919703307)	(45, 0.00174565585542353)	(50, 1.395021461358917e-05)	(55, 0.0002740750126443453)	(60, 0.002429967349173414)	(65, 0.001251472983701817)	(70, 0.0014099624038947933)	(75, 2.9324341512747477e-05)	(80, 0.0)	(85, 6.862586914663274e-05)	(90, 0.00043895733836336637)	(95, 7.309894022780879e-05)	(100, 0.0)	(105, 0.0006750805708661328)	(110, 0.0)	(115, 0.0024224904008817863)	(120, 0.00014376546676813314)	(125, 1.4026817310944102e-05)	(130, 0.0043940975412931835)	(135, 0.003647945426736416)	(140, 0.0014857397096463055)	(145, 0.0)	(150, 0.0)
BA14-WYS_R1_001_trimmed_2P	(1, 0.0)	(2, 0.004473600687209623)	(3, 0.0)	(4, 0.0)	(5, 1.0087036498781562e-05)	(6, 0.00042365553294882553)	(7, 0.0)	(8, 0.000368176832205527)	(9, 5.043518249390781e-06)	(10, 0.000962303281983761)	(15, 0.0004710646044930989)	(20, 0.0)	(25, 0.0)	(30, 0.0001634099912802613)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 3.0363731696552764e-06)	(60, 1.014579003131285e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0001270918029599845)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.0366359479990651e-05)	(105, 7.486185570208874e-05)	(110, 0.0)	(115, 0.00030557193150186564)	(120, 0.0)	(125, 0.0)	(130, 2.85847399857413e-05)	(135, 5.7409213415423265e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA14-WYS_R1_001_trimmed_2U	(1, 0.0)	(2, 0.022604907319879988)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.005137478936336361)	(7, 0.0)	(8, 0.004109983149069089)	(9, 0.0)	(10, 0.0030824873618018164)	(15, 0.0005137478936336361)	(20, 0.0)	(25, 0.0)	(30, 0.001438494102174181)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.00010783740707111446)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0012648429318047286)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.001171956830970131)	(110, 0.0)	(115, 0.000464833775441902)	(120, 0.0)	(125, 0.0)	(130, 0.00033845872665057855)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
