Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA12-gam_R1_001_trimmed_2P	(1, 35.996273419923206)	(2, 36.16098219824819)	(3, 36.26369210236794)	(4, 36.28768386791639)	(5, 36.27104036691759)	(6, 36.21501531202092)	(7, 36.16720848064828)	(8, 36.186843363784014)	(9, 36.20222582019466)	(10, 36.2401028895855)	(15, 36.203039215705445)	(20, 36.182256238942216)	(25, 36.14091180772567)	(30, 36.10810956419151)	(35, 36.073379763731694)	(40, 36.03537902897367)	(45, 35.989346184625255)	(50, 35.95646758649142)	(55, 35.90295768302294)	(60, 35.84823286293564)	(65, 35.84888060046568)	(70, 35.80600395251127)	(75, 35.77195555699986)	(80, 35.7419836106727)	(85, 35.68664961778866)	(90, 35.66252270175234)	(95, 35.604201076038976)	(100, 35.54543768598428)	(105, 35.49813575698255)	(110, 35.49044632531921)	(115, 35.40236210046165)	(120, 35.31829174876851)	(125, 35.24489514865072)	(130, 35.18047378783645)	(135, 35.15644565045491)	(140, 35.10651752781688)	(145, 34.92888382052543)	(150, 35.94613745905084)
BA12-gam_R1_001_trimmed_2U	(1, 32.08253039477885)	(2, 33.03666738194055)	(3, 33.444875934871696)	(4, 33.557107641741986)	(5, 33.53508418424757)	(6, 33.55953608382312)	(7, 33.46380103522811)	(8, 33.38075773673385)	(9, 33.40289110216728)	(10, 33.56719300357462)	(15, 33.50232533796691)	(20, 33.51087512888015)	(25, 33.43904767387698)	(30, 33.40678498343531)	(35, 33.35717149302085)	(40, 33.318439935311325)	(45, 33.2332707032538)	(50, 33.125418917025286)	(55, 33.13462732928837)	(60, 33.10698142692005)	(65, 33.18110521156578)	(70, 33.178100622227376)	(75, 33.18822363253005)	(80, 33.21029749517514)	(85, 33.21747819284114)	(90, 33.23702904577344)	(95, 33.19784031756386)	(100, 33.193388909689624)	(105, 33.17939251638366)	(110, 33.216082899090495)	(115, 33.17316841783416)	(120, 33.1090250176283)	(125, 33.05692904416544)	(130, 33.035559835040125)	(135, 33.05469671084835)	(140, 33.06442199622652)	(145, 32.91003498226541)	(150, 35.24544492241166)
BA14-S5_R1_001_trimmed_1P	(1, 36.50258755114459)	(2, 36.4254084572691)	(3, 36.56636313632691)	(4, 36.62056766114186)	(5, 36.63319086160537)	(6, 36.61892789141302)	(7, 36.58083089066094)	(8, 36.604771345784755)	(9, 36.61886461868391)	(10, 36.62746899480378)	(15, 36.61273243530125)	(20, 36.597182027202535)	(25, 36.56972014954148)	(30, 36.55101698856148)	(35, 36.537936910770114)	(40, 36.5208377841458)	(45, 36.507839578439)	(50, 36.492787460438485)	(55, 36.46904478305961)	(60, 36.46485779180529)	(65, 36.44664448072312)	(70, 36.428495212582554)	(75, 36.41467909346608)	(80, 36.413880986686465)	(85, 36.401485991954985)	(90, 36.3753345931978)	(95, 36.357697531840095)	(100, 36.339336768789394)	(105, 36.28742656923282)	(110, 36.2909387980809)	(115, 36.224646107618646)	(120, 36.2506924272095)	(125, 36.21554068099964)	(130, 36.15130330314342)	(135, 36.151387762531)	(140, 36.08921715626392)	(145, 36.06235166092421)	(150, 36.43794071518865)
BA14-S5_R1_001_trimmed_1U	(1, 35.72141028645331)	(2, 35.7246413030259)	(3, 36.008486022411205)	(4, 36.14860995343935)	(5, 36.18796799190009)	(6, 36.19678327099209)	(7, 36.168628364128224)	(8, 36.1990386298176)	(9, 36.2179046421237)	(10, 36.226731539131606)	(15, 36.20398222607179)	(20, 36.178973351961545)	(25, 36.12895169814381)	(30, 36.099819650394664)	(35, 36.08127592401982)	(40, 36.057696795136096)	(45, 36.03363584408856)	(50, 36.011962644974766)	(55, 36.001364616185604)	(60, 36.005562839777525)	(65, 35.99701154480873)	(70, 35.988553706443945)	(75, 35.980382416086485)	(80, 35.983840078418034)	(85, 35.983289070848194)	(90, 35.95728453686882)	(95, 35.937831547643526)	(100, 35.916166762360334)	(105, 35.85158131607641)	(110, 35.85066190805603)	(115, 35.758646308008636)	(120, 35.76315981825191)	(125, 35.673627409097016)	(130, 35.49075671661882)	(135, 35.21894302628764)	(140, 34.34681313478203)	(145, 33.939952925338446)	(150, 35.50448637585631)
BA14-S5_R1_001_trimmed_2P	(1, 36.06137442252722)	(2, 36.26991239969641)	(3, 36.3738459222576)	(4, 36.375966348552836)	(5, 36.35430445997495)	(6, 36.29742610113152)	(7, 36.257290571112044)	(8, 36.26932141078896)	(9, 36.28474245484138)	(10, 36.31753345940486)	(15, 36.280715083274934)	(20, 36.25896423041301)	(25, 36.22133242140785)	(30, 36.19333990089295)	(35, 36.16088183892667)	(40, 36.13002448554844)	(45, 36.087473267583746)	(50, 36.060460969806044)	(55, 36.012260134349944)	(60, 35.9672839749398)	(65, 35.965610424186416)	(70, 35.93068920398233)	(75, 35.89807792280226)	(80, 35.871819377085814)	(85, 35.81930468675991)	(90, 35.79989372814276)	(95, 35.74952464622938)	(100, 35.69702933080153)	(105, 35.65654304713742)	(110, 35.64480006609693)	(115, 35.566467966812354)	(120, 35.490092691509126)	(125, 35.4262696514145)	(130, 35.36396855613492)	(135, 35.34285769793908)	(140, 35.2971673837942)	(145, 35.128498232852635)	(150, 36.02431137326008)
BA14-S5_R1_001_trimmed_2U	(1, 32.05212233357256)	(2, 33.05744870342669)	(3, 33.55548157819647)	(4, 33.6436520220318)	(5, 33.560790654641984)	(6, 33.59202687395699)	(7, 33.46543479952616)	(8, 33.476321000250756)	(9, 33.50843486005309)	(10, 33.61081443307883)	(15, 33.54930869599052)	(20, 33.52500713353105)	(25, 33.47379443325177)	(30, 33.421846763106245)	(35, 33.392100370943616)	(40, 33.3434782232752)	(45, 33.26549878513804)	(50, 33.207142791075896)	(55, 33.20145554847769)	(60, 33.18076725661102)	(65, 33.26038908550593)	(70, 33.26362645579832)	(75, 33.2908201648196)	(80, 33.304537056473045)	(85, 33.29350475347107)	(90, 33.313299280232805)	(95, 33.302733192430665)	(100, 33.28018005636041)	(105, 33.268460041983104)	(110, 33.29859759701812)	(115, 33.23105799677521)	(120, 33.17184721572888)	(125, 33.12673172189082)	(130, 33.12009086790774)	(135, 33.10828453518993)	(140, 33.140640431687295)	(145, 33.00535406692905)	(150, 35.23009285312324)
BA14-WYS_R1_001_trimmed_1P	(1, 36.49132275293988)	(2, 36.41351180730492)	(3, 36.55733998593565)	(4, 36.61010961128647)	(5, 36.62642045017536)	(6, 36.60893517762691)	(7, 36.57231651163648)	(8, 36.60124643492608)	(9, 36.61300842383549)	(10, 36.61710568727797)	(15, 36.6030245272849)	(20, 36.58477547441981)	(25, 36.55814811895178)	(30, 36.53865649449558)	(35, 36.52362591236614)	(40, 36.507451258557026)	(45, 36.4892263540573)	(50, 36.47533462980866)	(55, 36.45093695572673)	(60, 36.440714771872834)	(65, 36.42115668523964)	(70, 36.402240439294935)	(75, 36.386121229189214)	(80, 36.38668958797365)	(85, 36.3757363536101)	(90, 36.34233932848358)	(95, 36.32367997128474)	(100, 36.30224613779131)	(105, 36.250364681453924)	(110, 36.2552144424199)	(115, 36.1826563381026)	(120, 36.2057345415803)	(125, 36.16936348211243)	(130, 36.097371996635516)	(135, 36.09558529712694)	(140, 36.02226478322664)	(145, 35.99212689028472)	(150, 36.396264463460234)
BA14-WYS_R1_001_trimmed_1U	(1, 35.55420539623258)	(2, 35.58845328631886)	(3, 35.90858257612903)	(4, 36.06383467039444)	(5, 36.11342033793394)	(6, 36.128533822951546)	(7, 36.09692284687955)	(8, 36.12990322389949)	(9, 36.15101244562212)	(10, 36.16252501121462)	(15, 36.139921897548774)	(20, 36.110955277131566)	(25, 36.05623640770453)	(30, 36.02408622566253)	(35, 36.001408000111276)	(40, 35.97886608872243)	(45, 35.946300357129196)	(50, 35.92208285917626)	(55, 35.91063056415821)	(60, 35.910469818706844)	(65, 35.89793829148268)	(70, 35.88949736243934)	(75, 35.876720787667715)	(80, 35.88537706763575)	(85, 35.88133920261671)	(90, 35.844019160242695)	(95, 35.821084501529654)	(100, 35.79110265283525)	(105, 35.72359409292897)	(110, 35.714298656288314)	(115, 35.610198453827124)	(120, 35.60860158837839)	(125, 35.523687581026806)	(130, 35.33326471266755)	(135, 35.070102814474645)	(140, 34.21356808806232)	(145, 33.85048640062354)	(150, 35.460362436084786)
BA14-WYS_R1_001_trimmed_2P	(1, 36.09207230044803)	(2, 36.258390636526805)	(3, 36.337601259346336)	(4, 36.33810258506032)	(5, 36.32676394907277)	(6, 36.27073187350715)	(7, 36.236716671637055)	(8, 36.25136168688336)	(9, 36.26999143459296)	(10, 36.294109871733745)	(15, 36.2494379679786)	(20, 36.232685528718825)	(25, 36.18929616139339)	(30, 36.16200294047201)	(35, 36.12437395690587)	(40, 36.09491406071861)	(45, 36.04656663251701)	(50, 36.02397450132152)	(55, 35.97055913655778)	(60, 35.91986090651109)	(65, 35.919644621744474)	(70, 35.88090457069134)	(75, 35.84872139817918)	(80, 35.8228270141911)	(85, 35.7697908732617)	(90, 35.74427631249566)	(95, 35.69238335419952)	(100, 35.638780342687014)	(105, 35.59030516896338)	(110, 35.58198541846828)	(115, 35.49582689705654)	(120, 35.408726092187024)	(125, 35.34040656702013)	(130, 35.272681880573494)	(135, 35.24995661428179)	(140, 35.193647371633084)	(145, 35.013944918740584)	(150, 35.974485503568474)
BA14-WYS_R1_001_trimmed_2U	(1, 32.30764251366569)	(2, 33.41929020591016)	(3, 33.49546874357815)	(4, 33.69462825202417)	(5, 33.63463277300563)	(6, 33.70178989766142)	(7, 33.601136410340715)	(8, 33.54262052525585)	(9, 33.59550573342649)	(10, 33.70723768032551)	(15, 33.612676215527515)	(20, 33.620876659405695)	(25, 33.55336813119066)	(30, 33.513242365706304)	(35, 33.44514610990095)	(40, 33.41622621347253)	(45, 33.324620854054494)	(50, 33.2636540105947)	(55, 33.23617769806331)	(60, 33.225268443730386)	(65, 33.29936587395405)	(70, 33.30313638375016)	(75, 33.297621067378806)	(80, 33.31302729344325)	(85, 33.31231698854468)	(90, 33.323035573165114)	(95, 33.31227354244991)	(100, 33.28925421677222)	(105, 33.288000958088205)	(110, 33.31938823591131)	(115, 33.25225453154127)	(120, 33.18636556438692)	(125, 33.153384898212906)	(130, 33.11217586239183)	(135, 33.16418427011628)	(140, 33.12067285030147)	(145, 32.971313556243146)	(150, 35.25889334301316)
