Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BA14-S5_R1_001_trimmed_1P	(1.0, 9.280887939990896)	(2.0, 8.611465693283982)	(3.0, 7.519928454369759)	(4.0, 6.083714282158336)	(5.0, 4.763138759574441)	(6.0, 3.5209900795467854)	(7.0, 2.7710901045218486)	(8.0, 2.15674371170654)	(9.0, 1.7621592154278622)	('>10', 18.506634614189576)	('>50', 6.443187436637314)	('>100', 14.907122345002048)	('>500', 5.881614919285278)	('>1k', 6.9741016965783205)	('>5k', 0.594577264203344)	('>10k+', 0.22264348352346108)
BA14-S5_R1_001_trimmed_1U	(1.0, 18.865544162084024)	(2.0, 12.622538108573798)	(3.0, 10.375894612590333)	(4.0, 7.829981149050402)	(5.0, 5.591342272585925)	(6.0, 4.139491946317744)	(7.0, 2.930406004048792)	(8.0, 2.1995181715962446)	(9.0, 1.791619437210346)	('>10', 18.21852060241395)	('>50', 5.589913434331321)	('>100', 8.349184250043425)	('>500', 0.9682116054154116)	('>1k', 0.5278342437384392)	('>5k', 0.0)	('>10k+', 0.0)
BA14-S5_R1_001_trimmed_2P	(1.0, 9.650582114025827)	(2.0, 8.330512247359987)	(3.0, 7.259930812490676)	(4.0, 5.812875625272954)	(5.0, 4.4352763419848245)	(6.0, 3.3219897380942256)	(7.0, 2.656868343834642)	(8.0, 2.07333365517507)	(9.0, 1.7010174851264568)	('>10', 17.721884684329126)	('>50', 6.291072011331591)	('>100', 14.890117588469137)	('>500', 6.545508793310724)	('>1k', 7.8376848666802195)	('>5k', 0.9315378960123504)	('>10k+', 0.5398077965021124)
BA14-S5_R1_001_trimmed_2U	(1.0, 73.29896653659885)	(2.0, 9.148820468222352)	(3.0, 4.076652284447624)	(4.0, 2.4618883008559003)	(5.0, 1.6148140346937765)	(6.0, 1.3208848567192768)	(7.0, 0.9655410262410455)	(8.0, 0.7588549928068006)	(9.0, 0.6944330360814871)	('>10', 4.616570678068424)	('>50', 0.5177853853769325)	('>100', 0.14181104383949797)	('>500', 0.38297735604802696)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BA14-WYS_R1_001_trimmed_1P	(1.0, 30.20063592604203)	(2.0, 19.381755872432176)	(3.0, 12.026513192812867)	(4.0, 7.779469186981947)	(5.0, 5.118232950182028)	(6.0, 3.3641679510160865)	(7.0, 2.4014105311334744)	(8.0, 1.8411380214292787)	(9.0, 1.469767225882159)	('>10', 12.200570648355354)	('>50', 2.1500982139239766)	('>100', 1.8613081669941567)	('>500', 0.13893640172454197)	('>1k', 0.06599571108990386)	('>5k', 0.0)	('>10k+', 0.0)
BA14-WYS_R1_001_trimmed_1U	(1.0, 50.25242057224158)	(2.0, 21.920207975139995)	(3.0, 10.744415515947296)	(4.0, 5.549867841774443)	(5.0, 2.92223691328385)	(6.0, 1.7356011963951798)	(7.0, 1.1861161889025826)	(8.0, 0.7871204475175445)	(9.0, 0.6479124038794579)	('>10', 3.7884005785992025)	('>50', 0.3012746633553052)	('>100', 0.16442570296351783)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BA14-WYS_R1_001_trimmed_2P	(1.0, 30.221115585712628)	(2.0, 18.816494016451426)	(3.0, 11.795332616106895)	(4.0, 7.616027674977347)	(5.0, 5.001538498976759)	(6.0, 3.4674089982041876)	(7.0, 2.502024445504706)	(8.0, 1.8693027858189437)	(9.0, 1.4443151192194996)	('>10', 12.530939831400792)	('>50', 2.243913225676868)	('>100', 2.1428007861925242)	('>500', 0.19272787475827022)	('>1k', 0.15605854099930164)	('>5k', 0.0)	('>10k+', 0.0)
BA14-WYS_R1_001_trimmed_2U	(1.0, 86.04463028606126)	(2.0, 8.561518500977835)	(3.0, 2.0712822793116947)	(4.0, 0.8755262785726912)	(5.0, 0.39718776584197374)	(6.0, 0.2191342588387134)	(7.0, 0.1525812319473338)	(8.0, 0.06523202621366715)	(9.0, 0.03254745818411093)	('>10', 0.30377627638503535)	('>50', 0.06057443606487312)	('>100', 0.0)	('>500', 0.0)	('>1k', 1.216009201600811)	('>5k', 0.0)	('>10k+', 0.0)
BA14-gam_R1_001_trimmed_1P	(1.0, 17.007986736504677)	(2.0, 11.798655867368552)	(3.0, 8.077221677819074)	(4.0, 5.24766117129131)	(5.0, 3.5491175910066537)	(6.0, 2.459551582042548)	(7.0, 1.7851864544360552)	(8.0, 1.3450865835462713)	(9.0, 1.0868096542085168)	('>10', 10.44699532615203)	('>50', 3.5333965139298296)	('>100', 12.315628856181334)	('>500', 7.649636620039833)	('>1k', 11.945351913436596)	('>5k', 1.1871784282367777)	('>10k+', 0.5645350237999476)
BA14-gam_R1_001_trimmed_1U	(1.0, 27.504627620776922)	(2.0, 14.832480722542687)	(3.0, 8.742743807211262)	(4.0, 5.018255880161595)	(5.0, 3.2155454136190786)	(6.0, 2.0092564049605808)	(7.0, 1.37271787811179)	(8.0, 1.0731656598367598)	(9.0, 0.8837827980077407)	('>10', 11.021206534049895)	('>50', 5.945199895759294)	('>100', 14.321646210229275)	('>500', 2.6123659224375286)	('>1k', 1.4470052522956145)	('>5k', 0.0)	('>10k+', 0.0)
BA14-gam_R1_001_trimmed_2P	(1.0, 17.010459780209555)	(2.0, 11.274311211152611)	(3.0, 7.867842587531487)	(4.0, 5.231730473053842)	(5.0, 3.4096054557842015)	(6.0, 2.377731635823964)	(7.0, 1.753882993643404)	(8.0, 1.4134107558382707)	(9.0, 1.0700013039269296)	('>10', 10.570730795635386)	('>50', 3.2893523306387347)	('>100', 11.318973979642767)	('>500', 7.968685088684564)	('>1k', 13.318876846053055)	('>5k', 1.2147689766049012)	('>10k+', 0.9096357857761248)
BA14-gam_R1_001_trimmed_2U	(1.0, 71.9986671631857)	(2.0, 6.68401784184732)	(3.0, 2.9904735347197215)	(4.0, 2.134162851528995)	(5.0, 1.5391481330356749)	(6.0, 1.5077089780555126)	(7.0, 1.0527681447293629)	(8.0, 0.9568167887262835)	(9.0, 0.8981264022142686)	('>10', 8.538157200813117)	('>50', 0.7328308530549917)	('>100', 0.2928640687925684)	('>500', 0.0)	('>1k', 0.674258039296478)	('>5k', 0.0)	('>10k+', 0.0)
BA19-S5_R1_001_trimmed_1P	(1.0, 25.168292113570338)	(2.0, 16.766509447955027)	(3.0, 11.181596012202089)	(4.0, 7.605130896940657)	(5.0, 5.334538293830669)	(6.0, 3.6586572902702446)	(7.0, 2.660369672754144)	(8.0, 2.0171318979482935)	(9.0, 1.5329081095368329)	('>10', 12.85899894237987)	('>50', 3.011981084679581)	('>100', 4.905592827765086)	('>500', 1.7357657472252956)	('>1k', 1.3821461688472767)	('>5k', 0.180381494094564)	('>10k+', 0.0)
BA19-S5_R1_001_trimmed_1U	(1.0, 46.76527627160218)	(2.0, 20.14442149694225)	(3.0, 10.538685576426374)	(4.0, 5.704875416709769)	(5.0, 3.2388159013092976)	(6.0, 1.8981955681300962)	(7.0, 1.261581073515534)	(8.0, 0.9910602363723108)	(9.0, 0.6647768842135208)	('>10', 5.894503707559749)	('>50', 1.2955101858350477)	('>100', 1.4221011190392425)	('>500', 0.13356910288751134)	('>1k', 0.04662745945717882)	('>5k', 0.0)	('>10k+', 0.0)
BA19-S5_R1_001_trimmed_2P	(1.0, 24.68984285216437)	(2.0, 16.309758082730365)	(3.0, 10.830084058008243)	(4.0, 7.523850547638953)	(5.0, 5.21346770001019)	(6.0, 3.6480272531200617)	(7.0, 2.646669336611709)	(8.0, 2.0591456839479987)	(9.0, 1.5862098854590587)	('>10', 13.329307135785088)	('>50', 3.024927327242359)	('>100', 5.357749251770719)	('>500', 1.8543910876788683)	('>1k', 1.619524270977626)	('>5k', 0.22516139948597294)	('>10k+', 0.08188412736834136)
BA19-S5_R1_001_trimmed_2U	(1.0, 87.33436059909887)	(2.0, 6.092954121762118)	(3.0, 1.9912557744191282)	(4.0, 0.9945610012408783)	(5.0, 0.6401784779335116)	(6.0, 0.45867185637235114)	(7.0, 0.3338746558946123)	(8.0, 0.23797794782533457)	(9.0, 0.18608331088616034)	('>10', 1.0105995034034958)	('>50', 0.09864201121156661)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.6208407399519825)	('>5k', 0.0)	('>10k+', 0.0)
