"hubGene","genes","cor"
"Ceric.02G031800.1","Ceric.02G031800.1",1
"Ceric.02G031800.1","Ceric.26G041100.1",0.924
"Ceric.02G031800.1","Ceric.29G044300.1",0.924
"Ceric.02G031800.1","Ceric.10G069400.1",0.917
"Ceric.02G031800.1","Ceric.04G072300.1",0.908
"Ceric.02G031800.1","Ceric.03G054000.1",0.906
"Ceric.02G031800.1","Ceric.34G024000.1",0.906
"Ceric.02G031800.1","Ceric.15G072700.1",0.905
"Ceric.02G031800.1","Ceric.24G014800.1",0.903
"Ceric.02G031800.1","Ceric.35G006200.1",0.902
"Ceric.10G011000.1","Ceric.10G011000.1",1
"Ceric.10G011000.1","Ceric.17G000200.1",0.867
"Ceric.10G011000.1","Ceric.11G051900.1",0.864
"Ceric.10G011000.1","Ceric.26G061700.1",0.864
"Ceric.10G011000.1","Ceric.18G032800.1",0.851
"Ceric.10G011000.1","Ceric.23G005200.1",0.848
"Ceric.10G011000.1","Ceric.38G067200.1",0.847
"Ceric.10G011000.1","Ceric.22G069600.1",0.845
"Ceric.10G011000.1","Ceric.11G095500.1",0.842
"Ceric.10G011000.1","Ceric.03G063200.1",0.841
"Ceric.10G011000.1","Ceric.29G051700.1",0.84
"Ceric.10G011000.1","Ceric.02G077900.1",0.839
"Ceric.10G011000.1","Ceric.29G024900.1",0.839
"Ceric.10G011000.1","Ceric.19G016400.1",0.837
"Ceric.10G011000.1","Ceric.20G022000.1",0.837
"Ceric.10G011000.1","Ceric.06G081800.1",0.835
"Ceric.10G011000.1","Ceric.20G042600.1",0.835
"Ceric.10G011000.1","Ceric.06G048500.1",0.833
"Ceric.10G011000.1","Ceric.1Z064000.1",0.832
"Ceric.10G011000.1","Ceric.10G016100.1",0.831
"Ceric.12G075500.1","Ceric.12G075500.1",1
"Ceric.12G075500.1","Ceric.03G028100.1",0.872
"Ceric.12G075500.1","Ceric.02G031800.1",0.864
"Ceric.12G075500.1","Ceric.02G079100.1",0.862
"Ceric.12G075500.1","Ceric.34G024000.1",0.858
"Ceric.12G075500.1","Ceric.10G069400.1",0.853
"Ceric.12G075500.1","Ceric.29G036800.1",0.852
"Ceric.12G075500.1","Ceric.11G077600.1",0.844
"Ceric.12G075500.1","Ceric.14G092300.1",0.844
"Ceric.12G075500.1","Ceric.30G066700.1",0.839
