"hubGene","genes","cor"
"Ceric.02G031800.1","Ceric.02G031800.1",1
"Ceric.02G031800.1","Ceric.26G041100.1",0.924
"Ceric.02G031800.1","Ceric.29G044300.1",0.924
"Ceric.02G031800.1","Ceric.10G069400.1",0.917
"Ceric.02G031800.1","Ceric.04G072300.1",0.908
"Ceric.02G031800.1","Ceric.03G054000.1",0.906
"Ceric.02G031800.1","Ceric.34G024000.1",0.906
"Ceric.02G031800.1","Ceric.15G072700.1",0.905
"Ceric.02G031800.1","Ceric.24G014800.1",0.903
"Ceric.02G031800.1","Ceric.35G006200.1",0.902
"Ceric.12G075500.1","Ceric.12G075500.1",1
"Ceric.12G075500.1","Ceric.03G028100.1",0.872
"Ceric.12G075500.1","Ceric.02G031800.1",0.864
"Ceric.12G075500.1","Ceric.02G079100.1",0.862
"Ceric.12G075500.1","Ceric.34G024000.1",0.858
"Ceric.12G075500.1","Ceric.10G069400.1",0.853
"Ceric.12G075500.1","Ceric.29G036800.1",0.852
"Ceric.12G075500.1","Ceric.11G077600.1",0.844
"Ceric.12G075500.1","Ceric.14G092300.1",0.844
"Ceric.12G075500.1","Ceric.30G066700.1",0.839
"Ceric.23G000900.1","Ceric.23G000900.1",1
"Ceric.23G000900.1","Ceric.24G071300.1",0.887
"Ceric.23G000900.1","Ceric.36G013100.1",0.873
"Ceric.23G000900.1","Ceric.37G041800.1",0.872
"Ceric.23G000900.1","Ceric.15G055100.1",0.87
"Ceric.23G000900.1","Ceric.1Z032700.1",0.866
"Ceric.23G000900.1","Ceric.03G098200.1",0.859
"Ceric.23G000900.1","Ceric.20G055400.1",0.858
"Ceric.23G000900.1","Ceric.02G026400.1",0.857
"Ceric.23G000900.1","Ceric.37G015800.1",0.857
"Ceric.23G000900.1","Ceric.19G078200.1",0.856
"Ceric.23G000900.1","Ceric.04G009700.1",0.855
"Ceric.23G000900.1","Ceric.07G018300.1",0.853
"Ceric.23G000900.1","Ceric.17G077600.1",0.853
"Ceric.23G000900.1","Ceric.33G008300.1",0.852
"Ceric.23G000900.1","Ceric.03G044100.1",0.849
"Ceric.23G000900.1","Ceric.24G030000.1",0.849
"Ceric.23G000900.1","Ceric.39G010900.1",0.848
"Ceric.23G000900.1","Ceric.29G040900.1",0.845
"Ceric.23G000900.1","Ceric.17G061200.1",0.844
"Ceric.18G015200.1","Ceric.18G015200.1",1
"Ceric.18G015200.1","Ceric.32G050700.1",0.894
"Ceric.18G015200.1","Ceric.22G007300.1",0.891
"Ceric.18G015200.1","Ceric.23G086300.1",0.89
"Ceric.18G015200.1","Ceric.13G059300.1",0.884
"Ceric.18G015200.1","Ceric.04G056200.1",0.882
"Ceric.18G015200.1","Ceric.08G041400.1",0.878
"Ceric.18G015200.1","Ceric.10G070000.1",0.874
"Ceric.18G015200.1","Ceric.36G013100.1",0.873
"Ceric.18G015200.1","Ceric.14G022000.1",0.871
"Ceric.25G026400.1","Ceric.25G026400.1",1
"Ceric.25G026400.1","Ceric.03G019400.1",0.923
"Ceric.25G026400.1","Ceric.29G000500.1",0.919
"Ceric.25G026400.1","Ceric.11G070500.1",0.916
"Ceric.25G026400.1","Ceric.01G121600.1",0.914
"Ceric.25G026400.1","Ceric.22G069800.1",0.914
"Ceric.25G026400.1","Ceric.02G026400.1",0.913
"Ceric.25G026400.1","Ceric.12G019900.1",0.913
"Ceric.25G026400.1","Ceric.17G061200.1",0.913
"Ceric.25G026400.1","Ceric.17G077900.1",0.909
"Ceric.10G011000.1","Ceric.10G011000.1",1
"Ceric.10G011000.1","Ceric.17G000200.1",0.867
"Ceric.10G011000.1","Ceric.11G051900.1",0.864
"Ceric.10G011000.1","Ceric.26G061700.1",0.864
"Ceric.10G011000.1","Ceric.18G032800.1",0.851
"Ceric.10G011000.1","Ceric.23G005200.1",0.848
"Ceric.10G011000.1","Ceric.38G067200.1",0.847
"Ceric.10G011000.1","Ceric.22G069600.1",0.845
"Ceric.10G011000.1","Ceric.11G095500.1",0.842
"Ceric.10G011000.1","Ceric.03G063200.1",0.841
"Ceric.10G011000.1","Ceric.29G051700.1",0.84
"Ceric.10G011000.1","Ceric.02G077900.1",0.839
"Ceric.10G011000.1","Ceric.29G024900.1",0.839
"Ceric.10G011000.1","Ceric.19G016400.1",0.837
"Ceric.10G011000.1","Ceric.20G022000.1",0.837
"Ceric.10G011000.1","Ceric.06G081800.1",0.835
"Ceric.10G011000.1","Ceric.20G042600.1",0.835
"Ceric.10G011000.1","Ceric.06G048500.1",0.833
"Ceric.10G011000.1","Ceric.1Z064000.1",0.832
"Ceric.10G011000.1","Ceric.10G016100.1",0.831
"Ceric.15G045600.1","Ceric.15G045600.1",1
"Ceric.15G045600.1","Ceric.37G007300.1",0.985
"Ceric.15G045600.1","Ceric.30G063500.1",0.981
"Ceric.15G045600.1","Ceric.12G070300.1",0.978
"Ceric.15G045600.1","Ceric.23G039500.1",0.978
"Ceric.15G045600.1","Ceric.34G043700.1",0.975
"Ceric.15G045600.1","Ceric.22G021300.1",0.974
"Ceric.15G045600.1","Ceric.05G060900.1",0.971
"Ceric.15G045600.1","Ceric.07G072100.1",0.97
"Ceric.15G045600.1","Ceric.32G050600.1",0.97
"Ceric.08G003100.1","Ceric.08G003100.1",1
"Ceric.08G003100.1","Ceric.13G023200.1",0.893
"Ceric.08G003100.1","Ceric.34G024000.1",0.882
"Ceric.08G003100.1","Ceric.02G031800.1",0.879
"Ceric.08G003100.1","Ceric.30G066700.1",0.879
"Ceric.08G003100.1","Ceric.28G009600.1",0.864
"Ceric.08G003100.1","Ceric.09G065900.1",0.863
"Ceric.08G003100.1","Ceric.16G037100.1",0.862
"Ceric.08G003100.1","Ceric.33G048900.1",0.859
"Ceric.08G003100.1","Ceric.38G067900.1",0.857
"Ceric.08G003100.1","Ceric.29G059900.1",0.856
"Ceric.08G003100.1","Ceric.28G042400.1",0.854
"Ceric.08G003100.1","Ceric.03G038800.1",0.853
"Ceric.08G003100.1","Ceric.37G003200.1",0.853
"Ceric.08G003100.1","Ceric.39G046200.1",0.851
"Ceric.08G003100.1","Ceric.24G003600.1",0.85
"Ceric.08G003100.1","Ceric.23G014300.1",0.849
"Ceric.08G003100.1","Ceric.20G025600.1",0.847
"Ceric.08G003100.1","Ceric.34G059800.1",0.847
"Ceric.08G003100.1","Ceric.39G001400.1",0.847
"Ceric.37G066000.1","Ceric.37G066000.1",1
"Ceric.37G066000.1","Ceric.19G009600.1",0.826
"Ceric.37G066000.1","Ceric.20G054500.1",0.812
"Ceric.37G066000.1","Ceric.30G037700.1",0.799
"Ceric.37G066000.1","Ceric.13G028000.1",0.794
"Ceric.37G066000.1","Ceric.03G069300.1",0.791
"Ceric.37G066000.1","Ceric.05G087500.1",0.791
"Ceric.37G066000.1","Ceric.12G013100.1",0.787
"Ceric.37G066000.1","Ceric.34G043200.1",0.776
"Ceric.37G066000.1","Ceric.11G042100.1",0.775
"Ceric.21G041100.1","Ceric.21G041100.1",1
"Ceric.21G041100.1","Ceric.28G003700.1",0.916
"Ceric.21G041100.1","Ceric.23G029600.1",0.896
"Ceric.21G041100.1","Ceric.01G038700.1",0.895
"Ceric.21G041100.1","Ceric.05G064100.1",0.885
"Ceric.21G041100.1","Ceric.1Z042400.1",0.88
"Ceric.21G041100.1","Ceric.34G007700.1",0.879
"Ceric.21G041100.1","Ceric.39G058300.1",0.879
"Ceric.21G041100.1","Ceric.02G094100.1",0.878
"Ceric.21G041100.1","Ceric.31G022700.1",0.871
"Ceric.21G041100.1","Ceric.37G003200.1",0.871
"Ceric.21G041100.1","Ceric.20G055300.1",0.866
"Ceric.21G041100.1","Ceric.10G015700.1",0.863
"Ceric.21G041100.1","Ceric.16G075200.1",0.863
"Ceric.21G041100.1","Ceric.03G003500.1",0.862
"Ceric.21G041100.1","Ceric.14G056800.1",0.859
"Ceric.21G041100.1","Ceric.02G055000.1",0.858
"Ceric.21G041100.1","Ceric.21G039700.1",0.855
"Ceric.21G041100.1","Ceric.24G026500.1",0.854
"Ceric.21G041100.1","Ceric.02G092300.1",0.853
"Ceric.21G041100.1","Ceric.01G053000.1",0.85
"Ceric.21G041100.1","Ceric.03G007300.1",0.85
"Ceric.21G041100.1","Ceric.1Z087400.1",0.848
"Ceric.21G041100.1","Ceric.35G053100.1",0.848
"Ceric.21G041100.1","Ceric.17G045700.1",0.847
"Ceric.21G041100.1","Ceric.39G057600.1",0.847
"Ceric.21G041100.1","Ceric.09G029500.1",0.845
"Ceric.21G041100.1","Ceric.04G089500.1",0.844
"Ceric.21G041100.1","Ceric.02G077600.1",0.842
"Ceric.21G041100.1","Ceric.13G040000.1",0.842
"Ceric.21G041100.1","Ceric.11G040200.1",0.841
"Ceric.21G041100.1","Ceric.04G090500.1",0.84
"Ceric.21G041100.1","Ceric.33G035400.1",0.84
"Ceric.21G041100.1","Ceric.36G026300.1",0.84
"Ceric.21G041100.1","Ceric.07G002700.1",0.839
"Ceric.21G041100.1","Ceric.07G056200.1",0.839
"Ceric.21G041100.1","Ceric.25G017500.1",0.838
"Ceric.21G041100.1","Ceric.03G034100.1",0.837
"Ceric.21G041100.1","Ceric.30G068000.1",0.837
"Ceric.21G041100.1","Ceric.04G042100.1",0.835
"Ceric.05G020100.1","Ceric.05G020100.1",1
"Ceric.05G020100.1","Ceric.17G074600.1",0.935
"Ceric.05G020100.1","Ceric.01G121600.1",0.921
