"query","sum","numGenes","sum_corrected"
"Ceric.02G031800.1",5.943,10,0.5943
"Ceric.12G075500.1",3.772,10,0.3772
"Ceric.23G000900.1",5.048,20,0.2524
"Ceric.18G015200.1",1.658,10,0.1658
"Ceric.25G026400.1",1.854,10,0.1854
"Ceric.10G011000.1",6.156,20,0.3078
"Ceric.15G045600.1",7.665,10,0.7665
"Ceric.08G003100.1",10.445,20,0.52225
"Ceric.37G066000.1",1.495,10,0.1495
"Ceric.21G041100.1",18.501,40,0.462525
"Ceric.05G020100.1",4.433,10,0.4433
"Ceric.35G028100.1",8.195,10,0.8195
"Ceric.22G010700.1",3.854,10,0.3854
"Ceric.32G054800.1",3.301,10,0.3301
"Ceric.32G023200.1",12.864,20,0.6432
"Ceric.02G047600.1",6.865,10,0.6865
"hubs",2.456,16,0.1535
