Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA14-gam_R1_001	(1, 0.022337598439188835)	(2, 0.019991982257415025)	(3, 0.025206956671119475)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00030077757737577996)	(15, 0.0008701600061891345)	(20, 0.0)	(25, 1.2719449789523033e-05)	(30, 8.679153974027482e-05)	(35, 0.0010699301881775258)	(40, 0.0007467065229378817)	(45, 0.0004010367698343733)	(50, 1.4964058575909452e-05)	(55, 9.202896024184313e-05)	(60, 0.0006576703744112204)	(65, 0.0009412392844247046)	(70, 0.00049082112128983)	(75, 8.604333681147934e-05)	(80, 2.992811715181891e-06)	(85, 4.1899364012546464e-05)	(90, 0.0002147342405643006)	(95, 7.257568409316084e-05)	(100, 1.4964058575909454e-06)	(105, 0.00019528096441561837)	(110, 2.244608786386418e-06)	(115, 0.0005993105459651736)	(120, 8.45469309538884e-05)	(125, 1.4215855647113979e-05)	(130, 0.0006576703744112204)	(135, 0.0006456991275504929)	(140, 0.00043246129284378316)	(145, 4.339576987013741e-05)	(150, 0.0)
BA14-gam_R2_001	(1, 0.00042273465476944203)	(2, 0.007766346400897006)	(3, 0.0009539587342142276)	(4, 3.741014643977363e-06)	(5, 0.0023792853135696027)	(6, 0.0010661891735335484)	(7, 0.00010100739538738881)	(8, 0.002465328650381082)	(9, 0.0008641743827587709)	(10, 0.0022348821483120767)	(15, 0.0008275124392477927)	(20, 0.00016161183261982208)	(25, 5.985623430363782e-06)	(30, 0.000843972903681293)	(35, 7.706490166593368e-05)	(40, 3.741014643977363e-06)	(45, 2.5438899579046067e-05)	(50, 2.7683508365432486e-05)	(55, 0.00021398603763550517)	(60, 5.3122407944478556e-05)	(65, 2.1697884935068704e-05)	(70, 2.319429079265965e-05)	(75, 1.4964058575909454e-06)	(80, 0.0011454986839858686)	(85, 0.00010923762760413901)	(90, 0.0)	(95, 5.985623430363782e-06)	(100, 0.00014589957111511715)	(105, 0.0008978435145545671)	(110, 0.00025214438700407423)	(115, 0.0007811238576624735)	(120, 0.00014589957111511715)	(125, 5.985623430363782e-06)	(130, 0.0005409507175191267)	(135, 0.00012420168618004844)	(140, 3.741014643977363e-06)	(145, 0.0)	(150, 7.482029287954726e-06)
BA19-S5_R1_001	(1, 0.022636472298146592)	(2, 0.020176289194314776)	(3, 0.025633295909046543)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000320590432793948)	(15, 0.0008154147964541722)	(20, 0.0)	(25, 1.1847907298906776e-05)	(30, 7.526905813423129e-05)	(35, 0.0011436715222062366)	(40, 0.0006836939447192675)	(45, 0.00038610239079966784)	(50, 1.812032881009272e-05)	(55, 9.548019411471931e-05)	(60, 0.0006579073229510586)	(65, 0.0009053195047811708)	(70, 0.0004690377418920153)	(75, 7.596599385769639e-05)	(80, 6.969357234651045e-07)	(85, 5.087630781295263e-05)	(90, 0.00019932361691101986)	(95, 6.690582945265003e-05)	(100, 1.393871446930209e-06)	(105, 0.00016099215212043915)	(110, 2.787742893860418e-06)	(115, 0.0006425747370348263)	(120, 6.760276517611513e-05)	(125, 1.672645736316251e-05)	(130, 0.0006704521659734305)	(135, 0.0006537257086102681)	(140, 0.0004237369198667835)	(145, 5.714872932413857e-05)	(150, 0.0)
BA19-S5_R2_001	(1, 0.00040073804099243507)	(2, 0.008119301178368466)	(3, 0.0008467769040101018)	(4, 6.969357234651044e-06)	(5, 0.0024113976031892616)	(6, 0.0010558576210496333)	(7, 6.620889372918492e-05)	(8, 0.0024044282459546105)	(9, 0.0009129857977392869)	(10, 0.0021660762285295445)	(15, 0.0008063546320491259)	(20, 0.00015890134495004382)	(25, 6.272421511185941e-06)	(30, 0.0008488677111804972)	(35, 7.317825096383597e-05)	(40, 2.0908071703953136e-06)	(45, 3.4846786173255224e-05)	(50, 2.0211135980488032e-05)	(55, 0.0002320795959138798)	(60, 5.645179360067346e-05)	(65, 2.648355749167397e-05)	(70, 2.648355749167397e-05)	(75, 2.0908071703953136e-06)	(80, 0.0011757305654856312)	(85, 9.687406556164953e-05)	(90, 0.0)	(95, 1.1847907298906776e-05)	(100, 0.00013241778745836985)	(105, 0.0009283183836555192)	(110, 0.00023765508170160064)	(115, 0.0007959005961971493)	(120, 0.00013869020896955579)	(125, 6.969357234651044e-06)	(130, 0.0005693964860709903)	(135, 0.00010732810141362609)	(140, 3.484678617325522e-06)	(145, 0.0)	(150, 3.484678617325522e-06)
BA19-WYS_R1_001	(1, 0.022253901231677985)	(2, 0.02037310716993718)	(3, 0.026352735186920016)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003078449130941272)	(15, 0.0008076605304211089)	(20, 0.0)	(25, 1.2106260627297136e-05)	(30, 8.820275599887913e-05)	(35, 0.0011449063621815291)	(40, 0.0007332935008534265)	(45, 0.00041593652583785156)	(50, 1.90241238428955e-05)	(55, 8.387909148913016e-05)	(60, 0.0006848684583442379)	(65, 0.0009114284786550844)	(70, 0.0004911682883074837)	(75, 8.042015988133097e-05)	(80, 1.7294658038995908e-06)	(85, 4.4966110901389366e-05)	(90, 0.00021877742419329824)	(95, 7.955542697938118e-05)	(100, 1.7294658038995908e-06)	(105, 0.0001876470397231056)	(110, 3.4589316077991815e-06)	(115, 0.0006226076894038528)	(120, 6.744916635208404e-05)	(125, 1.6429925137046114e-05)	(130, 0.0006779505951286396)	(135, 0.0006831389925403383)	(140, 0.0004289075193670985)	(145, 5.5342905724786905e-05)	(150, 0.0)
BA19-WYS_R2_001	(1, 0.00038048247685791)	(2, 0.007882040401272385)	(3, 0.0009036458825375362)	(4, 8.647329019497953e-06)	(5, 0.0024731360995764147)	(6, 0.000938235198615528)	(7, 5.62076386267367e-05)	(8, 0.0024774597640861637)	(9, 0.0008474382439107996)	(10, 0.0021920979064427313)	(15, 0.000837061449087402)	(20, 0.00016343451846851132)	(25, 8.647329019497953e-06)	(30, 0.0008396556477932512)	(35, 5.447817282283711e-05)	(40, 8.647329019497954e-07)	(45, 3.026565156824284e-05)	(50, 2.8536185764343252e-05)	(55, 0.00023347788352644477)	(60, 4.928977541113834e-05)	(65, 2.940091866629304e-05)	(70, 2.421252125459427e-05)	(75, 5.188397411698773e-06)	(80, 0.0012114907956316634)	(85, 7.955542697938118e-05)	(90, 0.0)	(95, 7.782596117548159e-06)	(100, 0.00013922199721391707)	(105, 0.000955529856654524)	(110, 0.00023520734933034433)	(115, 0.000806795797519159)	(120, 0.00012019787337102157)	(125, 4.323664509748977e-06)	(130, 0.0005724531810907646)	(135, 0.0001115505443515236)	(140, 3.4589316077991815e-06)	(145, 0.0)	(150, 4.323664509748977e-06)
BA19-gam_R1_001	(1, 0.0)	(2, 0.04271199539414458)	(3, 0.011128801698718719)	(4, 0.050666281213733316)	(5, 0.00016916354457948893)	(6, 7.918293576061184e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.005304536851090442)	(15, 0.010631388893167967)	(20, 0.024039939296921754)	(25, 0.002391324659970478)	(30, 0.010324015133442683)	(35, 0.02023411946631853)	(40, 0.015301742413302965)	(45, 0.0037007224795027774)	(50, 0.0026259940877701093)	(55, 0.004323388292529406)	(60, 0.0001634047856150808)	(65, 0.007160296927370965)	(70, 0.012109950257279754)	(75, 0.0009732302649849748)	(80, 0.0002181129957769581)	(85, 0.010339131875724253)	(90, 0.00021091454707144794)	(95, 0.00045350226844714054)	(100, 4.607007171526507e-05)	(105, 0.0004851754427513853)	(110, 0.00010581719597099946)	(115, 0.004956131933743751)	(120, 0.004074321967318755)	(125, 0.000863093999790669)	(130, 0.0031097298407803922)	(135, 0.0001245331626053259)	(140, 4.247084736250999e-05)	(145, 0.0016772385483838693)	(150, 0.00030233484563142705)
BA19-gam_R2_001	(1, 0.04508028501825742)	(2, 0.032306637790329634)	(3, 2.5194570469285586e-05)	(4, 0.0001799612176377542)	(5, 0.000601070466910099)	(6, 6.118681399683643e-05)	(7, 3.5992243527550837e-06)	(8, 7.1984487055101675e-06)	(9, 0.0003635216596282635)	(10, 0.007145180185089393)	(15, 0.0006744946437063028)	(20, 0.005475859930281585)	(25, 0.012299269458234674)	(30, 0.002664865710779864)	(35, 0.0002447472559873457)	(40, 0.0037079209282082875)	(45, 0.0002461869457284477)	(50, 0.010876136149155311)	(55, 0.0007464791307614044)	(60, 0.005422591409860809)	(65, 0.012238082644237834)	(70, 0.0001331713010519381)	(75, 0.009527146861742707)	(80, 0.00020659547784814182)	(85, 0.0006694557296124456)	(90, 0.00568533478761193)	(95, 0.0025554492904561097)	(100, 0.0004110314210846306)	(105, 0.0003937551441914062)	(110, 0.0005154089273145281)	(115, 0.015694057867753266)	(120, 7.918293576061184e-05)	(125, 0.00014972773307461148)	(130, 8.638138446612201e-05)	(135, 0.0016218104933514409)	(140, 0.0054542645841650535)	(145, 0.012160339398218326)	(150, 3.5992243527550837e-06)
BD5-S5_R1_001	(1, 0.022266061278062608)	(2, 0.020031696940751798)	(3, 0.02570553415841374)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00030825952431417684)	(15, 0.0008958145907922053)	(20, 0.0)	(25, 8.275423471521526e-06)	(30, 6.206567603641144e-05)	(35, 0.001110975601051765)	(40, 0.0006692748732593035)	(45, 0.0004023924663027342)	(50, 1.655084694304305e-05)	(55, 7.96509509133947e-05)	(60, 0.0006444486028447389)	(65, 0.0008482309058309565)	(70, 0.00046549257027308583)	(75, 8.068537884733488e-05)	(80, 4.137711735760763e-06)	(85, 5.3790252564889926e-05)	(90, 0.00021619543819349988)	(95, 5.482468049883011e-05)	(100, 1.0344279339401907e-06)	(105, 0.00018309374430741377)	(110, 2.0688558678803814e-06)	(115, 0.0005968649178834901)	(120, 7.654766711157412e-05)	(125, 1.4481991075162671e-05)	(130, 0.0006258289000338155)	(135, 0.0006961699995417485)	(140, 0.0004489417233300428)	(145, 5.482468049883011e-05)	(150, 0.0)
BD5-S5_R2_001	(1, 0.0003051562405123563)	(2, 0.008032332907045582)	(3, 0.0008689194645097602)	(4, 2.0688558678803817e-05)	(5, 0.002379184248062439)	(6, 0.0010551164926189947)	(7, 9.827065372431813e-05)	(8, 0.0024153892257503455)	(9, 0.0007240995537581336)	(10, 0.0021164395528416305)	(15, 0.0008016816488036479)	(20, 0.0001603363297607296)	(25, 1.0344279339401909e-05)	(30, 0.0008254734912842723)	(35, 4.758368496124878e-05)	(40, 1.0344279339401907e-06)	(45, 2.7929554216385153e-05)	(50, 3.4136121820026295e-05)	(55, 0.0002265397175329018)	(60, 3.2067265952145916e-05)	(65, 2.8963982150325343e-05)	(70, 2.8963982150325343e-05)	(75, 5.172139669700954e-06)	(80, 0.0011823511284936381)	(85, 7.654766711157412e-05)	(90, 0.0)	(95, 8.275423471521526e-06)	(100, 0.00013861334314798558)	(105, 0.0009196064332728297)	(110, 0.00022033314992926065)	(115, 0.0007954750812000068)	(120, 0.00011792478446918176)	(125, 4.137711735760763e-06)	(130, 0.0005606599401955834)	(135, 7.96509509133947e-05)	(140, 2.0688558678803814e-06)	(145, 0.0)	(150, 3.103283801820572e-05)
