Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BD5-gam_R2_001 - polya	(1, 0.005817820423617079)	(2, 0.008302408056198713)	(3, 0.010347336148858495)	(4, 0.01140388233006605)	(5, 0.013107989073949201)	(6, 0.014699624772736064)	(7, 0.016158340145500043)	(8, 0.023383752739564605)	(9, 0.02550706974244301)	(10, 0.028652850791651308)	(12, 0.03047113268737463)	(14, 0.03534828618836821)	(16, 0.039782371935952174)	(18, 0.0415290813484324)	(20, 0.04352118213203181)	(22, 0.047694539547801645)	(24, 0.05046541711335564)	(26, 0.052242800447225776)	(28, 0.054623437568430536)	(30, 0.05862979252329983)	(32, 0.06245210394982974)	(34, 0.0652570636502614)	(36, 0.06889703565519581)	(38, 0.0717309651702735)	(40, 0.0758668322376779)	(42, 0.07874166031460877)	(44, 0.08068604610937946)	(46, 0.08387613393392872)	(48, 0.0859704811221611)	(50, 0.08930712212668432)	(52, 0.09325894566574935)	(54, 0.09716475832272953)	(56, 0.09921479873562096)	(58, 0.10252417403224204)	(60, 0.10448900910793932)	(62, 0.10627150476204109)	(64, 0.10808467433753276)	(66, 0.11085896011657453)	(68, 0.11355144877190992)	(70, 0.11615361976981949)	(72, 0.11829397784013673)	(74, 0.12026733344955341)	(76, 0.12209072766550838)	(78, 0.12460939743296769)	(80, 0.12673953086282164)	(82, 0.12937748810235272)	(84, 0.13244488024134243)	(86, 0.13414728287848168)	(88, 0.13584968551562096)	(90, 0.1383308649347148)	(92, 0.14047974353875148)	(94, 0.14238152666492507)	(96, 0.144089041622296)	(98, 0.14601127402939618)	(100, 0.1486373025217201)	(102, 0.15196883120601168)	(104, 0.15423529317537626)	(106, 0.15645404015591213)	(108, 0.15827232205163547)	(110, 0.16019455445873565)	(112, 0.16218665524233505)	(114, 0.16358061455883147)	(116, 0.1650256970776444)	(118, 0.16646566727622564)	(120, 0.16847651323400775)	(122, 0.1701533542699888)	(124, 0.17140416861999902)	(126, 0.17247434765515765)	(128, 0.17365699773541254)	(130, 0.17510719257445712)	(132, 0.17646877386281973)	(134, 0.1779189687018643)	(136, 0.17941347031624982)	(138, 0.1806199778909191)
BD5-gam_R2_001 - polyg	(1, 1.856106249010553)	(2, 1.866811447575627)	(3, 1.8715556807505977)	(4, 1.875662578003356)	(5, 1.880038724121648)	(6, 1.8847965901505697)	(7, 1.8899804828654623)	(8, 1.895338194468231)	(9, 1.9027033438152938)	(10, 1.9147155922529264)	(12, 1.940871926664789)	(14, 1.9537583818620332)	(16, 1.9582009881433364)	(18, 1.9610298053381825)	(20, 1.9630099773745746)	(22, 1.964567530938484)	(24, 1.9655133101813391)	(26, 1.966302311603757)	(28, 1.9670640473182728)	(30, 1.967689454493278)	(32, 1.968152971527614)	(34, 1.9686113762417188)	(36, 1.9690339947142017)	(38, 1.969454909079941)	(40, 1.9699865903840323)	(42, 1.9704177293902347)	(44, 1.970751734312036)	(46, 1.9710806269136052)	(48, 1.9714555303972596)	(50, 1.971757157290927)	(52, 1.972120132027374)	(54, 1.9724183507075537)	(56, 1.972716569387733)	(58, 1.9730573907365099)	(60, 1.9733147108548361)	(62, 1.9735975925743208)	(64, 1.9738753619735738)	(66, 1.9741599477998022)	(68, 1.974470095227189)	(70, 1.9748041001489902)	(72, 1.975156850244974)	(74, 1.975518120874677)	(76, 1.976833691280955)	(78, 1.980025483212248)	(80, 1.9824248655076355)	(82, 1.9854990740736007)	(84, 1.9897559327198207)	(86, 1.9945223192824622)	(88, 2.00029242471725)	(90, 2.0057336375504695)	(92, 2.010944795973264)	(94, 2.0165973180427246)	(96, 2.021237600706318)	(98, 2.0252473638746755)	(100, 2.0295144471613584)	(102, 2.0368540349072637)	(104, 2.043726697405344)	(106, 2.0482715500912807)	(108, 2.0526630331702673)	(110, 2.0567051743667584)	(112, 2.060602466490019)	(114, 2.0643855834614397)	(116, 2.0681022402698486)	(118, 2.0721324527191323)	(120, 2.0761916349830623)	(122, 2.080537107179964)	(124, 2.0853546169449215)	(126, 2.090654388918398)	(128, 2.096444943634113)	(130, 2.1024025008107285)	(132, 2.108774155926108)	(134, 2.116154642233866)	(136, 2.124699033447696)	(138, 2.1336575226002896)
BF16-S5_R1_001 - illumina_universal_adapter	(1, 0.001199453622393556)	(2, 0.0016075794004027921)	(3, 0.0017851608457961237)	(4, 0.0024830247715523744)	(5, 0.0026419134332200923)	(6, 0.0029160742611957623)	(7, 0.0032681216880281567)	(8, 0.0036855938579001997)	(9, 0.00398779386146429)	(10, 0.0047323897465345755)	(12, 0.005874207285774155)	(14, 0.007026928948853678)	(16, 0.007921067103728873)	(18, 0.00871083721613606)	(20, 0.009489703204703303)	(22, 0.010374494967715694)	(24, 0.011245267142933873)	(26, 0.012293620763545383)	(28, 0.013239164073666017)	(30, 0.0142049578994894)	(32, 0.015317178531163425)	(34, 0.016413821843066105)	(36, 0.017631968249185274)	(38, 0.018996541461155085)	(40, 0.020502868283044137)	(42, 0.02219456521021219)	(44, 0.02378656729084364)	(46, 0.025593536384319646)	(48, 0.027779034348239334)	(50, 0.030079804478466973)	(52, 0.032799604510543784)	(54, 0.03568296640021973)	(56, 0.0391458045853897)	(58, 0.04301832628054603)	(60, 0.04777875520266903)	(62, 0.05309217897667477)	(64, 0.059089447088642555)	(66, 0.06592165954035442)	(68, 0.07411377200810469)	(70, 0.08386050098903519)	(72, 0.09671178980039472)	(74, 0.11132331574591622)	(76, 0.12840540460717303)	(78, 0.1499223564073317)	(80, 0.1766982113622964)	(82, 0.20997292412586624)	(84, 0.2514833658525461)	(86, 0.2999615427129485)	(88, 0.35590125574382514)	(90, 0.424584774079639)	(92, 0.5074903853666908)	(94, 0.610613799984971)	(96, 0.7293877477775215)	(98, 0.8689729947845887)	(100, 1.029674856473691)	(102, 1.2174703504410935)	(104, 1.4364049066314146)	(106, 1.6799890136279116)	(108, 1.9479282600869066)	(110, 2.247029934748477)	(112, 2.585004810899438)	(114, 2.9655820988930506)	(116, 3.3775040697305636)	(118, 3.8004111664708287)	(120, 4.250939966629643)	(122, 4.743466778623979)	(124, 5.2729850518793295)	(126, 5.831146900730228)	(128, 6.395399481611722)	(130, 6.964819059461371)	(132, 7.560832237624661)	(134, 8.200591202901819)	(136, 8.86135929935459)	(138, 9.51584194727962)
BF16-S5_R1_001 - polya	(1, 0.004305571184799726)	(2, 0.0058041093468031045)	(3, 0.006925676370339935)	(4, 0.007523845449559579)	(5, 0.008358789789303666)	(6, 0.009358853718624006)	(7, 0.010277915585133355)	(8, 0.015701938329515643)	(9, 0.01714439814034218)	(10, 0.019174122906548418)	(12, 0.020359556941147765)	(14, 0.023492155947165222)	(16, 0.026662140520633905)	(18, 0.02799711682503816)	(20, 0.029210590035225928)	(22, 0.03200360347022807)	(24, 0.033956999369554715)	(26, 0.03531066845768459)	(28, 0.03701794270462398)	(30, 0.04017858088622986)	(32, 0.04319434999396223)	(34, 0.045379847957881914)	(36, 0.047777197470691896)	(38, 0.04974305522583562)	(40, 0.05272455423007103)	(42, 0.054877339822470894)	(44, 0.05660642231709018)	(46, 0.05912060172818524)	(48, 0.060609793498325806)	(50, 0.06276102135874853)	(52, 0.06539981932801436)	(54, 0.06807756059670855)	(56, 0.06962283071802597)	(58, 0.07170863383540904)	(60, 0.07327415447242921)	(62, 0.0746200349006734)	(64, 0.076236960692939)	(66, 0.07847074834814985)	(68, 0.08045685661899632)	(70, 0.08250994736485959)	(72, 0.08392904119602909)	(74, 0.08545717626559804)	(76, 0.08693079071596727)	(78, 0.0891817134229266)	(80, 0.09082667839078062)	(82, 0.09342497532864094)	(84, 0.09612140938106076)	(86, 0.09756231145991015)	(88, 0.0989829630230568)	(90, 0.1006450630426593)	(92, 0.10207661872964591)	(94, 0.103467673385227)	(96, 0.10507369505365266)	(98, 0.10678096930059205)	(100, 0.10872657654003304)	(102, 0.11106161677375762)	(104, 0.11281873844396532)	(106, 0.11407271268555859)	(108, 0.11521920342072957)	(110, 0.11680341684147535)	(112, 0.1183097436633644)	(114, 0.11942196429503843)	(116, 0.12065101482499753)	(118, 0.12194860556195056)	(120, 0.12345493238383962)	(122, 0.12469021384170727)	(124, 0.1256404303477593)	(126, 0.12649562520320612)	(128, 0.12719504686093952)	(130, 0.12824807367748242)	(132, 0.12930577368995677)	(134, 0.13042889844547073)	(136, 0.13178568299755486)	(138, 0.13303186857926247)
BF16-S5_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0011340288793539076)	(4, 0.0013770350677868878)	(5, 0.0015078845538661848)	(6, 0.001604463936448523)	(7, 0.0016916969271680545)	(8, 0.001782045381841855)	(9, 0.0019845505388693383)	(10, 0.0021792670360111493)	(12, 0.0024082536366499194)	(14, 0.0026045278657688647)	(16, 0.002777436115230793)	(18, 0.002895823745493014)	(20, 0.0030656165310006733)	(22, 0.003218274264759853)	(24, 0.003388067050267512)	(26, 0.003529820660186751)	(28, 0.0036809206619687965)	(30, 0.0038585021073621276)	(32, 0.004053218604503939)	(34, 0.004212107266171657)	(36, 0.004402150567382064)	(38, 0.00456727015695832)	(40, 0.004721485622694635)	(42, 0.0050003196466017075)	(44, 0.006586090799324618)	(46, 0.018046324955103048)	(48, 0.01833450537087293)	(50, 0.01853545279592328)	(52, 0.018741073416905032)	(54, 0.01891086620241269)	(56, 0.01909467857571456)	(58, 0.01929251053681064)	(60, 0.019466976518249704)	(62, 0.019716213634591223)	(64, 0.02103093942329273)	(66, 0.02674002711949063)	(68, 0.03968010665354682)	(70, 0.14861074608258448)	(72, 0.4784153180134755)	(74, 0.5184412411659463)	(76, 0.552943446727498)	(78, 0.5556881704712089)	(80, 0.5586463034957874)	(82, 0.5615577045610517)	(84, 0.5648523076926911)	(86, 0.5663804427622601)	(88, 0.5676982840149158)	(90, 0.5688587943378811)	(92, 0.5699663417736236)	(94, 0.5711502180762458)	(96, 0.5722453036561714)	(98, 0.5736830902710666)	(100, 0.5750943954423504)	(102, 0.5762580212292698)	(104, 0.5774730521714347)	(106, 0.5787332573409365)	(108, 0.5801694862238546)	(110, 0.5816259656224754)	(112, 0.5833939914165229)	(114, 0.5853193481402612)	(116, 0.5872322430081823)	(118, 0.58952210901457)	(120, 0.5923088915216637)	(122, 0.5954196822800012)	(124, 0.598787498814566)	(126, 0.6026553473137909)	(128, 0.6072428679864519)	(130, 0.6127899515570279)	(132, 0.6193012712214501)	(134, 0.6267565764640157)	(136, 0.6354627404842204)	(138, 0.6458294467920505)
BF16-S5_R2_001 - illumina_universal_adapter	(1, 0.0011869917665764801)	(2, 0.0015951175445857162)	(3, 0.0017726989899790478)	(4, 0.0024799093075981056)	(5, 0.0026356825053115546)	(6, 0.0028911505495616105)	(7, 0.003243197976394005)	(8, 0.003660670146266048)	(9, 0.003922369118424642)	(10, 0.00464671448779218)	(12, 0.005780743367146087)	(14, 0.006942811422088415)	(16, 0.007847853700803552)	(18, 0.00867345164868483)	(20, 0.00952708877215453)	(22, 0.010545845485200486)	(24, 0.011734394983754101)	(26, 0.013265645517277304)	(28, 0.01477041460718922)	(30, 0.016281414625009673)	(32, 0.01800115072776615)	(34, 0.019797215697402212)	(36, 0.021727245617071844)	(38, 0.02379435595072931)	(40, 0.026073317833277068)	(42, 0.02856568899669225)	(44, 0.03111258077930714)	(46, 0.03386197771894951)	(48, 0.03711919528313773)	(50, 0.040553994292719275)	(52, 0.04441093866810426)	(54, 0.04851556242785364)	(56, 0.05329935732963366)	(58, 0.05853800996873694)	(60, 0.0647144172580752)	(62, 0.07156376476153553)	(64, 0.07911253392272927)	(66, 0.0874650927841244)	(68, 0.09728191970402594)	(70, 0.10903656520348279)	(72, 0.12347362516756524)	(74, 0.1400198542286878)	(76, 0.15913789878405935)	(78, 0.18205680936363905)	(80, 0.21026266227361323)	(82, 0.24508576062245474)	(84, 0.2880994137070694)	(86, 0.33862133492147223)	(88, 0.3971468830343921)	(90, 0.4675672725247109)	(92, 0.5535945786939402)	(94, 0.65840345931148)	(96, 0.7794906390900751)	(98, 0.9212504799372222)	(100, 1.082260772557797)	(102, 1.2704020830241234)	(104, 1.4900454072640406)	(106, 1.7336606689000804)	(108, 2.002075023612101)	(110, 2.3013729725027905)	(112, 2.6388306816373435)	(114, 3.0192475232373113)	(116, 3.431119646651555)	(118, 3.854120207310449)	(120, 4.30448700334364)	(122, 4.796347106051764)	(124, 5.325745433944874)	(126, 5.883704777638745)	(128, 6.447376324492769)	(130, 7.016236676562626)	(132, 7.61127471450823)	(134, 8.249782821007749)	(136, 8.908790680326355)	(138, 9.56159253544806)
BF16-S5_R2_001 - polya	(1, 0.004785352633757149)	(2, 0.006576744407461811)	(3, 0.007838507308940746)	(4, 0.008514562987017114)	(5, 0.009570705267514298)	(6, 0.010829352705038963)	(7, 0.011972727976255678)	(8, 0.017761260003287437)	(9, 0.019437379610684147)	(10, 0.021655589946123658)	(12, 0.022822331196997392)	(14, 0.025850562160546837)	(16, 0.02878844466942248)	(18, 0.030006591075541652)	(20, 0.03143658903055111)	(22, 0.034578534428431375)	(24, 0.036729762288854106)	(26, 0.0381706643677035)	(28, 0.039885727274528576)	(30, 0.04285164895899264)	(32, 0.04568827888935455)	(34, 0.04783016035791447)	(36, 0.049986061414268604)	(38, 0.05193478411766385)	(40, 0.05444273260085038)	(42, 0.05627306767398339)	(44, 0.057877531610431916)	(46, 0.059815350189987224)	(48, 0.061148768762414346)	(50, 0.06318316672455199)	(52, 0.06552443788618512)	(54, 0.06773018636580755)	(56, 0.06926611009526217)	(58, 0.0711198111480522)	(60, 0.07249061528793055)	(62, 0.07381001427256348)	(64, 0.07527895552700128)	(66, 0.07743485658335542)	(68, 0.07913122670645488)	(70, 0.08109396899764434)	(72, 0.0825239669526538)	(74, 0.08397577315534313)	(76, 0.08558802575167734)	(78, 0.0874386113405131)	(80, 0.08897609280194485)	(82, 0.09132359489148653)	(84, 0.0940324907997234)	(86, 0.09549520112625268)	(88, 0.09701087434000455)	(90, 0.0987524186904409)	(92, 0.10029924654373544)	(94, 0.10185697852086993)	(96, 0.10350038575674682)	(98, 0.1049584228873447)	(100, 0.10688845280701434)	(102, 0.10921414664887613)	(104, 0.11094011367954114)	(106, 0.11227197451999112)	(108, 0.11358670030869263)	(110, 0.11513197043001004)	(112, 0.1165666415809509)	(114, 0.11780503850277282)	(116, 0.11915559212694843)	(118, 0.12052016533891824)	(120, 0.12192835504624781)	(122, 0.12319011794772675)	(124, 0.12425093342415533)	(126, 0.12520426539416163)	(128, 0.12609061488915116)	(130, 0.12709690974638005)	(132, 0.1280969736757004)	(134, 0.1293260242056595)	(136, 0.13064698092226956)	(138, 0.13172181598649235)
BF16-S5_R2_001 - polyg	(1, 1.1269972772091226)	(2, 1.1353778752461061)	(3, 1.1389232732260641)	(4, 1.1423315907920344)	(5, 1.1458987970196723)	(6, 1.1499956321195361)	(7, 1.1547622919695677)	(8, 1.1592672528474406)	(9, 1.1642488797103168)	(10, 1.1720671365035547)	(12, 1.1860088376989082)	(14, 1.192408000660977)	(16, 1.1950670491459454)	(18, 1.1969098460748955)	(20, 1.1983538636176991)	(22, 1.1994723151772817)	(24, 1.200193545082695)	(26, 1.2007590017903949)	(28, 1.2012668224149405)	(30, 1.2017356997400581)	(32, 1.2021002090227078)	(34, 1.2023759275826604)	(36, 1.2026796853182016)	(38, 1.2029772121258344)	(40, 1.20325137295381)	(42, 1.2034974946061974)	(44, 1.20374050079463)	(46, 1.203980391519109)	(48, 1.204189127604045)	(50, 1.2044492688442263)	(52, 1.2046657935890481)	(54, 1.2048932224577098)	(56, 1.2051237667903258)	(58, 1.20534963792701)	(60, 1.205569278135786)	(62, 1.2057935915404934)	(64, 1.2059883080376355)	(66, 1.2061861399987315)	(68, 1.206343470928422)	(70, 1.2065381874255636)	(72, 1.206784309077951)	(74, 1.2070958554733777)	(76, 1.2081691328056237)	(78, 1.2095866689048158)	(80, 1.211022897787734)	(82, 1.2126289194561597)	(84, 1.214649297830503)	(86, 1.2168659504339656)	(88, 1.2196371556212877)	(90, 1.222523632974918)	(92, 1.2250907752732356)	(94, 1.227251349525521)	(96, 1.2294929258406175)	(98, 1.2317158093719884)	(100, 1.2340212526981476)	(102, 1.2378158877944472)	(104, 1.241347266186611)	(106, 1.2439144084849287)	(108, 1.246546975526286)	(110, 1.2490907518449466)	(112, 1.251645432287447)	(114, 1.2543138271642786)	(116, 1.2571831694661602)	(118, 1.2602659210489096)	(120, 1.2632692283008247)	(122, 1.2665576005045556)	(124, 1.2703319850851527)	(126, 1.2741811408006518)	(128, 1.2785474635325598)	(130, 1.283183273896512)	(132, 1.2884156956077066)	(134, 1.2941559379434473)	(136, 1.3008759936928054)	(138, 1.3081942185213835)
BF16-WYS_R1_001 - illumina_universal_adapter	(1, 0.00015602958255188517)	(2, 0.00020119604065900983)	(3, 0.0002586806237044412)	(4, 0.00045166458107124657)	(5, 0.0005748458304543138)	(6, 0.0007472995795906079)	(7, 0.0008992231204963909)	(8, 0.001071676869632685)	(9, 0.002841380819102751)	(10, 0.0032047655047828)	(12, 0.0036235817526852282)	(14, 0.003954118105196459)	(16, 0.00426823029112328)	(18, 0.004465320290136188)	(20, 0.004713735809725373)	(22, 0.005013476849890837)	(24, 0.005284475598533584)	(26, 0.005608852888575662)	(28, 0.006085153719523522)	(30, 0.006933051319443635)	(32, 0.008376324958048572)	(34, 0.010078279220357951)	(36, 0.011714536816329696)	(38, 0.01395643555510152)	(40, 0.01670132439552087)	(42, 0.020144240315777596)	(44, 0.02421948664953407)	(46, 0.02914878964567981)	(48, 0.035182617844627055)	(50, 0.04242567530835141)	(52, 0.05069113714195522)	(54, 0.0612683004223146)	(56, 0.0732805252579867)	(58, 0.08739299039564011)	(60, 0.10480055395429055)	(62, 0.12650714311641006)	(64, 0.15199539663458972)	(66, 0.18113597419697733)	(68, 0.21557745152448293)	(70, 0.2557571220524164)	(72, 0.3014943199483493)	(74, 0.3559034778008501)	(76, 0.41883061904818997)	(78, 0.48916711244592137)	(80, 0.5682392094457354)	(82, 0.6592557815940606)	(84, 0.7630339311784717)	(86, 0.8799185656972413)	(88, 1.0104557886893006)	(90, 1.1545142068219745)	(92, 1.312350447698145)	(94, 1.485721897142343)	(96, 1.6793833513807552)	(98, 1.890343559074196)	(100, 2.1203455349014364)	(102, 2.3669913505411517)	(104, 2.6322909133791095)	(106, 2.9178825340321053)	(108, 3.223218055940383)	(110, 3.548164032750445)	(112, 3.8952970055952205)	(114, 4.269262960597275)	(116, 4.670532039525085)	(118, 5.097008108118318)	(120, 5.552025272193607)	(122, 6.030845159691351)	(124, 6.533299422904059)	(126, 7.070605767608883)	(128, 7.633716531038637)	(130, 8.227998309624775)	(132, 8.850784229318155)	(134, 9.504086250525368)	(136, 10.189193670323288)	(138, 10.900996519883343)
BF16-WYS_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00029974104016546364)	(4, 0.0004106041646102241)	(5, 0.0004968310391783713)	(6, 0.0005871639553926205)	(7, 0.0006364364551458474)	(8, 0.0006816029132529721)	(9, 0.0007883599960516304)	(10, 0.0009423365577804644)	(12, 0.0012359185354767748)	(14, 0.0014535387427201934)	(16, 0.0017163254080707368)	(18, 0.0020222255107053538)	(20, 0.002291171238525051)	(22, 0.002512897487414572)	(24, 0.002728464673834939)	(26, 0.0029132365479095403)	(28, 0.0030980084219841414)	(30, 0.0032992044626431512)	(32, 0.0034860293575408033)	(34, 0.0036974905023150683)	(36, 0.004071140292110372)	(38, 0.0042928665409998935)	(40, 0.0045926075811653574)	(42, 0.004892348621330821)	(44, 0.005261892369480022)	(46, 0.005584216638699048)	(48, 0.005998926844955375)	(50, 0.006358205488989321)	(52, 0.0066990069456158065)	(54, 0.007043914443888395)	(56, 0.007413458192037597)	(58, 0.007713199232203061)	(60, 0.007963667772615299)	(62, 0.008273673916896016)	(64, 0.008641164644222167)	(66, 0.009033291621424931)	(68, 0.009337138703236497)	(70, 0.010008476512374213)	(72, 0.010538155884721402)	(74, 0.011125319840114022)	(76, 0.011884937544642937)	(78, 0.013461657536746198)	(80, 0.015128710445063708)	(82, 0.016038198669675353)	(84, 0.016879937207126314)	(86, 0.017820220744083726)	(88, 0.018536725011328567)	(90, 0.019318925944911046)	(92, 0.020136028232485392)	(94, 0.02092028218689092)	(96, 0.021831823432325616)	(98, 0.022839856656443717)	(100, 0.024227698732826278)	(102, 0.026295090701638754)	(104, 0.028567784752756342)	(106, 0.030994455365602767)	(108, 0.033903585871866204)	(110, 0.037397827312699215)	(112, 0.0415018159379784)	(114, 0.04637363435107872)	(116, 0.05203997182269981)	(118, 0.058847788871937326)	(120, 0.06694490299805095)	(122, 0.07587554357832332)	(124, 0.08717742320921974)	(126, 0.09995337179106686)	(128, 0.11481108348748784)	(130, 0.13243832027420474)	(132, 0.1552350634933644)	(134, 0.18152399513253398)	(136, 0.21141392529533526)	(138, 0.24607302283008428)
BF16-WYS_R2_001 - illumina_universal_adapter	(1, 0.00015192354090578293)	(2, 0.00020940812395121432)	(3, 0.0002586806237044412)	(4, 0.00045166458107124657)	(5, 0.0005748458304543138)	(6, 0.0007555116628828124)	(7, 0.0009074352037885953)	(8, 0.0010675708279865828)	(9, 0.0027838962360573196)	(10, 0.0031246976926838058)	(12, 0.0035455669614092855)	(14, 0.0038699442514513625)	(16, 0.0041943215414934395)	(18, 0.004372934353098887)	(20, 0.004604925706103664)	(22, 0.00489029560050777)	(24, 0.005179771536557977)	(26, 0.005504148826600054)	(28, 0.00595376038684825)	(30, 0.006762650591130391)	(32, 0.00815049266751295)	(34, 0.009768273076077232)	(36, 0.0113573111931188)	(38, 0.0135581495154296)	(40, 0.016253765856095722)	(42, 0.01964330323495312)	(44, 0.023605633423441786)	(46, 0.02835837662880513)	(48, 0.03422796316190828)	(50, 0.04122260510604345)	(52, 0.049182166837012646)	(54, 0.059361044077700105)	(56, 0.07098114193616945)	(58, 0.08458445790970617)	(60, 0.10127962324275788)	(62, 0.12206440605532744)	(64, 0.146704761973587)	(66, 0.17471207204165037)	(68, 0.2078663053131029)	(70, 0.2466047552232545)	(72, 0.29071390760650784)	(74, 0.3432732936974396)	(76, 0.40384972610238595)	(78, 0.4713160963894919)	(80, 0.5473743588210667)	(82, 0.6345887364051015)	(84, 0.733965209344891)	(86, 0.8459082227425763)	(88, 0.9707442069090229)	(90, 1.1082822309076865)	(92, 1.2585161356760983)	(94, 1.4240039851597799)	(96, 1.6086875793389896)	(98, 1.8098877260396455)	(100, 2.0290045854630687)	(102, 2.2636648655378115)	(104, 2.5168310753115377)	(106, 2.7890760075938776)	(108, 3.079210963328285)	(110, 3.3881269535519642)	(112, 3.7168402235723255)	(114, 4.071503676796053)	(116, 4.4519222762449555)	(118, 4.855618025785613)	(120, 5.285268064571282)	(122, 5.7369696000173445)	(124, 6.210843760352358)	(126, 6.717646321668289)	(128, 7.247171717453748)	(130, 7.805921864655341)	(132, 8.391047170370673)	(134, 9.005906376666253)	(136, 9.649795297399775)	(138, 10.315376436149656)
BF16-WYS_R2_001 - polyg	(1, 0.025814683829044793)	(2, 0.026931527156784603)	(3, 0.02742425215431687)	(4, 0.027695250902959618)	(5, 0.02791697715184914)	(6, 0.028118173192508148)	(7, 0.028413808191027512)	(8, 0.028738185481069586)	(9, 0.029021502354650643)	(10, 0.0294978031855985)	(12, 0.03022251953613555)	(14, 0.030782994220828502)	(16, 0.031253135989307214)	(18, 0.03188957244445306)	(20, 0.03249726660807619)	(22, 0.03308237754264576)	(24, 0.0337023898312072)	(26, 0.03439015180692932)	(28, 0.03495678555409143)	(30, 0.035541896488661004)	(32, 0.03616396179804549)	(34, 0.03690920835681305)	(36, 0.03759286429088907)	(38, 0.038262149079203736)	(40, 0.03892116876340315)	(42, 0.039617142822417475)	(44, 0.04035828333953893)	(46, 0.04111379500242174)	(48, 0.041824140207197436)	(50, 0.04255912166184973)	(52, 0.043273572908271524)	(54, 0.0441522658205374)	(56, 0.04492420165000462)	(58, 0.045784417374863044)	(60, 0.04660151966243739)	(62, 0.04735497830449715)	(64, 0.048231618195939976)	(66, 0.049032296316929916)	(68, 0.0497262173551212)	(70, 0.05054537266351859)	(72, 0.05143022463825363)	(74, 0.052288387342288994)	(76, 0.05326767827488438)	(78, 0.05451386191447641)	(80, 0.05600230201118847)	(82, 0.05744557564979341)	(84, 0.060202782615151065)	(86, 0.0620114939602591)	(88, 0.06354920655672439)	(90, 0.06488572311253067)	(92, 0.06623866383492136)	(94, 0.06746431726628288)	(96, 0.0688028868429122)	(98, 0.07025026652316324)	(100, 0.07164837370366106)	(102, 0.07326204807057925)	(104, 0.07505433524910288)	(106, 0.0773126581544591)	(108, 0.08001853959924049)	(110, 0.08285786739752019)	(112, 0.08609753425629485)	(114, 0.08983403215424789)	(116, 0.09421723161146203)	(118, 0.09941548033542746)	(120, 0.10517215072326282)	(122, 0.11200049798073083)	(124, 0.11986767377466273)	(126, 0.1289338137292565)	(128, 0.13940627294764024)	(130, 0.15130968767969066)	(132, 0.16579169656549325)	(134, 0.18239447596150765)	(136, 0.20282203315086633)	(138, 0.22760815354756248)
BF16-gam_R1_001 - illumina_universal_adapter	(1, 0.0032474282489703696)	(2, 0.00431140976571845)	(3, 0.0044941795968162805)	(4, 0.0049543679215447445)	(5, 0.0052252589212076)	(6, 0.00557447984848381)	(7, 0.006145635570664529)	(8, 0.007118232171863694)	(9, 0.007317320737880973)	(10, 0.008258911742733186)	(12, 0.010094769421171209)	(14, 0.01099882733570869)	(16, 0.011974687683891743)	(18, 0.01340910448331132)	(20, 0.01429684366292935)	(22, 0.015386935155548549)	(24, 0.016499872877054976)	(26, 0.01757038188777084)	(28, 0.018831820097044254)	(30, 0.020003505264260694)	(32, 0.021271470967501892)	(34, 0.022399095550435823)	(36, 0.023897155416041253)	(38, 0.025421325257517793)	(40, 0.02701892940613186)	(42, 0.02871281409077068)	(44, 0.03057151799809593)	(46, 0.032619519230486796)	(48, 0.03509507131776722)	(50, 0.03803081172977611)	(52, 0.04132393243652094)	(54, 0.04485367479959777)	(56, 0.04879628115613668)	(58, 0.053833874625770606)	(60, 0.05945567880552082)	(62, 0.06592442532759044)	(64, 0.07286641516232409)	(66, 0.08102578262204863)	(68, 0.09059508877881359)	(70, 0.1025289796254067)	(72, 0.11847401551520041)	(74, 0.13584857258393784)	(76, 0.15571010485439934)	(78, 0.1806679780402048)	(80, 0.211260710393696)	(82, 0.25007645327309763)	(84, 0.2978250716474057)	(86, 0.35236391562169644)	(88, 0.4147537029657342)	(90, 0.4914729714425403)	(92, 0.585113136157323)	(94, 0.7041452524067686)	(96, 0.8373371349458202)	(98, 0.9933997244744797)	(100, 1.172094767462923)	(102, 1.3825411729841384)	(104, 1.625778444452495)	(106, 1.8948711195272265)	(108, 2.183492424680063)	(110, 2.502866385788601)	(112, 2.8665212341010644)	(114, 3.2773388582042275)	(116, 3.723373944137054)	(118, 4.1697974159609625)	(120, 4.63816958625153)	(122, 5.157049872991286)	(124, 5.71919928536996)	(126, 6.313395429383449)	(128, 6.897431529036088)	(130, 7.47724923571205)	(132, 8.078483650096297)	(134, 8.7400582187187)	(136, 9.427582839610007)	(138, 10.093431284907814)
