gene.category,module,fisher,estimate,fisher.p.value,conf.low,conf.high,method,alternative,fisher.fdr
Stamen.expressed.8,upMale,,1.0938748721901572,0.2929853438141291,0.8472791222555595,Inf,Fisher's Exact Test for Count Data,greater,0.6002626556191913
Globular.stage.seed,upMale,,1.060845629831007,0.33336541261638614,0.8598565038172316,Inf,Fisher's Exact Test for Count Data,greater,0.6667308252327723
Chalazal.Endosperm..CZE.,upHermaphrodite,,1.0284364465587523,0.38138705733106754,0.8936338161012527,Inf,Fisher's Exact Test for Count Data,greater,0.7325734166043903
Late.stamen..whole.,upMale,,1.058671307627826,0.3872699533966567,0.7998530526641796,Inf,Fisher's Exact Test for Count Data,greater,0.7325734166043903
Stamen.specific,upMale,,1.0659474737650303,0.39245004460949484,0.7736142946880571,Inf,Fisher's Exact Test for Count Data,greater,0.7325734166043903
Stamen.ms1.downregulated,upMale,,1.0338193084416867,0.40354107005688805,0.8506784784830499,Inf,Fisher's Exact Test for Count Data,greater,0.7369010844517085
Stamen.expressed.8,upHermaphrodite,,1.0303137283805366,0.44259766770644365,0.8020841532422832,Inf,Fisher's Exact Test for Count Data,greater,0.7756380788859154
Heart.stage.seed,upMale,,1.0283343705735466,0.44322175936338026,0.8087239408823418,Inf,Fisher's Exact Test for Count Data,greater,0.7756380788859154
Embryo.specific,upHermaphrodite,,1.0030843951072863,0.4707005275935427,0.947324810517252,Inf,Fisher's Exact Test for Count Data,greater,0.8069151901603588
Stamen.specific,upHermaphrodite,,0.9850777847641318,0.5639583492975938,0.7186923632577502,Inf,Fisher's Exact Test for Count Data,greater,0.9474500268199576
Synergid,upMale,,0.9872378974287681,0.6048225844745757,0.9033670797335779,Inf,Fisher's Exact Test for Count Data,greater,0.9961783744287129
Embryo.sac,upMale,,0.9770223624448225,0.6235332212657376,0.8481012707887647,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Seed.Coat..SC.,upMale,,0.963629600043469,0.6567505668234499,0.8076705614211732,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Late.ovule..whole.,upHermaphrodite,,0.9769691763108231,0.7463408367094261,0.919971928598483,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Embryo.proper..EP.,upMale,,0.9374156871096778,0.7705967714495163,0.8005656290391369,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Gynoeicium.specific,upHermaphrodite,,0.796498077416863,0.7920063237970539,0.412383281966795,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Egg.cell,upHermaphrodite,,0.9634122036539515,0.7992209761301536,0.8926422110382326,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Central.Cell,upMale,,0.9618955455582512,0.8013731855798917,0.8889166943442829,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Stamen.spl.nzz.downregulated,upHermaphrodite,,0.9175114039256702,0.8690012697556027,0.8016359310555766,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Chalazal.Endosperm..CZE.,upMale,,0.9044769518375346,0.8823194679317692,0.7786020810914993,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
Intermediate.stamen..whole.,upHermaphrodite,,0.8395573396857144,0.8860626537473114,0.639658359224787,Inf,Fisher's Exact Test for Count Data,greater,0.9999999963264421
