module,gene.category,estimate,fisher.fdr,fisher.p.value,conf.low,conf.high
upHermaphrodite,Carpel.expressed.3,2.022709765550295,1.4504999904803827e-4,2.1101353560433307e-6,1.5677264695319095,Inf
upHermaphrodite,Vegetative.specific..seedling.leaf.root.stem.,1.5771067059611719,1.4504999904803827e-4,3.4535714059056732e-6,1.3341162217289655,Inf
upHermaphrodite,Megaspore.Mother.Cell,1.153419532808525,5.556462619374567e-4,1.9844509354909167e-5,1.089176682308822,Inf
upHermaphrodite,Micropylar.Endosperm..MCE.,1.3175222614462505,0.0086436085423814,6.174006101701e-4,1.1443534033785452,Inf
upHermaphrodite,Central.Cell,1.15156184785661,0.008970066853455895,8.542920812815138e-4,1.0691869294675094,Inf
upHermaphrodite,Mature.green.stage.seed,1.428554041160486,0.029713205659414373,0.003187346635670543,1.1506071370702522,Inf
upHermaphrodite,Seed.Coat..SC.,1.2990666052141013,0.029713205659414373,0.0036143212255146267,1.1060005827238186,Inf
upHermaphrodite,Chalazal.Seed.Coat..CZSC.,1.2948151912981576,0.029713205659414373,0.0038910150268280726,1.102982371591087,Inf
upMale,Post.pollination.stage.pollen,1.3865500405389488,0.005960237786134539,3.0440251056742997e-4,1.1840800347062712,Inf
upMale,Early.ovule..whole.,1.1246302601639226,0.005960237786134539,3.5477605869848445e-4,1.0620262998582437,Inf
upMale,Stamen.expressed.7,1.2136289695898215,0.008970066853455895,7.917342119307509e-4,1.0967923350780031,Inf
upMale,Early.stage.pollen,1.517051356379763,0.04163016354556129,0.006171184942091051,1.1504513507396597,Inf
upMale,Stamen.all.tissues,1.1793057501618576,0.04163016354556129,0.006442763405860676,1.0570333535232206,Inf
