module,GO.ID,Term,Annotated,Significant,Expected,p.value
magenta,GO:0048544,recognition of pollen,11,3,0.57,0.01676
magenta,GO:0006468,protein phosphorylation,606,43,31.51,0.01721
magenta,GO:0070588,calcium ion transmembrane transport,7,2,0.36,0.04752
midnightblue,GO:0016310,phosphorylation,619,4,3.07,0.002
midnightblue,GO:0000045,autophagosome assembly,2,1,0.01,0.0099
midnightblue,GO:0000160,phosphorelay signal transduction system,32,2,0.16,0.0106
midnightblue,GO:0010167,response to nitrate,5,1,0.02,0.0245
midnightblue,GO:0006298,mismatch repair,5,1,0.02,0.0245
midnightblue,GO:0015706,nitrate transmembrane transport,5,1,0.02,0.0245
midnightblue,GO:0009408,response to heat,5,1,0.02,0.0245
midnightblue,GO:0035434,copper ion transmembrane transport,8,1,0.04,0.039
pink,GO:0042545,cell wall modification,63,21,4.71,1.7e-9
pink,GO:0009765,"photosynthesis, light harvesting",20,10,1.5,4.4e-7
pink,GO:0009396,folic acid-containing compound biosynthe...,2,2,0.15,0.0056
pink,GO:0006979,response to oxidative stress,86,13,6.43,0.0106
pink,GO:0006817,phosphate ion transport,13,4,0.97,0.0128
pink,GO:0010215,cellulose microfibril organization,3,2,0.22,0.0159
pink,GO:0055085,transmembrane transport,343,32,25.65,0.0235
pink,GO:0009664,plant-type cell wall organization,43,9,3.22,0.0259
pink,GO:0016049,cell growth,4,2,0.3,0.0302
purple,GO:0006412,translation,116,71,11.46,NA
purple,GO:0015979,photosynthesis,134,106,13.24,NA
purple,GO:0009772,photosynthetic electron transport in pho...,34,34,3.36,NA
purple,GO:0015986,proton motive force-driven ATP synthesis,34,30,3.36,8.1e-27
purple,GO:0009767,photosynthetic electron transport chain,50,50,4.94,1.8e-16
purple,GO:0019685,"photosynthesis, dark reaction",11,11,1.09,7.7e-12
purple,GO:0015995,chlorophyll biosynthetic process,15,12,1.48,2.6e-10
purple,GO:0015977,carbon fixation,10,9,0.99,7.5e-9
purple,GO:0042773,ATP synthesis coupled electron transport,10,8,0.99,3.2e-7
purple,GO:0022904,respiratory electron transport chain,18,16,1.78,7.8e-7
purple,GO:0046034,ATP metabolic process,60,35,5.93,7.2e-5
purple,GO:0009439,cyanate metabolic process,3,3,0.3,9.6e-4
purple,GO:0006351,DNA-templated transcription,428,22,42.28,0.00602
purple,GO:0042549,photosystem II stabilization,2,2,0.2,0.00974
purple,GO:0006480,N-terminal protein amino acid methylatio...,2,2,0.2,0.00974
purple,GO:0006633,fatty acid biosynthetic process,43,9,4.25,0.02206
purple,GO:0019646,aerobic electron transport chain,3,2,0.3,0.0273
purple,GO:0006662,glycerol ether metabolic process,8,3,0.79,0.03674
red,GO:0071577,zinc ion transmembrane transport,7,6,0.49,7e-7
red,GO:0035434,copper ion transmembrane transport,8,4,0.55,0.0013
red,GO:0006415,translational termination,2,2,0.14,0.0048
red,GO:0009094,L-phenylalanine biosynthetic process,6,3,0.42,0.0056
red,GO:0008152,metabolic process,2794,189,193.69,0.0062
red,GO:0055085,transmembrane transport,343,46,23.78,0.0188
red,GO:0006468,protein phosphorylation,606,54,42.01,0.0257
red,GO:0006855,xenobiotic transmembrane transport,25,5,1.73,0.026
red,GO:0006535,cysteine biosynthetic process from serin...,10,3,0.69,0.0275
tan,GO:0006812,monoatomic cation transport,136,10,4.31,1.9e-4
tan,GO:0007165,signal transduction,189,16,5.99,5.2e-4
tan,GO:0006801,superoxide metabolic process,4,2,0.13,0.00573
tan,GO:0000160,phosphorelay signal transduction system,32,4,1.01,0.01741
tan,GO:0008033,tRNA processing,7,2,0.22,0.01885
tan,GO:0006207,'de novo' pyrimidine nucleobase biosynth...,1,1,0.03,0.03169
tan,GO:0006893,Golgi to plasma membrane transport,1,1,0.03,0.03169
tan,GO:0031204,post-translational protein targeting to ...,1,1,0.03,0.03169
tan,GO:0016180,snRNA processing,1,1,0.03,0.03169
tan,GO:0009097,isoleucine biosynthetic process,1,1,0.03,0.03169
tan,GO:0055085,transmembrane transport,343,17,10.87,0.04403
yellow,GO:0008152,metabolic process,2794,327,298.84,2.1e-6
yellow,GO:0005975,carbohydrate metabolic process,229,35,24.49,0.0011
yellow,GO:0032502,developmental process,21,7,2.25,0.0012
yellow,GO:0045893,positive regulation of DNA-templated tra...,4,3,0.43,0.0045
yellow,GO:0006355,regulation of DNA-templated transcriptio...,383,58,40.96,0.0081
yellow,GO:0001678,intracellular glucose homeostasis,2,2,0.21,0.0114
yellow,GO:0046835,carbohydrate phosphorylation,2,2,0.21,0.0114
yellow,GO:0009664,plant-type cell wall organization,43,10,4.6,0.0223
yellow,GO:0000103,sulfate assimilation,3,2,0.32,0.0318
