"","category","term","FDR","over_represented_pvalue","numDEInCat","numInCat","ontology"
"1","GO:0015979","photosynthesis",9.04033742550194e-17,1.34528830736636e-19,31,65,"BP"
"2","GO:0009765","photosynthesis, light harvesting",2.14579058326258e-11,6.3862814978053e-14,21,42,"BP"
"3","GO:0019684","photosynthesis, light reaction",2.02518316497557e-09,9.04099627221237e-12,9,10,"BP"
"4","GO:0009772","photosynthetic electron transport in photosystem II",2.63922462481526e-08,1.57096703858051e-10,8,9,"BP"
"5","GO:0015986","proton motive force-driven ATP synthesis",2.25366266202507e-07,1.67683233781627e-09,16,36,"BP"
"6","GO:0009767","photosynthetic electron transport chain",6.06658044597086e-06,5.41658968390255e-08,5,5,"BP"
"7","GO:0015995","chlorophyll biosynthetic process",0.000712167676170614,7.4184132934439e-06,6,16,"BP"
"8","GO:0046034","ATP metabolic process",0.00108225045156538,1.2883933947207e-05,5,12,"BP"
"9","GO:0042773","ATP synthesis coupled electron transport",0.0119783349598926,0.000160424128927133,3,4,"BP"
