module,gene.category,estimate,fisher.fdr,fisher.p.value,conf.low,conf.high
in_LFY1_cluster,Stamen.expressed.7,2.7506888521399886,9.864416577348838e-13,2.3486706136544852e-14,2.236263953373223,Inf
in_LFY1_cluster,Stamen.spl.nzz.downregulated,3.0766426908354583,8.775294375240853e-12,4.178711607257549e-13,2.4214631658651418,Inf
in_LFY1_cluster,Stamen.all.tissues,2.690206589733741,4.7966896456434406e-11,3.4262068897453147e-12,2.1529773390201106,Inf
in_LFY1_cluster,Embryo.specific,1.7156482738201648,4.85618245270048e-9,4.624935669238552e-10,1.484423566412661,Inf
in_LFY1_cluster,Stamen.ms1.downregulated,2.8144194333329686,1.7792286068693492e-5,2.1181292938920823e-6,1.9849270980467577,Inf
in_LFY1_cluster,Post.pollination.stage.pollen,2.590274070379911,1.8606603504732338e-5,2.6580862149617625e-6,1.8690766499355669,Inf
in_LFY1_cluster,Mature.pollen,2.0031825711042512,0.009365064590782074,0.0016528981242599596,1.3690778824102074,Inf
in_LFY1_cluster,Late.stamen..whole.,2.6144087845898243,0.009365064590782074,0.0017838218268156332,1.5448879557391049,Inf
in_LFY1_cluster,Embryo.sac,1.6771834215866477,0.01711407379512253,0.0036673015275262566,1.2259070980852484,Inf
in_LFY1_cluster,Intermediate.stamen..whole.,2.345489408236479,0.01812846235921498,0.004430823520529577,1.3883872483749098,Inf
in_LFY1_cluster,Stamen.specific,2.649484806823101,0.01812846235921498,0.004747930617889637,1.4493951433952867,Inf
