geneID,logFC,logCPM,F,PValue,FDR
Ceric.09G099800.v2.1,2.3685016429884715,4.707766269506329,166.10135245613665,1.094327404897473e-6,4.057357963073258e-4
Ceric.24G014400.v2.1,2.233486814599641,4.580723680248044,247.03647442591776,2.313321695799471e-7,2.6633637945059697e-4
Ceric.27G043100.v2.1,2.467561669590379,4.512467049704645,174.58532155977858,9.015698272678681e-7,3.700051238556688e-4
Ceric.1Z286500.v2.1,2.477757369023989,4.326814723784707,220.4610877896923,3.6202767912573856e-7,2.854345233924195e-4
Ceric.25G047800.v2.1,2.235377197136613,4.242204385325687,176.82689776208508,8.57896338908227e-7,3.700051238556688e-4
Ceric.1Z041100.v2.1,2.118067095662631,4.369274552325541,166.8111259462288,1.0763606280205104e-6,4.057357963073258e-4
Ceric.1Z105200.v2.1,2.050680415182858,5.034013273988848,161.8117959684803,1.2112190831031352e-6,4.076392649573405e-4
Ceric.21G068900.v2.1,2.427735506313618,4.900811581820971,164.4290900444062,1.1380860759854432e-6,4.076392649573405e-4
Ceric.13G068500.v2.1,1.807905279069238,4.618976526033329,176.83332494602647,8.575901854182069e-7,3.700051238556688e-4
Ceric.17G013200.v2.1,3.1265699437522594,5.415299862317508,395.6556863397704,3.5766580270366396e-8,2.5170888216214033e-4
Ceric.1Z097100.v2.1,3.305495798829126,5.381402629327505,258.3395906919526,1.939248169190631e-7,2.5170888216214033e-4
Ceric.18G032400.v2.1,2.8819209906056225,4.2653746938163195,232.71032351711352,2.928093056728995e-7,2.781576972962355e-4
Ceric.07G024600.v2.1,3.008201674006681,4.270839289624107,291.80855727982583,1.1990480402527336e-7,2.5170888216214033e-4
Ceric.33G065100.v2.1,3.240264052176591,4.568379274399123,333.68350967126264,7.045808135799105e-8,2.5170888216214033e-4
Ceric.32G020300.v2.1,3.4969827031407132,4.282498927329733,275.98707485053677,1.4957698230774404e-7,2.5170888216214033e-4
Ceric.05G000600.v2.1,3.160279128120222,4.118455259973091,196.8140512361995,5.652278919798677e-7,3.476328632250006e-4
Ceric.39G047000.v2.1,2.5763047122662837,3.918438635357347,176.8337289132658,8.581513884679486e-7,3.700051238556688e-4
Ceric.39G024000.v2.1,2.506229286650372,3.786874426055148,213.40904198341428,4.1150897815826473e-7,3.0005862990706804e-4
Ceric.12G068400.v2.1,2.7636015574544177,4.144162703366677,175.87000011000782,8.76531023797656e-7,3.700051238556688e-4
Ceric.08G022900.v2.1,4.221432304581143,4.988399527928123,254.49084543561972,2.0599301230896032e-7,2.5170888216214033e-4
Ceric.04G109200.v2.1,2.785360074088934,6.413777153377185,183.03879890947567,7.495560478336424e-7,3.700051238556688e-4
Ceric.1Z226000.v2.1,2.3468554301296645,5.640795145882002,262.48606823120303,1.8205856904318952e-7,2.5170888216214033e-4
Ceric.06G034100.v2.1,2.017566915858611,7.387863245146487,162.00399444509776,1.2054101771290617e-6,4.076392649573405e-4
Ceric.35G066200.v2.1,-1.4267763204195156,5.913509029586643,93.15184311965004,1.00250530613156e-5,9.833992633016984e-4
Ceric.18G028900.v2.1,-1.7555680919216914,5.991209599862467,133.32840823154194,2.5594441460672534e-6,5.489003989727566e-4
Ceric.10G074300.v2.1,-1.757564174608217,6.189320834648208,125.6370272892062,3.2156088040776157e-6,5.889636371396737e-4
Ceric.11G044000.v2.1,-1.3205130954314788,6.216171582620431,98.22267208388851,8.208894435104315e-6,8.716969212034315e-4
Ceric.11G036000.v2.1,-2.079276200359356,5.896512690613163,97.51308989897655,8.436792522685775e-6,8.830374948983318e-4
Ceric.09G025600.v2.1,-2.7277691120337444,7.548312870141551,98.67899487861466,8.066386223730263e-6,8.689464639450882e-4
Ceric.11G091500.v2.1,-4.948731635073483,8.391416266242784,113.79648765744332,4.695320316953444e-6,6.801995492275271e-4
Ceric.05G043000.v2.1,-3.904090246264185,6.880468927647534,131.77968489972577,2.677082803710752e-6,5.524640219921953e-4
Ceric.13G000100.v2.1,-4.568558282218698,7.034639885361967,436.4175419932471,2.4182617981292003e-8,2.5170888216214033e-4
Ceric.27G071200.v2.1,-4.894064265548834,11.759478403769217,233.49734873897063,2.886981484410974e-7,2.781576972962355e-4
Ceric.1Z280800.v2.1,-5.0353292714998075,5.021222031310888,96.5269597771503,8.772051536343535e-6,9.137553683691183e-4
Ceric.24G081900.v2.1,-5.398819159753046,5.153480290926418,95.89492648332707,8.993923483720284e-6,9.150794242157265e-4
Ceric.09G038900.v2.1,-4.666066128342599,4.6282859851976985,273.99576149100125,1.5380560908872843e-7,2.5170888216214033e-4
Ceric.05G040300.v2.1,-4.414262850952319,4.36174801668603,103.82255326628686,6.6595131056022946e-6,8.193231111649792e-4
Ceric.1Z280900.v2.1,-4.649331554226486,5.083761501588687,126.1354401836902,3.1687712612609843e-6,5.883514955414763e-4
Ceric.21G075200.v2.1,-6.5744968236979,5.986232856988612,103.43793747096738,6.757849926345512e-6,8.193231111649792e-4
Ceric.21G075100.v2.1,-7.281042133695484,5.418584707778079,124.52724285290992,3.3509859766461906e-6,5.911517599930275e-4
Ceric.26G004600.v2.1,-6.538576806554651,4.418515332960069,235.9254972453871,2.812478382023672e-7,2.781576972962355e-4
Ceric.30G001100.v2.1,-2.0515776744560306,4.749048713983559,134.27097297630357,2.4910279382263635e-6,5.44912361487017e-4
Ceric.37G028100.v2.1,-1.796161225097002,4.495554640795824,131.95769339321114,2.663250858030241e-6,5.524640219921953e-4
Ceric.03G078600.v2.1,-2.4006631767492914,4.460597533983425,132.9752147469914,2.586050572396238e-6,5.492219055453176e-4
Ceric.20G084700.v2.1,-1.8735371770362512,3.954228700287468,110.84491861056523,5.190701460273547e-6,7.278627848941271e-4
Ceric.17G046900.v2.1,-4.659628312899692,2.455597344881493,176.4883128131821,8.772595775302159e-7,3.700051238556688e-4
Ceric.20G033400.v2.1,-4.89743186837454,2.2320738116948906,181.3318208285851,8.042931322809585e-7,3.700051238556688e-4
Ceric.17G026400.v2.1,-3.6187331694696567,1.9400846627189048,104.64515019245766,6.495216667105165e-6,8.193231111649792e-4
Ceric.29G005200.v2.1,-3.9058627288401775,1.8211511694376092,109.88247929425289,5.421262451936901e-6,7.365845722740355e-4
Ceric.26G000100.v2.1,-4.7174029767981835,1.7081751615064804,145.26174445023022,1.938576807016367e-6,5.048377101605123e-4
Ceric.1Z237000.v2.1,-4.878871360652922,1.8797944418743975,115.26853066167565,4.6837667043420085e-6,6.801995492275271e-4
Ceric.37G000300.v2.1,-2.3589707777935165,1.5814479124441436,118.04662687048504,4.0928672115876714e-6,6.441112967876282e-4
Ceric.28G052200.v2.1,-2.956978420918479,1.6519868250348817,98.5327648348552,8.141994936799684e-6,8.689464639450882e-4
Ceric.11G091400.v2.1,-6.01522865308518,3.772851040951712,266.6861558020099,1.7422090669856248e-7,2.5170888216214033e-4
Ceric.36G000100.v2.1,-6.114679317264435,3.406640972225597,211.43621363527106,4.433963234313881e-7,3.0568412359936167e-4
Ceric.11G029500.v2.1,-6.467648041080296,3.9156253187660655,148.5482381481281,1.7315694309896906e-6,4.794693835810061e-4
Ceric.21G075300.v2.1,-6.484478107552166,3.1123982860004946,177.55138445323792,9.133840771751366e-7,3.700051238556688e-4
Ceric.12G011300.v2.1,-4.115783192616248,3.4456478042830017,228.30457036928362,3.1605972709862195e-7,2.781576972962355e-4
Ceric.04G027700.v2.1,-3.4060132024465783,2.9233900391509153,259.4974616768502,1.9081764021260294e-7,2.5170888216214033e-4
Ceric.33G019000.v2.1,-2.9288118580636775,3.3342600281530976,99.53767135197513,7.810669562316276e-6,8.689464639450882e-4
Ceric.25G071100.v2.1,-2.4178586538235076,2.562621993639662,103.76179511663689,6.6753058560560265e-6,8.193231111649792e-4
Ceric.19G024800.v2.1,-2.0785269290313213,2.448359632487026,102.69596953967721,6.941093703454689e-6,8.237142620668782e-4
Ceric.22G060500.v2.1,-2.4813936572733555,2.360055786318454,99.14389336945874,7.932779583912014e-6,8.689464639450882e-4
Ceric.16G059000.v2.1,-6.8580961113704335,2.425386085920091,208.87225000878928,3.6535618994229697e-7,2.854345233924195e-4
Ceric.08G054200.v2.1,-4.503899831849717,0.9253432697030601,144.6354916719601,2.0163562825837322e-6,5.175573977569962e-4
Ceric.06G010300.v2.1,-4.338792131554977,0.659226415702499,121.98893638098272,3.84778456132695e-6,6.244225244144207e-4
Ceric.27G035300.v2.1,-5.6218671218997285,0.9563247076774354,276.2845170210376,9.933457532278086e-8,2.5170888216214033e-4
Ceric.23G028900.v2.1,-5.038758390745292,0.7339908796475565,141.58397239592114,1.8768681605345293e-6,5.006889147767418e-4
Ceric.27G035200.v2.1,-7.509830664541814,1.2368721618793819,144.85787260114697,7.499217589015108e-8,2.5170888216214033e-4
