"hubGene","genes","cor"
"Ceric.04G051800.1","Ceric.1Z086200.1",0.525
"Ceric.04G051800.1","Ceric.05G020600.1",0.524
"Ceric.04G051800.1","Ceric.30G011500.1",0.524
"Ceric.04G051800.1","Ceric.05G001700.1",0.52
"Ceric.04G051800.1","Ceric.18G033500.1",0.52
"Ceric.04G051800.1","Ceric.31G048500.1",0.519
"Ceric.04G051800.1","Ceric.18G028800.1",0.518
"Ceric.04G051800.1","Ceric.05G006500.1",0.515
"Ceric.04G051800.1","Ceric.27G039100.1",0.515
"Ceric.04G051800.1","Ceric.29G054000.1",0.515
"Ceric.04G051800.1","Ceric.06G034700.1",0.513
"Ceric.39G000700.1","Ceric.39G000700.1",1
"Ceric.39G000700.1","Ceric.39G000500.1",0.919
"Ceric.39G000700.1","Ceric.39G000400.1",0.616
"Ceric.39G000700.1","Ceric.24G054300.1",0.535
"Ceric.39G000700.1","Ceric.28G000400.1",0.532
"Ceric.39G000700.1","Ceric.35G059600.1",0.513
"Ceric.39G000700.1","Ceric.19G055600.1",0.508
"Ceric.39G000700.1","Ceric.01G108500.1",0.499
"Ceric.39G000700.1","Ceric.06G048800.1",0.499
"Ceric.39G000700.1","Ceric.31G020800.1",0.499
"Ceric.21G025700.1","Ceric.21G025700.1",1
"Ceric.21G025700.1","Ceric.26G065000.1",0.719
"Ceric.21G025700.1","Ceric.09G026100.1",0.684
"Ceric.21G025700.1","Ceric.03G063500.1",0.683
"Ceric.21G025700.1","Ceric.11G015400.1",0.681
"Ceric.21G025700.1","Ceric.29G043800.1",0.68
"Ceric.21G025700.1","Ceric.23G070700.1",0.669
"Ceric.21G025700.1","Ceric.13G076000.1",0.66
"Ceric.21G025700.1","Ceric.36G000700.1",0.66
"Ceric.21G025700.1","Ceric.12G053600.1",0.657
"Ceric.21G025700.1","Ceric.04G108500.1",0.656
"Ceric.21G025700.1","Ceric.13G065200.1",0.652
"Ceric.21G025700.1","Ceric.02G096100.1",0.65
"Ceric.21G025700.1","Ceric.30G028100.1",0.648
"Ceric.21G025700.1","Ceric.34G054500.1",0.648
"Ceric.21G025700.1","Ceric.19G007400.1",0.646
"Ceric.21G025700.1","Ceric.24G013000.1",0.645
"Ceric.21G025700.1","Ceric.37G046600.1",0.642
"Ceric.21G025700.1","Ceric.04G044800.1",0.641
"Ceric.21G025700.1","Ceric.23G007600.1",0.641
"Ceric.02G085000.1","Ceric.02G085000.1",1
"Ceric.02G085000.1","Ceric.22G055700.1",0.879
"Ceric.02G085000.1","Ceric.25G006800.1",0.868
"Ceric.02G085000.1","Ceric.29G023100.1",0.862
"Ceric.02G085000.1","Ceric.38G004900.1",0.858
"Ceric.02G085000.1","Ceric.10G026500.1",0.853
"Ceric.02G085000.1","Ceric.35G046000.1",0.853
"Ceric.02G085000.1","Ceric.30G051800.1",0.851
"Ceric.02G085000.1","Ceric.13G049500.1",0.849
"Ceric.02G085000.1","Ceric.39G052200.1",0.848
"Ceric.02G085000.1","Ceric.1Z049600.1",0.844
"Ceric.02G085000.1","Ceric.33G041800.1",0.844
"Ceric.02G085000.1","Ceric.18G046100.1",0.842
"Ceric.02G085000.1","Ceric.01G025800.1",0.841
"Ceric.02G085000.1","Ceric.04G081600.1",0.84
"Ceric.02G085000.1","Ceric.19G013700.1",0.839
"Ceric.02G085000.1","Ceric.03G054600.1",0.838
"Ceric.02G085000.1","Ceric.31G017000.1",0.834
"Ceric.02G085000.1","Ceric.28G039300.1",0.833
"Ceric.02G085000.1","Ceric.09G012500.1",0.832
"Ceric.15G011900.1","Ceric.15G011900.1",1
"Ceric.15G011900.1","Ceric.15G023000.1",0.535
"Ceric.15G011900.1","Ceric.1Z183500.1",0.489
"Ceric.15G011900.1","Ceric.01G070900.1",0.488
"Ceric.15G011900.1","Ceric.35G065100.1",0.488
"Ceric.15G011900.1","Ceric.31G008400.1",0.482
"Ceric.15G011900.1","Ceric.04G064700.1",0.469
"Ceric.15G011900.1","Ceric.24G059500.1",0.469
"Ceric.15G011900.1","Ceric.22G047000.1",0.463
"Ceric.15G011900.1","Ceric.02G078900.1",0.462
"Ceric.08G017200.1","Ceric.08G017200.1",1
"Ceric.08G017200.1","Ceric.30G019800.1",0.794
"Ceric.08G017200.1","Ceric.30G008600.1",0.776
"Ceric.08G017200.1","Ceric.30G019100.1",0.762
"Ceric.08G017200.1","Ceric.08G034200.1",0.758
"Ceric.08G017200.1","Ceric.30G009100.1",0.711
