AT1G25560
AT1G69120
AT5G07290
AT1G04250
AT2G40330
AT5G60630
AT1G78240
AT4G35900
AT4G30490
AT5G23010
AT5G49520
AT1G28610
AT5G20830
AT1G27730
AT3G57810
AT3G50560
AT1G18400
AT4G22780
AT1G18600
AT5G13170
AT1G16070
AT2G26440
AT1G15570
AT1G08930
AT3G27200
AT3G05660
AT2G19620
AT5G24910
AT2G26400
AT3G50410
AT4G34950
AT3G19030
AT1G70710
AT2G16750
AT1G72830
AT1G05010
AT5G61420
AT5G56250
AT2G01420
AT4G30270
AT5G62470
AT2G27500
AT3G49790
AT2G46620
AT5G57910
AT2G18350
AT1G22400
AT3G51660
AT3G63240
AT2G27830
AT5G20250
AT5G04230
AT3G25710
AT4G27980
AT2G19800
AT3G55980
AT2G41310
AT4G17500
AT5G40890
AT5G49480
AT4G37590
AT1G73020
AT5G62070
AT1G32900
AT4G33160
AT1G08920
AT1G10090
AT3G53420
AT4G25960
AT1G35670
AT4G29720
AT5G20110
AT5G62680
AT1G33240
AT2G38470
AT2G46420
AT5G13290
AT4G30190
AT5G44130
AT1G23090
AT2G28940
AT4G19420
AT1G74710
AT5G53760
AT1G33800
AT2G41940
AT1G74950
AT3G13662
AT1G67040
AT3G01690
AT5G61850
AT5G11530
AT1G76320
AT3G29030
AT5G63180
AT2G39660
AT3G23050
AT5G05440
AT5G10290
AT5G53500
AT5G51190
AT5G51550
AT2G34650
AT2G33860
AT1G04150
AT3G58070
AT4G24570
AT1G67340
AT5G51110
AT3G13620
AT4G39480
AT3G54000
AT3G11850
AT2G17770
AT4G36930
AT5G16560
AT2G30040
AT4G31800
AT1G47400
AT1G76890
AT1G21010
AT3G14980
AT2G35940
AT5G67440
AT1G09155
AT3G51950
AT1G67770
AT1G17370
AT2G40610
AT1G29510
AT1G13260
AT3G57040
AT1G70210
AT1G67740
AT1G68360
AT3G63010
AT1G27360
AT3G06070
AT1G80840
AT3G59060
AT4G24350
AT3G28180
AT5G07580
AT2G42870
AT3G25870
AT3G29230
AT1G66880
AT4G21060
AT3G55890
AT5G01600
AT5G62230
AT1G32540
AT5G06980
AT2G33500
AT1G19770
AT1G63020
AT5G52250
AT3G03190
AT4G28560
AT5G16190
AT2G44910
AT1G70790
AT3G26200
AT5G13330
AT3G13690
AT5G03140
AT2G38970
AT1G79060
AT5G56300
AT1G03870
AT1G30135
AT2G34510
AT1G13740
AT3G04670
AT1G13950
AT1G52190
AT1G72450
AT5G67180
AT5G46330
AT5G40460
AT3G48360
AT4G25030
AT2G26190
AT5G63420
AT2G30010
AT1G59740
AT5G46910
AT2G44500
AT4G36550
AT5G57560
AT5G65390
AT5G49330
AT1G18740
AT1G69910
AT4G31820
AT1G69870
AT1G26150
AT1G71880
AT1G23390
AT4G36010
AT4G21430
AT5G38530
AT4G28100
AT2G41230
AT1G68875
AT2G38290
AT5G49170
AT2G45590
AT3G52490
AT4G15620
AT1G69850
AT4G25750
AT1G59870
AT1G11320
AT3G12930
AT2G23130
