AT3G22104
AT1G69120
AT1G25320
AT1G04990
AT2G35940
AT3G32930
AT1G70290
AT5G26910
AT3G06950
AT5G07440
AT3G53380
AT5G60910
AT5G63180
AT1G70895
AT3G25710
AT2G33860
AT3G56880
AT3G15270
AT2G42110
AT2G03710
AT4G30270
AT2G20515
AT2G17770
AT4G30490
AT1G62520
AT5G66310
AT1G28560
AT3G02250
AT1G76110
AT1G70710
AT3G28910
AT5G65710
AT2G28940
AT1G27880
AT3G63240
AT1G28360
AT4G37750
AT5G48900
AT5G62230
AT1G32240
AT1G70510
AT1G64180
AT1G69870
AT2G25150
AT1G30040
AT4G24150
AT4G23060
AT5G60450
AT4G17950
AT5G28640
AT1G15570
AT1G80840
AT1G20930
AT2G19620
AT4G01460
AT4G22540
AT1G04250
AT5G38880
AT4G15210
AT3G19030
AT1G76890
AT5G16560
AT3G62620
AT1G67040
AT2G34710
AT4G25030
AT2G34650
AT3G61830
AT5G13290
AT5G10510
AT3G06660
AT1G76320
AT5G47640
AT1G32190
AT1G78090
AT1G58360
AT1G75310
AT1G67340
AT5G61120
AT5G52520
AT5G61850
AT2G45190
AT1G18600
AT5G53950
AT4G15160
AT5G54670
AT1G74850
AT1G27210
AT3G53680
AT5G58550
AT2G01260
AT1G69600
AT4G22780
AT1G70210
AT3G04670
AT1G73020
AT3G51950
AT4G04670
AT2G37630
AT4G27980
AT5G20240
AT1G05860
AT4G15830
AT1G67050
AT5G11530
AT4G28100
AT2G27830
AT5G51560
AT2G26190
AT1G53160
AT3G26090
AT5G12080
AT2G39830
AT1G10090
AT5G35770
AT4G18960
AT3G52290
AT5G49330
AT1G54090
AT2G31160
AT3G24660
AT4G39480
AT1G72830
AT3G13960
AT2G41100
AT5G66740
AT3G50240
AT5G49520
AT4G28490
AT1G16070
AT5G10310
AT1G33800
AT1G23000
AT1G33700
AT3G06160
AT1G58180
AT1G63020
AT3G54340
AT1G68360
AT5G14760
AT5G11320
AT5G24910
AT1G25560
AT2G46620
AT5G20830
AT5G07290
AT4G07960
AT4G34400
AT5G07180
AT1G27730
AT2G26330
AT3G13690
AT5G51110
AT5G67370
AT3G14980
AT1G24260
AT4G26080
AT3G57470
AT1G52190
AT5G62140
AT2G45050
AT3G27200
AT2G33500
