Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
BF5-gam_R2_001	(11.0, 33.0)	(12.0, 318.0)	(13.0, 1349.0)	(14.0, 1776.0)	(15.0, 1997.0)	(16.0, 2386.0)	(17.0, 3335.0)	(18.0, 5116.0)	(19.0, 7896.0)	(20.0, 12347.0)	(21.0, 18477.0)	(22.0, 26107.0)	(23.0, 36311.0)	(24.0, 47844.0)	(25.0, 62136.0)	(26.0, 80936.0)	(27.0, 107301.0)	(28.0, 140770.0)	(29.0, 188427.0)	(30.0, 254047.0)	(31.0, 358999.0)	(32.0, 541411.0)	(33.0, 912628.0)	(34.0, 1911985.0)	(35.0, 5814380.0)	(36.0, 15402490.0)	(37.0, 417015.0)		
Cross-S5-1_R1_001	(14.0, 6.0)	(15.0, 46.0)	(16.0, 143.0)	(17.0, 431.0)	(18.0, 856.0)	(19.0, 1341.0)	(20.0, 1728.0)	(21.0, 2493.0)	(22.0, 4111.0)	(23.0, 7145.0)	(24.0, 13298.0)	(25.0, 24622.0)	(26.0, 43189.0)	(27.0, 72963.0)	(28.0, 111932.0)	(29.0, 160434.0)	(30.0, 215047.0)	(31.0, 290499.0)	(32.0, 470249.0)	(33.0, 573107.0)	(34.0, 913594.0)	(35.0, 2299247.0)	(36.0, 19358014.0)	(37.0, 1679678.0)					
Cross-S5-1_R2_001	(11.0, 51.0)	(12.0, 433.0)	(13.0, 1413.0)	(14.0, 2054.0)	(15.0, 2145.0)	(16.0, 2721.0)	(17.0, 4161.0)	(18.0, 6203.0)	(19.0, 9386.0)	(20.0, 14451.0)	(21.0, 21158.0)	(22.0, 30930.0)	(23.0, 44060.0)	(24.0, 60134.0)	(25.0, 79241.0)	(26.0, 102340.0)	(27.0, 134395.0)	(28.0, 175067.0)	(29.0, 232200.0)	(30.0, 313829.0)	(31.0, 444574.0)	(32.0, 676457.0)	(33.0, 1152255.0)	(34.0, 2392560.0)	(35.0, 6704423.0)	(36.0, 13378310.0)	(37.0, 259222.0)		
Cross-S5-2_R1_001	(13.0, 1.0)	(14.0, 14.0)	(15.0, 48.0)	(16.0, 161.0)	(17.0, 480.0)	(18.0, 997.0)	(19.0, 1370.0)	(20.0, 1850.0)	(21.0, 2512.0)	(22.0, 3918.0)	(23.0, 6818.0)	(24.0, 12218.0)	(25.0, 22702.0)	(26.0, 40364.0)	(27.0, 68986.0)	(28.0, 108129.0)	(29.0, 156735.0)	(30.0, 212626.0)	(31.0, 280265.0)	(32.0, 369829.0)	(33.0, 521182.0)	(34.0, 892670.0)	(35.0, 2364195.0)	(36.0, 20437073.0)	(37.0, 1865733.0)				
Cross-S5-2_R2_001	(11.0, 35.0)	(12.0, 397.0)	(13.0, 1156.0)	(14.0, 1695.0)	(15.0, 2078.0)	(16.0, 2806.0)	(17.0, 4174.0)	(18.0, 6500.0)	(19.0, 10165.0)	(20.0, 15641.0)	(21.0, 22791.0)	(22.0, 33012.0)	(23.0, 45589.0)	(24.0, 61175.0)	(25.0, 80450.0)	(26.0, 105680.0)	(27.0, 137128.0)	(28.0, 179686.0)	(29.0, 237838.0)	(30.0, 322668.0)	(31.0, 457677.0)	(32.0, 690244.0)	(33.0, 1151928.0)	(34.0, 2324807.0)	(35.0, 6492746.0)	(36.0, 14641307.0)	(37.0, 341503.0)		
Cross-S5-3_R1_001	(12.0, 1.0)	(13.0, 0.0)	(14.0, 8.0)	(15.0, 31.0)	(16.0, 95.0)	(17.0, 277.0)	(18.0, 612.0)	(19.0, 995.0)	(20.0, 1279.0)	(21.0, 1932.0)	(22.0, 3502.0)	(23.0, 6604.0)	(24.0, 12710.0)	(25.0, 23335.0)	(26.0, 39559.0)	(27.0, 64861.0)	(28.0, 97966.0)	(29.0, 139199.0)	(30.0, 185545.0)	(31.0, 243059.0)	(32.0, 359512.0)	(33.0, 524468.0)	(34.0, 780030.0)	(35.0, 1929171.0)	(36.0, 16902888.0)	(37.0, 1640055.0)			
Cross-S5-3_R2_001	(11.0, 27.0)	(12.0, 260.0)	(13.0, 940.0)	(14.0, 1351.0)	(15.0, 1603.0)	(16.0, 1927.0)	(17.0, 2890.0)	(18.0, 4411.0)	(19.0, 6748.0)	(20.0, 10539.0)	(21.0, 15631.0)	(22.0, 23648.0)	(23.0, 33628.0)	(24.0, 45191.0)	(25.0, 59045.0)	(26.0, 77429.0)	(27.0, 101577.0)	(28.0, 133757.0)	(29.0, 178704.0)	(30.0, 241221.0)	(31.0, 343342.0)	(32.0, 520896.0)	(33.0, 879889.0)	(34.0, 1824029.0)	(35.0, 5329993.0)	(36.0, 12810122.0)	(37.0, 308896.0)		
Cross-WYS-1_R1_001	(14.0, 7.0)	(15.0, 38.0)	(16.0, 116.0)	(17.0, 382.0)	(18.0, 732.0)	(19.0, 1238.0)	(20.0, 1607.0)	(21.0, 2460.0)	(22.0, 4090.0)	(23.0, 7247.0)	(24.0, 13842.0)	(25.0, 25442.0)	(26.0, 43046.0)	(27.0, 69037.0)	(28.0, 103119.0)	(29.0, 146178.0)	(30.0, 193618.0)	(31.0, 251849.0)	(32.0, 328462.0)	(33.0, 458786.0)	(34.0, 787447.0)	(35.0, 2068648.0)	(36.0, 18060037.0)	(37.0, 1673427.0)					
Cross-WYS-1_R2_001	(11.0, 31.0)	(12.0, 321.0)	(13.0, 1159.0)	(14.0, 1499.0)	(15.0, 1725.0)	(16.0, 2228.0)	(17.0, 3193.0)	(18.0, 4906.0)	(19.0, 7591.0)	(20.0, 11488.0)	(21.0, 17372.0)	(22.0, 25580.0)	(23.0, 36449.0)	(24.0, 48795.0)	(25.0, 63208.0)	(26.0, 82959.0)	(27.0, 108329.0)	(28.0, 142168.0)	(29.0, 189717.0)	(30.0, 256443.0)	(31.0, 360892.0)	(32.0, 544449.0)	(33.0, 910608.0)	(34.0, 1868639.0)	(35.0, 5471289.0)	(36.0, 13734889.0)	(37.0, 344928.0)		
Cross-WYS-2_R1_001	(13.0, 1.0)	(14.0, 7.0)	(15.0, 39.0)	(16.0, 119.0)	(17.0, 287.0)	(18.0, 616.0)	(19.0, 900.0)	(20.0, 1403.0)	(21.0, 2208.0)	(22.0, 3657.0)	(23.0, 6761.0)	(24.0, 12744.0)	(25.0, 23123.0)	(26.0, 39376.0)	(27.0, 63904.0)	(28.0, 97423.0)	(29.0, 138712.0)	(30.0, 185284.0)	(31.0, 242945.0)	(32.0, 322381.0)	(33.0, 463736.0)	(34.0, 796429.0)	(35.0, 2065222.0)	(36.0, 17276882.0)	(37.0, 1458207.0)				
Cross-WYS-2_R2_001	(11.0, 17.0)	(12.0, 308.0)	(13.0, 1077.0)	(14.0, 1528.0)	(15.0, 1668.0)	(16.0, 2071.0)	(17.0, 2962.0)	(18.0, 4599.0)	(19.0, 7389.0)	(20.0, 11317.0)	(21.0, 17052.0)	(22.0, 24708.0)	(23.0, 34315.0)	(24.0, 45126.0)	(25.0, 58222.0)	(26.0, 74665.0)	(27.0, 98727.0)	(28.0, 129388.0)	(29.0, 173547.0)	(30.0, 235668.0)	(31.0, 333219.0)	(32.0, 504709.0)	(33.0, 837781.0)	(34.0, 1699583.0)	(35.0, 4955693.0)	(36.0, 13563187.0)	(37.0, 383840.0)		
Cross-WYS-3_R1_001	(13.0, 1.0)	(14.0, 8.0)	(15.0, 57.0)	(16.0, 125.0)	(17.0, 334.0)	(18.0, 777.0)	(19.0, 1145.0)	(20.0, 1630.0)	(21.0, 2276.0)	(22.0, 3857.0)	(23.0, 7134.0)	(24.0, 13169.0)	(25.0, 24411.0)	(26.0, 42226.0)	(27.0, 68258.0)	(28.0, 104861.0)	(29.0, 149255.0)	(30.0, 200434.0)	(31.0, 260161.0)	(32.0, 342005.0)	(33.0, 477120.0)	(34.0, 814404.0)	(35.0, 2155511.0)	(36.0, 18858460.0)	(37.0, 1750736.0)				
Cross-WYS-3_R2_001	(11.0, 23.0)	(12.0, 287.0)	(13.0, 1136.0)	(14.0, 1598.0)	(15.0, 1787.0)	(16.0, 2304.0)	(17.0, 3368.0)	(18.0, 5141.0)	(19.0, 7572.0)	(20.0, 11261.0)	(21.0, 17090.0)	(22.0, 25077.0)	(23.0, 36128.0)	(24.0, 48109.0)	(25.0, 62993.0)	(26.0, 81768.0)	(27.0, 109058.0)	(28.0, 144056.0)	(29.0, 192131.0)	(30.0, 261439.0)	(31.0, 371260.0)	(32.0, 560098.0)	(33.0, 935453.0)	(34.0, 1910710.0)	(35.0, 5566238.0)	(36.0, 14527936.0)	(37.0, 394334.0)		
Cross-gam-1_R1_001	(14.0, 11.0)	(15.0, 40.0)	(16.0, 122.0)	(17.0, 351.0)	(18.0, 849.0)	(19.0, 1323.0)	(20.0, 1683.0)	(21.0, 2368.0)	(22.0, 3701.0)	(23.0, 6576.0)	(24.0, 12230.0)	(25.0, 22308.0)	(26.0, 38582.0)	(27.0, 61546.0)	(28.0, 93632.0)	(29.0, 133376.0)	(30.0, 177066.0)	(31.0, 231523.0)	(32.0, 304637.0)	(33.0, 431135.0)	(34.0, 739217.0)	(35.0, 1965104.0)	(36.0, 16470047.0)	(37.0, 1441596.0)					
Cross-gam-1_R2_001	(11.0, 23.0)	(12.0, 239.0)	(13.0, 922.0)	(14.0, 1207.0)	(15.0, 1493.0)	(16.0, 2048.0)	(17.0, 3267.0)	(18.0, 5166.0)	(19.0, 8308.0)	(20.0, 12724.0)	(21.0, 18908.0)	(22.0, 27096.0)	(23.0, 38146.0)	(24.0, 50376.0)	(25.0, 64753.0)	(26.0, 83502.0)	(27.0, 107813.0)	(28.0, 141764.0)	(29.0, 188555.0)	(30.0, 254748.0)	(31.0, 362099.0)	(32.0, 545873.0)	(33.0, 907811.0)	(34.0, 1833444.0)	(35.0, 5153773.0)	(36.0, 12033486.0)	(37.0, 291479.0)		
Cross-gam-2_R1_001	(13.0, 2.0)	(14.0, 9.0)	(15.0, 30.0)	(16.0, 118.0)	(17.0, 330.0)	(18.0, 815.0)	(19.0, 1245.0)	(20.0, 1687.0)	(21.0, 2303.0)	(22.0, 3644.0)	(23.0, 6534.0)	(24.0, 12061.0)	(25.0, 22058.0)	(26.0, 38415.0)	(27.0, 62587.0)	(28.0, 95741.0)	(29.0, 135907.0)	(30.0, 180247.0)	(31.0, 235188.0)	(32.0, 308199.0)	(33.0, 437150.0)	(34.0, 759152.0)	(35.0, 1953629.0)	(36.0, 16814613.0)	(37.0, 1576533.0)				
Cross-gam-2_R2_001	(11.0, 19.0)	(12.0, 286.0)	(13.0, 965.0)	(14.0, 1312.0)	(15.0, 1532.0)	(16.0, 2021.0)	(17.0, 2922.0)	(18.0, 4660.0)	(19.0, 7364.0)	(20.0, 11164.0)	(21.0, 16618.0)	(22.0, 24108.0)	(23.0, 33756.0)	(24.0, 45014.0)	(25.0, 58168.0)	(26.0, 75996.0)	(27.0, 99689.0)	(28.0, 130610.0)	(29.0, 174656.0)	(30.0, 236823.0)	(31.0, 335330.0)	(32.0, 504918.0)	(33.0, 837197.0)	(34.0, 1699632.0)	(35.0, 4908356.0)	(36.0, 13060148.0)	(37.0, 374933.0)		
Cross-gam-3_R1_001	(14.0, 6.0)	(15.0, 46.0)	(16.0, 96.0)	(17.0, 286.0)	(18.0, 626.0)	(19.0, 948.0)	(20.0, 1320.0)	(21.0, 1869.0)	(22.0, 3075.0)	(23.0, 5411.0)	(24.0, 10198.0)	(25.0, 18691.0)	(26.0, 32467.0)	(27.0, 53284.0)	(28.0, 81640.0)	(29.0, 116708.0)	(30.0, 156292.0)	(31.0, 205404.0)	(32.0, 275897.0)	(33.0, 414395.0)	(34.0, 677422.0)	(35.0, 1736893.0)	(36.0, 14592871.0)	(37.0, 1314864.0)					
Cross-gam-3_R2_001	(11.0, 22.0)	(12.0, 297.0)	(13.0, 1027.0)	(14.0, 1301.0)	(15.0, 1479.0)	(16.0, 2182.0)	(17.0, 3356.0)	(18.0, 5259.0)	(19.0, 8531.0)	(20.0, 13352.0)	(21.0, 19700.0)	(22.0, 27937.0)	(23.0, 38453.0)	(24.0, 49834.0)	(25.0, 64765.0)	(26.0, 83152.0)	(27.0, 107515.0)	(28.0, 139108.0)	(29.0, 183747.0)	(30.0, 246972.0)	(31.0, 347079.0)	(32.0, 521461.0)	(33.0, 862254.0)	(34.0, 1717696.0)	(35.0, 4701862.0)	(36.0, 10322408.0)	(37.0, 229960.0)		
RESUB-WT-WYS-4_R1_001	(13.0, 2.0)	(14.0, 11.0)	(15.0, 33.0)	(16.0, 93.0)	(17.0, 271.0)	(18.0, 622.0)	(19.0, 981.0)	(20.0, 1278.0)	(21.0, 1857.0)	(22.0, 3249.0)	(23.0, 5744.0)	(24.0, 11245.0)	(25.0, 20778.0)	(26.0, 37364.0)	(27.0, 62686.0)	(28.0, 96871.0)	(29.0, 140461.0)	(30.0, 188971.0)	(31.0, 247327.0)	(32.0, 324962.0)	(33.0, 456664.0)	(34.0, 780377.0)	(35.0, 2110428.0)	(36.0, 18347967.0)	(37.0, 1615107.0)				
RESUB-WT-WYS-4_R2_001	(11.0, 28.0)	(12.0, 352.0)	(13.0, 1220.0)	(14.0, 1669.0)	(15.0, 1821.0)	(16.0, 2184.0)	(17.0, 3214.0)	(18.0, 4853.0)	(19.0, 7307.0)	(20.0, 11016.0)	(21.0, 16395.0)	(22.0, 23545.0)	(23.0, 33506.0)	(24.0, 45386.0)	(25.0, 60869.0)	(26.0, 80604.0)	(27.0, 107929.0)	(28.0, 142254.0)	(29.0, 192258.0)	(30.0, 260475.0)	(31.0, 368626.0)	(32.0, 554567.0)	(33.0, 914574.0)	(34.0, 1839578.0)	(35.0, 5267304.0)	(36.0, 14118017.0)	(37.0, 395798.0)		
RNAi-S5-1_R1_001	(14.0, 10.0)	(15.0, 40.0)	(16.0, 102.0)	(17.0, 264.0)	(18.0, 600.0)	(19.0, 918.0)	(20.0, 1295.0)	(21.0, 1916.0)	(22.0, 3272.0)	(23.0, 6154.0)	(24.0, 11166.0)	(25.0, 20831.0)	(26.0, 36105.0)	(27.0, 57841.0)	(28.0, 87254.0)	(29.0, 123206.0)	(30.0, 163137.0)	(31.0, 211606.0)	(32.0, 275659.0)	(33.0, 386175.0)	(34.0, 661783.0)	(35.0, 1694284.0)	(36.0, 15253176.0)	(37.0, 1563568.0)					
RNAi-S5-1_R2_001	(11.0, 29.0)	(12.0, 353.0)	(13.0, 1064.0)	(14.0, 1471.0)	(15.0, 1647.0)	(16.0, 2391.0)	(17.0, 3549.0)	(18.0, 5708.0)	(19.0, 8888.0)	(20.0, 13847.0)	(21.0, 20102.0)	(22.0, 28705.0)	(23.0, 40121.0)	(24.0, 53209.0)	(25.0, 67811.0)	(26.0, 86589.0)	(27.0, 111944.0)	(28.0, 144931.0)	(29.0, 190908.0)	(30.0, 255765.0)	(31.0, 360506.0)	(32.0, 545541.0)	(33.0, 921877.0)	(34.0, 1915301.0)	(35.0, 5348252.0)	(36.0, 10236623.0)	(37.0, 193230.0)		
RNAi-S5-2_R1_001	(14.0, 8.0)	(15.0, 23.0)	(16.0, 74.0)	(17.0, 232.0)	(18.0, 544.0)	(19.0, 792.0)	(20.0, 1131.0)	(21.0, 1905.0)	(22.0, 3219.0)	(23.0, 6336.0)	(24.0, 11933.0)	(25.0, 22645.0)	(26.0, 41160.0)	(27.0, 70056.0)	(28.0, 106525.0)	(29.0, 153221.0)	(30.0, 206576.0)	(31.0, 270992.0)	(32.0, 364458.0)	(33.0, 558602.0)	(34.0, 886198.0)	(35.0, 2247327.0)	(36.0, 19301957.0)	(37.0, 1786720.0)					
RNAi-S5-2_R2_001	(11.0, 25.0)	(12.0, 326.0)	(13.0, 1118.0)	(14.0, 1482.0)	(15.0, 1553.0)	(16.0, 2002.0)	(17.0, 3109.0)	(18.0, 4609.0)	(19.0, 7181.0)	(20.0, 11043.0)	(21.0, 16721.0)	(22.0, 24250.0)	(23.0, 34776.0)	(24.0, 48241.0)	(25.0, 64659.0)	(26.0, 86121.0)	(27.0, 114347.0)	(28.0, 150765.0)	(29.0, 202276.0)	(30.0, 275574.0)	(31.0, 390276.0)	(32.0, 583294.0)	(33.0, 973044.0)	(34.0, 1984171.0)	(35.0, 5746141.0)	(36.0, 14911367.0)	(37.0, 404163.0)		
RNAi-S5-3_R1_001	(14.0, 4.0)	(15.0, 19.0)	(16.0, 55.0)	(17.0, 182.0)	(18.0, 474.0)	(19.0, 700.0)	(20.0, 1016.0)	(21.0, 1577.0)	(22.0, 2728.0)	(23.0, 5308.0)	(24.0, 10376.0)	(25.0, 20161.0)	(26.0, 36905.0)	(27.0, 61353.0)	(28.0, 94892.0)	(29.0, 135615.0)	(30.0, 181446.0)	(31.0, 236237.0)	(32.0, 310589.0)	(33.0, 434794.0)	(34.0, 747770.0)	(35.0, 2025948.0)	(36.0, 17359733.0)	(37.0, 1534820.0)					
RNAi-S5-3_R2_001	(11.0, 13.0)	(12.0, 269.0)	(13.0, 942.0)	(14.0, 1230.0)	(15.0, 1282.0)	(16.0, 1520.0)	(17.0, 2271.0)	(18.0, 3317.0)	(19.0, 5208.0)	(20.0, 7848.0)	(21.0, 12091.0)	(22.0, 17573.0)	(23.0, 24624.0)	(24.0, 33637.0)	(25.0, 45654.0)	(26.0, 60782.0)	(27.0, 81593.0)	(28.0, 108480.0)	(29.0, 147565.0)	(30.0, 201830.0)	(31.0, 290264.0)	(32.0, 439820.0)	(33.0, 741343.0)	(34.0, 1540428.0)	(35.0, 4653472.0)	(36.0, 14311669.0)	(37.0, 467977.0)		
RNAi-WYS-1_R1_001	(14.0, 10.0)	(15.0, 35.0)	(16.0, 120.0)	(17.0, 296.0)	(18.0, 666.0)	(19.0, 1010.0)	(20.0, 1377.0)	(21.0, 2039.0)	(22.0, 3477.0)	(23.0, 6760.0)	(24.0, 13057.0)	(25.0, 24267.0)	(26.0, 40638.0)	(27.0, 65228.0)	(28.0, 97535.0)	(29.0, 137332.0)	(30.0, 184549.0)	(31.0, 242061.0)	(32.0, 361073.0)	(33.0, 507889.0)	(34.0, 784649.0)	(35.0, 1996439.0)	(36.0, 16934631.0)	(37.0, 1521324.0)					
RNAi-WYS-1_R2_001	(11.0, 34.0)	(12.0, 279.0)	(13.0, 983.0)	(14.0, 1414.0)	(15.0, 1664.0)	(16.0, 2181.0)	(17.0, 3114.0)	(18.0, 4827.0)	(19.0, 7721.0)	(20.0, 11690.0)	(21.0, 17581.0)	(22.0, 26503.0)	(23.0, 37062.0)	(24.0, 49252.0)	(25.0, 63093.0)	(26.0, 81506.0)	(27.0, 105427.0)	(28.0, 138702.0)	(29.0, 185534.0)	(30.0, 250977.0)	(31.0, 355752.0)	(32.0, 537589.0)	(33.0, 898711.0)	(34.0, 1837655.0)	(35.0, 5289953.0)	(36.0, 12706614.0)	(37.0, 310644.0)		
RNAi-WYS-2_R1_001	(14.0, 7.0)	(15.0, 38.0)	(16.0, 86.0)	(17.0, 257.0)	(18.0, 608.0)	(19.0, 935.0)	(20.0, 1283.0)	(21.0, 2005.0)	(22.0, 3538.0)	(23.0, 6561.0)	(24.0, 12321.0)	(25.0, 22754.0)	(26.0, 39863.0)	(27.0, 65216.0)	(28.0, 99363.0)	(29.0, 141721.0)	(30.0, 190434.0)	(31.0, 249866.0)	(32.0, 330744.0)	(33.0, 469944.0)	(34.0, 815285.0)	(35.0, 2147489.0)	(36.0, 17647200.0)	(37.0, 1493975.0)					
RNAi-WYS-2_R2_001	(11.0, 24.0)	(12.0, 312.0)	(13.0, 1075.0)	(14.0, 1522.0)	(15.0, 1738.0)	(16.0, 2260.0)	(17.0, 3343.0)	(18.0, 5397.0)	(19.0, 8335.0)	(20.0, 12985.0)	(21.0, 19274.0)	(22.0, 27947.0)	(23.0, 39347.0)	(24.0, 52684.0)	(25.0, 68241.0)	(26.0, 88935.0)	(27.0, 115934.0)	(28.0, 152214.0)	(29.0, 204206.0)	(30.0, 277678.0)	(31.0, 395067.0)	(32.0, 601756.0)	(33.0, 1019113.0)	(34.0, 2096785.0)	(35.0, 5841589.0)	(36.0, 12440087.0)	(37.0, 263645.0)		
RNAi-WYS-3_R1_001	(13.0, 1.0)	(14.0, 8.0)	(15.0, 39.0)	(16.0, 134.0)	(17.0, 353.0)	(18.0, 782.0)	(19.0, 1223.0)	(20.0, 1657.0)	(21.0, 2528.0)	(22.0, 4213.0)	(23.0, 7967.0)	(24.0, 14699.0)	(25.0, 28024.0)	(26.0, 49751.0)	(27.0, 82781.0)	(28.0, 125009.0)	(29.0, 179319.0)	(30.0, 236783.0)	(31.0, 306777.0)	(32.0, 400273.0)	(33.0, 556404.0)	(34.0, 948131.0)	(35.0, 2465196.0)	(36.0, 22311551.0)	(37.0, 2115240.0)				
RNAi-WYS-3_R2_001	(11.0, 24.0)	(12.0, 310.0)	(13.0, 952.0)	(14.0, 1446.0)	(15.0, 1651.0)	(16.0, 2177.0)	(17.0, 3041.0)	(18.0, 4512.0)	(19.0, 6783.0)	(20.0, 10196.0)	(21.0, 15576.0)	(22.0, 22384.0)	(23.0, 32288.0)	(24.0, 44013.0)	(25.0, 59467.0)	(26.0, 78393.0)	(27.0, 104971.0)	(28.0, 140249.0)	(29.0, 189983.0)	(30.0, 257617.0)	(31.0, 366472.0)	(32.0, 553855.0)	(33.0, 934392.0)	(34.0, 1965333.0)	(35.0, 6099111.0)	(36.0, 18368140.0)	(37.0, 575507.0)		
RNAi-gam-1_R1_001	(13.0, 1.0)	(14.0, 7.0)	(15.0, 32.0)	(16.0, 100.0)	(17.0, 259.0)	(18.0, 666.0)	(19.0, 987.0)	(20.0, 1332.0)	(21.0, 1950.0)	(22.0, 3154.0)	(23.0, 5740.0)	(24.0, 11174.0)	(25.0, 20504.0)	(26.0, 35520.0)	(27.0, 58150.0)	(28.0, 88890.0)	(29.0, 127221.0)	(30.0, 170566.0)	(31.0, 224713.0)	(32.0, 294519.0)	(33.0, 412397.0)	(34.0, 701367.0)	(35.0, 1904777.0)	(36.0, 16123570.0)	(37.0, 1391704.0)				
RNAi-gam-1_R2_001	(11.0, 18.0)	(12.0, 199.0)	(13.0, 769.0)	(14.0, 1109.0)	(15.0, 1341.0)	(16.0, 1797.0)	(17.0, 2626.0)	(18.0, 3992.0)	(19.0, 6098.0)	(20.0, 9197.0)	(21.0, 13847.0)	(22.0, 20385.0)	(23.0, 29264.0)	(24.0, 39729.0)	(25.0, 52300.0)	(26.0, 68851.0)	(27.0, 91730.0)	(28.0, 121013.0)	(29.0, 162141.0)	(30.0, 220742.0)	(31.0, 315874.0)	(32.0, 481178.0)	(33.0, 823891.0)	(34.0, 1724161.0)	(35.0, 5077033.0)	(36.0, 12027039.0)	(37.0, 282976.0)		
RNAi-gam-2_R1_001	(13.0, 2.0)	(14.0, 13.0)	(15.0, 39.0)	(16.0, 126.0)	(17.0, 412.0)	(18.0, 1021.0)	(19.0, 1649.0)	(20.0, 2020.0)	(21.0, 2616.0)	(22.0, 4056.0)	(23.0, 6895.0)	(24.0, 12433.0)	(25.0, 22673.0)	(26.0, 38769.0)	(27.0, 63797.0)	(28.0, 99658.0)	(29.0, 143782.0)	(30.0, 195400.0)	(31.0, 259109.0)	(32.0, 344935.0)	(33.0, 498209.0)	(34.0, 870386.0)	(35.0, 2288728.0)	(36.0, 18267252.0)	(37.0, 1524328.0)				
RNAi-gam-2_R2_001	(11.0, 14.0)	(12.0, 249.0)	(13.0, 936.0)	(14.0, 1394.0)	(15.0, 1725.0)	(16.0, 2294.0)	(17.0, 3365.0)	(18.0, 5361.0)	(19.0, 8246.0)	(20.0, 12982.0)	(21.0, 19199.0)	(22.0, 27991.0)	(23.0, 38759.0)	(24.0, 51943.0)	(25.0, 68451.0)	(26.0, 88475.0)	(27.0, 115671.0)	(28.0, 152434.0)	(29.0, 203693.0)	(30.0, 276662.0)	(31.0, 393780.0)	(32.0, 596015.0)	(33.0, 993527.0)	(34.0, 2008005.0)	(35.0, 5672711.0)	(36.0, 13569952.0)	(37.0, 334474.0)		
RNAi-gam-3_R1_001	(13.0, 1.0)	(14.0, 16.0)	(15.0, 46.0)	(16.0, 154.0)	(17.0, 530.0)	(18.0, 1368.0)	(19.0, 2043.0)	(20.0, 2564.0)	(21.0, 3178.0)	(22.0, 4847.0)	(23.0, 8175.0)	(24.0, 14678.0)	(25.0, 26644.0)	(26.0, 46361.0)	(27.0, 76550.0)	(28.0, 117354.0)	(29.0, 167691.0)	(30.0, 225586.0)	(31.0, 294924.0)	(32.0, 392082.0)	(33.0, 584956.0)	(34.0, 984691.0)	(35.0, 2517440.0)	(36.0, 20783382.0)	(37.0, 1801286.0)				
RNAi-gam-3_R2_001	(11.0, 28.0)	(12.0, 358.0)	(13.0, 1200.0)	(14.0, 1855.0)	(15.0, 2177.0)	(16.0, 2898.0)	(17.0, 4250.0)	(18.0, 6629.0)	(19.0, 10247.0)	(20.0, 15302.0)	(21.0, 22378.0)	(22.0, 31996.0)	(23.0, 45327.0)	(24.0, 60279.0)	(25.0, 78953.0)	(26.0, 102942.0)	(27.0, 134461.0)	(28.0, 175897.0)	(29.0, 234889.0)	(30.0, 316859.0)	(31.0, 449386.0)	(32.0, 675617.0)	(33.0, 1120308.0)	(34.0, 2266743.0)	(35.0, 6398885.0)	(36.0, 15505706.0)	(37.0, 390977.0)		
WT-S5-1_R1_001	(13.0, 1.0)	(14.0, 7.0)	(15.0, 28.0)	(16.0, 98.0)	(17.0, 234.0)	(18.0, 665.0)	(19.0, 976.0)	(20.0, 1299.0)	(21.0, 1989.0)	(22.0, 3072.0)	(23.0, 5550.0)	(24.0, 10602.0)	(25.0, 19975.0)	(26.0, 36074.0)	(27.0, 60891.0)	(28.0, 94236.0)	(29.0, 135304.0)	(30.0, 182506.0)	(31.0, 239562.0)	(32.0, 324422.0)	(33.0, 500836.0)	(34.0, 809947.0)	(35.0, 2019146.0)	(36.0, 17300935.0)	(37.0, 1594349.0)				
WT-S5-1_R2_001	(11.0, 21.0)	(12.0, 313.0)	(13.0, 1189.0)	(14.0, 1582.0)	(15.0, 1670.0)	(16.0, 2085.0)	(17.0, 3093.0)	(18.0, 4849.0)	(19.0, 7550.0)	(20.0, 11726.0)	(21.0, 17483.0)	(22.0, 25094.0)	(23.0, 35147.0)	(24.0, 47578.0)	(25.0, 63086.0)	(26.0, 82999.0)	(27.0, 109725.0)	(28.0, 144157.0)	(29.0, 193054.0)	(30.0, 259956.0)	(31.0, 366001.0)	(32.0, 551199.0)	(33.0, 916488.0)	(34.0, 1860086.0)	(35.0, 5299712.0)	(36.0, 13002857.0)	(37.0, 334004.0)		
WT-S5-2_R1_001	(13.0, 2.0)	(14.0, 5.0)	(15.0, 32.0)	(16.0, 114.0)	(17.0, 288.0)	(18.0, 667.0)	(19.0, 1055.0)	(20.0, 1446.0)	(21.0, 2132.0)	(22.0, 3437.0)	(23.0, 6480.0)	(24.0, 12402.0)	(25.0, 23195.0)	(26.0, 40940.0)	(27.0, 67195.0)	(28.0, 102622.0)	(29.0, 146603.0)	(30.0, 196811.0)	(31.0, 256485.0)	(32.0, 336650.0)	(33.0, 473322.0)	(34.0, 811990.0)	(35.0, 2159351.0)	(36.0, 19209452.0)	(37.0, 1799694.0)				
