Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
BA14-gam_R1_001	(14.0, 7.0)	(15.0, 41.0)	(16.0, 126.0)	(17.0, 392.0)	(18.0, 983.0)	(19.0, 1452.0)	(20.0, 1740.0)	(21.0, 2421.0)	(22.0, 4016.0)	(23.0, 7002.0)	(24.0, 13700.0)	(25.0, 25384.0)	(26.0, 44447.0)	(27.0, 73495.0)	(28.0, 113021.0)	(29.0, 160609.0)	(30.0, 216308.0)	(31.0, 282950.0)	(32.0, 375000.0)	(33.0, 531205.0)	(34.0, 922638.0)	(35.0, 2536797.0)	(36.0, 19822402.0)	(37.0, 1594580.0)					
BA14-gam_R2_001	(11.0, 37.0)	(12.0, 359.0)	(13.0, 1249.0)	(14.0, 1760.0)	(15.0, 1911.0)	(16.0, 2231.0)	(17.0, 3239.0)	(18.0, 4886.0)	(19.0, 7715.0)	(20.0, 12017.0)	(21.0, 18064.0)	(22.0, 26456.0)	(23.0, 36514.0)	(24.0, 49231.0)	(25.0, 64410.0)	(26.0, 84023.0)	(27.0, 111594.0)	(28.0, 147868.0)	(29.0, 198770.0)	(30.0, 270314.0)	(31.0, 385002.0)	(32.0, 584417.0)	(33.0, 987004.0)	(34.0, 2058180.0)	(35.0, 6101541.0)	(36.0, 15191862.0)	(37.0, 380062.0)		
BA19-S5_R1_001	(14.0, 11.0)	(15.0, 54.0)	(16.0, 139.0)	(17.0, 368.0)	(18.0, 964.0)	(19.0, 1511.0)	(20.0, 1951.0)	(21.0, 2791.0)	(22.0, 4247.0)	(23.0, 7583.0)	(24.0, 14092.0)	(25.0, 26466.0)	(26.0, 47209.0)	(27.0, 78462.0)	(28.0, 120377.0)	(29.0, 170813.0)	(30.0, 229311.0)	(31.0, 298692.0)	(32.0, 395880.0)	(33.0, 561499.0)	(34.0, 970775.0)	(35.0, 2664766.0)	(36.0, 21397028.0)	(37.0, 1702062.0)					
BA19-S5_R2_001	(11.0, 31.0)	(12.0, 355.0)	(13.0, 1226.0)	(14.0, 1707.0)	(15.0, 1968.0)	(16.0, 2655.0)	(17.0, 3894.0)	(18.0, 6122.0)	(19.0, 9516.0)	(20.0, 14854.0)	(21.0, 22056.0)	(22.0, 32046.0)	(23.0, 45249.0)	(24.0, 61274.0)	(25.0, 80881.0)	(26.0, 104938.0)	(27.0, 137480.0)	(28.0, 179773.0)	(29.0, 241171.0)	(30.0, 325158.0)	(31.0, 459136.0)	(32.0, 686390.0)	(33.0, 1127367.0)	(34.0, 2219661.0)	(35.0, 6166667.0)	(36.0, 16303700.0)	(37.0, 461776.0)		
BA19-WYS_R1_001	(14.0, 5.0)	(15.0, 23.0)	(16.0, 93.0)	(17.0, 200.0)	(18.0, 503.0)	(19.0, 810.0)	(20.0, 1171.0)	(21.0, 1929.0)	(22.0, 3158.0)	(23.0, 6131.0)	(24.0, 11870.0)	(25.0, 22198.0)	(26.0, 39507.0)	(27.0, 64862.0)	(28.0, 99254.0)	(29.0, 141069.0)	(30.0, 189059.0)	(31.0, 246343.0)	(32.0, 325871.0)	(33.0, 465567.0)	(34.0, 819289.0)	(35.0, 2154370.0)	(36.0, 17170925.0)	(37.0, 1364322.0)					
BA19-WYS_R2_001	(11.0, 19.0)	(12.0, 342.0)	(13.0, 1136.0)	(14.0, 1514.0)	(15.0, 1527.0)	(16.0, 1990.0)	(17.0, 2783.0)	(18.0, 4327.0)	(19.0, 6658.0)	(20.0, 10157.0)	(21.0, 15280.0)	(22.0, 22390.0)	(23.0, 32380.0)	(24.0, 43495.0)	(25.0, 57202.0)	(26.0, 75775.0)	(27.0, 100522.0)	(28.0, 131822.0)	(29.0, 178118.0)	(30.0, 244003.0)	(31.0, 347641.0)	(32.0, 530444.0)	(33.0, 902431.0)	(34.0, 1893078.0)	(35.0, 5532700.0)	(36.0, 12699239.0)	(37.0, 291556.0)		
BA19-gam_R1_001	(16.0, 3.0)	(17.0, 122.0)	(18.0, 1296.0)	(19.0, 5512.0)	(20.0, 13150.0)	(21.0, 19607.0)	(22.0, 23356.0)	(23.0, 24453.0)	(24.0, 28458.0)	(25.0, 32517.0)	(26.0, 39283.0)	(27.0, 45436.0)	(28.0, 57197.0)	(29.0, 69780.0)	(30.0, 96776.0)	(31.0, 133766.0)	(32.0, 177510.0)	(33.0, 224560.0)	(34.0, 234894.0)	(35.0, 334742.0)	(36.0, 587972.0)	(37.0, 1077730.0)	(38.0, 2847231.0)	(39.0, 16130298.0)	(40.0, 5578115.0)				
BA19-gam_R2_001	(12.0, 1.0)	(13.0, 5.0)	(14.0, 89.0)	(15.0, 769.0)	(16.0, 4980.0)	(17.0, 17846.0)	(18.0, 39403.0)	(19.0, 53897.0)	(20.0, 62825.0)	(21.0, 62507.0)	(22.0, 60027.0)	(23.0, 57221.0)	(24.0, 60723.0)	(25.0, 63310.0)	(26.0, 69917.0)	(27.0, 74441.0)	(28.0, 84314.0)	(29.0, 92980.0)	(30.0, 110834.0)	(31.0, 129650.0)	(32.0, 166034.0)	(33.0, 211216.0)	(34.0, 300488.0)	(35.0, 435939.0)	(36.0, 740709.0)	(37.0, 1315327.0)	(38.0, 3190310.0)	(39.0, 14937864.0)	(40.0, 5440138.0)
BD5-S5_R1_001	(14.0, 11.0)	(15.0, 39.0)	(16.0, 87.0)	(17.0, 281.0)	(18.0, 640.0)	(19.0, 935.0)	(20.0, 1255.0)	(21.0, 1825.0)	(22.0, 3036.0)	(23.0, 5410.0)	(24.0, 10115.0)	(25.0, 18713.0)	(26.0, 32741.0)	(27.0, 53918.0)	(28.0, 82026.0)	(29.0, 115889.0)	(30.0, 153865.0)	(31.0, 200322.0)	(32.0, 262282.0)	(33.0, 367604.0)	(34.0, 632598.0)	(35.0, 1653424.0)	(36.0, 14352990.0)	(37.0, 1384352.0)					
BD5-S5_R2_001	(11.0, 25.0)	(12.0, 249.0)	(13.0, 838.0)	(14.0, 1160.0)	(15.0, 1270.0)	(16.0, 1548.0)	(17.0, 2230.0)	(18.0, 3222.0)	(19.0, 4720.0)	(20.0, 7469.0)	(21.0, 11050.0)	(22.0, 16031.0)	(23.0, 22308.0)	(24.0, 29728.0)	(25.0, 39264.0)	(26.0, 51953.0)	(27.0, 69455.0)	(28.0, 91569.0)	(29.0, 123980.0)	(30.0, 169236.0)	(31.0, 241198.0)	(32.0, 366497.0)	(33.0, 617214.0)	(34.0, 1281675.0)	(35.0, 3906825.0)	(36.0, 11886586.0)	(37.0, 387058.0)		
BD5-WYS_R1_001	(13.0, 2.0)	(14.0, 13.0)	(15.0, 50.0)	(16.0, 113.0)	(17.0, 264.0)	(18.0, 577.0)	(19.0, 915.0)	(20.0, 1351.0)	(21.0, 2024.0)	(22.0, 3500.0)	(23.0, 6347.0)	(24.0, 12132.0)	(25.0, 22605.0)	(26.0, 39864.0)	(27.0, 65179.0)	(28.0, 99349.0)	(29.0, 141839.0)	(30.0, 187600.0)	(31.0, 244997.0)	(32.0, 330526.0)	(33.0, 506698.0)	(34.0, 789347.0)	(35.0, 1943820.0)	(36.0, 17162367.0)	(37.0, 1677711.0)				
BD5-WYS_R2_001	(11.0, 24.0)	(12.0, 271.0)	(13.0, 946.0)	(14.0, 1323.0)	(15.0, 1530.0)	(16.0, 2077.0)	(17.0, 2902.0)	(18.0, 4375.0)	(19.0, 6912.0)	(20.0, 10311.0)	(21.0, 15171.0)	(22.0, 22599.0)	(23.0, 31762.0)	(24.0, 42559.0)	(25.0, 56163.0)	(26.0, 73663.0)	(27.0, 96692.0)	(28.0, 127971.0)	(29.0, 171457.0)	(30.0, 233428.0)	(31.0, 329888.0)	(32.0, 496587.0)	(33.0, 834820.0)	(34.0, 1734688.0)	(35.0, 5195803.0)	(36.0, 13385973.0)	(37.0, 359295.0)		
BD5-gam_R1_001	(16.0, 4.0)	(17.0, 161.0)	(18.0, 1689.0)	(19.0, 6909.0)	(20.0, 15406.0)	(21.0, 22296.0)	(22.0, 26176.0)	(23.0, 27533.0)	(24.0, 31343.0)	(25.0, 35593.0)	(26.0, 42933.0)	(27.0, 50385.0)	(28.0, 63898.0)	(29.0, 79438.0)	(30.0, 107507.0)	(31.0, 153818.0)	(32.0, 199617.0)	(33.0, 246566.0)	(34.0, 274167.0)	(35.0, 355430.0)	(36.0, 608616.0)	(37.0, 1113205.0)	(38.0, 3001375.0)	(39.0, 17329457.0)	(40.0, 5547363.0)				
BD5-gam_R2_001	(13.0, 5.0)	(14.0, 96.0)	(15.0, 967.0)	(16.0, 6132.0)	(17.0, 21760.0)	(18.0, 46105.0)	(19.0, 62524.0)	(20.0, 70970.0)	(21.0, 69019.0)	(22.0, 65695.0)	(23.0, 61523.0)	(24.0, 65020.0)	(25.0, 67564.0)	(26.0, 75136.0)	(27.0, 81093.0)	(28.0, 92278.0)	(29.0, 102003.0)	(30.0, 123609.0)	(31.0, 145853.0)	(32.0, 186305.0)	(33.0, 232190.0)	(34.0, 324800.0)	(35.0, 467369.0)	(36.0, 788038.0)	(37.0, 1373463.0)	(38.0, 3309223.0)	(39.0, 15893836.0)	(40.0, 5608309.0)	
BF16-S5_R1_001	(16.0, 1.0)	(17.0, 114.0)	(18.0, 1279.0)	(19.0, 5502.0)	(20.0, 13457.0)	(21.0, 20195.0)	(22.0, 24011.0)	(23.0, 25736.0)	(24.0, 29225.0)	(25.0, 33992.0)	(26.0, 41095.0)	(27.0, 48106.0)	(28.0, 60102.0)	(29.0, 71342.0)	(30.0, 95315.0)	(31.0, 126509.0)	(32.0, 164476.0)	(33.0, 216515.0)	(34.0, 254804.0)	(35.0, 365962.0)	(36.0, 640451.0)	(37.0, 1185348.0)	(38.0, 3172470.0)	(39.0, 18859789.0)	(40.0, 6642152.0)				
