Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA14-gam_R1_001	(1, 36.26451977567679)	(2, 36.19644898400776)	(3, 36.36227626674871)	(4, 36.42981871491957)	(5, 36.453778492128684)	(6, 36.44905733164798)	(7, 36.41378023693791)	(8, 36.43754054324621)	(9, 36.45410620501149)	(10, 36.46245818480882)	(15, 36.44115893491218)	(20, 36.42145005019694)	(25, 36.375306332984124)	(30, 36.347691367489)	(35, 36.328363460223066)	(40, 36.30902395581173)	(45, 36.293759508723966)	(50, 36.27147901313231)	(55, 36.237673670993324)	(60, 36.22350291701876)	(65, 36.196624153277455)	(70, 36.17077767763497)	(75, 36.14732150833521)	(80, 36.13743422361002)	(85, 36.1180855761589)	(90, 36.080264359548025)	(95, 36.0531351348763)	(100, 36.02286497675558)	(105, 35.96142447512442)	(110, 35.95200578241152)	(115, 35.866861561059565)	(120, 35.8806783851207)	(125, 35.82182813958294)	(130, 35.731344742131114)	(135, 35.703506804681176)	(140, 35.603284790426116)	(145, 35.535071877610754)	(150, 35.43276910352869)
BA14-gam_R2_001	(1, 35.868873658303805)	(2, 36.102940228013345)	(3, 36.186241812602404)	(4, 36.19706621401387)	(5, 36.17368805235146)	(6, 36.12288997421543)	(7, 36.0754854078731)	(8, 36.085435608982564)	(9, 36.102626244654275)	(10, 36.130509972123455)	(15, 36.09432904079337)	(20, 36.066822138247254)	(25, 36.02175284792222)	(30, 35.98989764434293)	(35, 35.95297739873485)	(40, 35.91564563403389)	(45, 35.87083201213166)	(50, 35.83920793591911)	(55, 35.77785412107929)	(60, 35.72295200023823)	(65, 35.70441563181473)	(70, 35.6573309072604)	(75, 35.609933920213734)	(80, 35.566603475941314)	(85, 35.49756293845627)	(90, 35.46351006834236)	(95, 35.393159345226664)	(100, 35.31925997792202)	(105, 35.26175855521415)	(110, 35.22844584484754)	(115, 35.1238594282323)	(120, 35.022769304047074)	(125, 34.923078663512044)	(130, 34.82895493708436)	(135, 34.775733265057326)	(140, 34.68712174413884)	(145, 34.45493893990719)	(150, 34.314447020424)
BA19-S5_R1_001	(1, 36.27161205518992)	(2, 36.20222631935247)	(3, 36.36397158021568)	(4, 36.43297929811673)	(5, 36.45613456936742)	(6, 36.4524077055862)	(7, 36.417441813097795)	(8, 36.44476984760559)	(9, 36.45914853759712)	(10, 36.46534893777064)	(15, 36.44834540664126)	(20, 36.42647515941621)	(25, 36.38204310261706)	(30, 36.354155547202396)	(35, 36.3349456360516)	(40, 36.31609537858088)	(45, 36.296642348372316)	(50, 36.2787210225887)	(55, 36.24685881486569)	(60, 36.2274161829381)	(65, 36.199549368330565)	(70, 36.17306356670586)	(75, 36.14794509721574)	(80, 36.13850660822256)	(85, 36.12081428157897)	(90, 36.0807046758916)	(95, 36.055154789249954)	(100, 36.02736344581191)	(105, 35.96462016950801)	(110, 35.95989240148752)	(115, 35.876208499612034)	(120, 35.891837513199526)	(125, 35.83988257887544)	(130, 35.75228005832376)	(135, 35.73218915769429)	(140, 35.63629959747432)	(145, 35.57623362066018)	(150, 35.48431729099969)
BA19-S5_R2_001	(1, 35.81701743499707)	(2, 36.02809386232752)	(3, 36.134352829494574)	(4, 36.11775750058778)	(5, 36.11452838830025)	(6, 36.06668350695686)	(7, 36.01920810608728)	(8, 36.03108378627476)	(9, 36.04251638957606)	(10, 36.077826847086136)	(15, 36.03966742087889)	(20, 36.016056500021556)	(25, 35.97456032677364)	(30, 35.93779928815682)	(35, 35.902842462802184)	(40, 35.86469937973766)	(45, 35.81921929887499)	(50, 35.7916592474955)	(55, 35.72715738631123)	(60, 35.66452165415882)	(65, 35.6483184770449)	(70, 35.59962091575194)	(75, 35.551625510231)	(80, 35.510397176350985)	(85, 35.44161921028052)	(90, 35.402384342558406)	(95, 35.33652613991592)	(100, 35.26899569575981)	(105, 35.2069499893909)	(110, 35.178553559388384)	(115, 35.07237674700442)	(120, 34.96915919339587)	(125, 34.878802682547416)	(130, 34.78444216445795)	(135, 34.7371118307592)	(140, 34.65245611474154)	(145, 34.42590962395404)	(150, 34.29029540352422)
BA19-WYS_R1_001	(1, 36.26694321977848)	(2, 36.19992499306809)	(3, 36.36052020428969)	(4, 36.42865281229083)	(5, 36.4506801535022)	(6, 36.44536844517868)	(7, 36.41050777591606)	(8, 36.43871726559004)	(9, 36.45237831597505)	(10, 36.45868272037535)	(15, 36.4403320851058)	(20, 36.4191691827872)	(25, 36.37272280480959)	(30, 36.34396237650911)	(35, 36.3266885412384)	(40, 36.308111605368424)	(45, 36.28847074537252)	(50, 36.27117547337316)	(55, 36.24123433012103)	(60, 36.224034714875295)	(65, 36.19680268468436)	(70, 36.17188065008371)	(75, 36.149578816707276)	(80, 36.143504111307735)	(85, 36.1269253483436)	(90, 36.085412937415946)	(95, 36.05750312092913)	(100, 36.026913263701296)	(105, 35.964246459426796)	(110, 35.955578489232934)	(115, 35.868151658066964)	(120, 35.87850856403362)	(125, 35.819431732990886)	(130, 35.72198339980896)	(135, 35.688020098467995)	(140, 35.57636689302636)	(145, 35.49816025913278)	(150, 35.3935201412939)
BA19-WYS_R2_001	(1, 35.950919187294616)	(2, 36.06931673000042)	(3, 36.15520641195988)	(4, 36.14784264922339)	(5, 36.140226514189465)	(6, 36.088312144710976)	(7, 36.040565052796914)	(8, 36.05102304603981)	(9, 36.06285799671912)	(10, 36.096227321677055)	(15, 36.057140763253905)	(20, 36.03202939538437)	(25, 35.987913619582116)	(30, 35.95317832794295)	(35, 35.91638709059275)	(40, 35.87896982121085)	(45, 35.83172270056604)	(50, 35.80431374602336)	(55, 35.74023343205268)	(60, 35.67771944337661)	(65, 35.66160039836516)	(70, 35.612339297497044)	(75, 35.564857159744136)	(80, 35.521308856261456)	(85, 35.45344310483385)	(90, 35.41222526516926)	(95, 35.343168551705126)	(100, 35.26758012150275)	(105, 35.204064106281905)	(110, 35.16977489575753)	(115, 35.06281128384775)	(120, 34.95032316149462)	(125, 34.85717366634082)	(130, 34.754855935714716)	(135, 34.7021628396687)	(140, 34.60849070859629)	(145, 34.37242288084988)	(150, 34.2262878888666)
BA19-gam_R1_001	(1, 37.79687187092433)	(2, 38.12913189156084)	(3, 38.83808313373235)	(4, 38.82233299994918)	(5, 38.86230080272781)	(6, 38.805110207529836)	(7, 38.868220303051814)	(8, 38.86530248385352)	(9, 38.919056179717046)	(10, 38.96070247357413)	(15, 39.33760913028199)	(20, 39.464896117027195)	(25, 39.27124330598259)	(30, 39.19082894599882)	(35, 39.2978017953219)	(40, 39.24719600987108)	(45, 39.11919483623601)	(50, 39.043421157766815)	(55, 39.073591152012376)	(60, 39.113248053791416)	(65, 39.09423657644083)	(70, 39.00632436987299)	(75, 38.872102887139405)	(80, 38.71962703109629)	(85, 38.86219772094235)	(90, 38.84050243156399)	(95, 38.63369006445635)	(100, 39.0656356856472)	(105, 39.10565468379302)	(110, 39.11987572310217)	(115, 39.1220270226885)	(120, 39.111415688673425)	(125, 39.083386527469784)	(130, 39.04274775728731)	(135, 38.99264415001509)	(140, 38.90701071316327)	(145, 38.77968712950484)	(150, 38.6904403593408)
BA19-gam_R2_001	(1, 37.36706466409663)	(2, 38.478049266470876)	(3, 38.70913177926504)	(4, 38.80838622153571)	(5, 38.9075015897774)	(6, 38.864661318027316)	(7, 38.900446102263174)	(8, 38.897226884017584)	(9, 38.985025427080366)	(10, 39.02993921198006)	(15, 39.13419323602086)	(20, 39.19404073544534)	(25, 38.86883073150204)	(30, 38.826012026304284)	(35, 38.84990341841372)	(40, 38.89476053712521)	(45, 38.884475206455114)	(50, 38.85515899141671)	(55, 38.85186394471246)	(60, 38.863782876934884)	(65, 38.83693948739271)	(70, 38.77500224951522)	(75, 38.69038526241441)	(80, 38.832904353780144)	(85, 38.694865908017356)	(90, 38.625708050212346)	(95, 38.61842097420637)	(100, 38.58342207340949)	(105, 38.70262901743622)	(110, 38.66458353159061)	(115, 38.60923022524954)	(120, 38.548676558007045)	(125, 38.46145433714453)	(130, 38.331127949402386)	(135, 38.20248445818932)	(140, 37.99351539265882)	(145, 37.78405893456336)	(150, 37.64457306792557)
BD5-S5_R1_001	(1, 36.306344953372644)	(2, 36.245330773331084)	(3, 36.39906957345054)	(4, 36.45453197877064)	(5, 36.47860953024662)	(6, 36.46982547855998)	(7, 36.43349409377855)	(8, 36.474195626252495)	(9, 36.4821785135043)	(10, 36.48817891962071)	(15, 36.471122009843825)	(20, 36.45036387554218)	(25, 36.4062816877602)	(30, 36.37854923344235)	(35, 36.36111239897389)	(40, 36.34271200522924)	(45, 36.3236277822103)	(50, 36.306816766297594)	(55, 36.2765005902963)	(60, 36.25825106786582)	(65, 36.232174598194575)	(70, 36.205974690237966)	(75, 36.183358785432645)	(80, 36.176658237113436)	(85, 36.158309409601294)	(90, 36.119931564316744)	(95, 36.09083513401376)	(100, 36.065433287208194)	(105, 36.003353253312056)	(110, 35.99545015148679)	(115, 35.911669795293946)	(120, 35.921076376055524)	(125, 35.86538261058371)	(130, 35.77232155316458)	(135, 35.74203323430755)	(140, 35.638710362143904)	(145, 35.56786219640704)	(150, 35.47112616824412)
BD5-S5_R2_001	(1, 36.08754110170092)	(2, 36.22249763865963)	(3, 36.280761947203004)	(4, 36.26917945762668)	(5, 36.27404809614056)	(6, 36.222419797957606)	(7, 36.18710799706926)	(8, 36.204570588793274)	(9, 36.21848214458427)	(10, 36.23059711628387)	(15, 36.20157817497741)	(20, 36.17629857686508)	(25, 36.13700110445871)	(30, 36.106945966346544)	(35, 36.077416048673555)	(40, 36.04294610661496)	(45, 36.00457886421675)	(50, 35.978907817885656)	(55, 35.92727438894015)	(60, 35.8682871911237)	(65, 35.85513703635776)	(70, 35.80761723766572)	(75, 35.76648586935237)	(80, 35.72818855428248)	(85, 35.666019714748224)	(90, 35.62871735384231)	(95, 35.56145971849699)	(100, 35.49625076767483)	(105, 35.43133368069424)	(110, 35.40392262313546)	(115, 35.29408114818191)	(120, 35.19244064892147)	(125, 35.09721928186082)	(130, 35.002367515900964)	(135, 34.94651677599018)	(140, 34.85256280037848)	(145, 34.62539481269562)	(150, 34.488698202443544)
