Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BA19-S5_R1_001	(1.0, 25.348934098650172)	(2.0, 16.190933900663733)	(3.0, 10.941626298760621)	(4.0, 7.474903473218298)	(5.0, 5.340259213046243)	(6.0, 3.627576101048103)	(7.0, 2.739226133860751)	(8.0, 2.074155989648179)	(9.0, 1.6371923712336385)	('>10', 13.13483702320924)	('>50', 3.0446886874377377)	('>100', 4.974613565085755)	('>500', 1.720810894668317)	('>1k', 1.5142554647323843)	('>5k', 0.23598678473691187)	('>10k+', 0.0)
BA19-S5_R2_001	(1.0, 25.650447595689403)	(2.0, 15.692532888654807)	(3.0, 10.596706634990342)	(4.0, 7.33388026883854)	(5.0, 5.155610499920026)	(6.0, 3.637185405362986)	(7.0, 2.6861296739560934)	(8.0, 2.082886576180572)	(9.0, 1.5588013702383454)	('>10', 13.44121103310216)	('>50', 3.0627188673509798)	('>100', 5.301704729487671)	('>500', 1.7250401297448517)	('>1k', 1.7170501507397407)	('>5k', 0.2805263188295142)	('>10k+', 0.07756785691412184)
BA19-WYS_R1_001	(1.0, 25.57302133809668)	(2.0, 14.648796090120772)	(3.0, 9.16358775473344)	(4.0, 6.017636707531115)	(5.0, 3.944118976871381)	(6.0, 2.8081392366236066)	(7.0, 2.13784716778917)	(8.0, 1.668228888043282)	(9.0, 1.3644840203964028)	('>10', 13.463724643749636)	('>50', 3.542769282212474)	('>100', 8.249613770940345)	('>500', 3.663751510754128)	('>1k', 3.338192370667212)	('>5k', 0.3223177518148356)	('>10k+', 0.09377048965559477)
BA19-WYS_R2_001	(1.0, 26.154658432263066)	(2.0, 14.184940631141624)	(3.0, 8.929955508001294)	(4.0, 5.8418228125816185)	(5.0, 3.887195401640943)	(6.0, 2.776386999256989)	(7.0, 2.0724641792273424)	(8.0, 1.6519949067983735)	(9.0, 1.3629703913369107)	('>10', 13.549849112393225)	('>50', 3.5715401888715097)	('>100', 8.180390506520617)	('>500', 3.836532197407395)	('>1k', 3.46591725207988)	('>5k', 0.34303307898905594)	('>10k+', 0.1903484014903111)
BA19-gam_R1_001	(1.0, 14.340026220490603)	(2.0, 6.694026637090798)	(3.0, 3.527796812181663)	(4.0, 2.1312754132926024)	(5.0, 1.437956006367612)	(6.0, 1.0963739529835486)	(7.0, 0.8703169644906895)	(8.0, 0.6989196879622899)	(9.0, 0.6074615652774435)	('>10', 7.374078595045133)	('>50', 2.624825480640936)	('>100', 9.099254277716632)	('>500', 7.5327289351255695)	('>1k', 25.36112392338229)	('>5k', 9.677172547280778)	('>10k+', 6.926662980671479)
BA19-gam_R2_001	(1.0, 14.247521665811139)	(2.0, 6.721918621403387)	(3.0, 3.6278580099207423)	(4.0, 2.171954684190348)	(5.0, 1.427798443716684)	(6.0, 1.0623995068381447)	(7.0, 0.819779730949238)	(8.0, 0.6815802436721146)	(9.0, 0.5760843282904273)	('>10', 7.183380640371142)	('>50', 2.539932752516572)	('>100', 9.14583261699884)	('>500', 7.54598321253109)	('>1k', 25.04249407659969)	('>5k', 9.478712641081927)	('>10k+', 7.726768825108536)
BD5-S5_R1_001	(1.0, 26.10493430306851)	(2.0, 15.286971623135553)	(3.0, 9.588050503814433)	(4.0, 6.130334140719024)	(5.0, 4.0503671306796445)	(6.0, 2.8654768050801542)	(7.0, 2.1592138170668305)	(8.0, 1.6514088049296882)	(9.0, 1.3463336373005088)	('>10', 15.963741715521287)	('>50', 5.1465460168118575)	('>100', 7.671720690189209)	('>500', 1.4035452218710849)	('>1k', 0.6313555898121804)	('>5k', 0.0)	('>10k+', 0.0)
BD5-S5_R2_001	(1.0, 26.302347695122858)	(2.0, 14.640650562139005)	(3.0, 9.242784739974311)	(4.0, 6.102193102361706)	(5.0, 4.039551250783467)	(6.0, 2.810926699338643)	(7.0, 2.199131198505314)	(8.0, 1.7292124768423769)	(9.0, 1.4638761638489768)	('>10', 15.889023138083916)	('>50', 5.072625782685682)	('>100', 8.159574266012404)	('>500', 1.4729515082208176)	('>1k', 0.834159337832167)	('>5k', 0.040992078248519505)	('>10k+', 0.0)
BD5-WYS_R1_001	(1.0, 23.513932184583833)	(2.0, 14.131159459601363)	(3.0, 9.027002452146915)	(4.0, 6.048597062172972)	(5.0, 4.184485364587245)	(6.0, 2.846124938030164)	(7.0, 2.1704905164777006)	(8.0, 1.7532492447074408)	(9.0, 1.524103288159475)	('>10', 15.097264836216068)	('>50', 4.373427255532766)	('>100', 8.569352448903054)	('>500', 3.1171712865059007)	('>1k', 3.3180312777847853)	('>5k', 0.24452933637338628)	('>10k+', 0.08107904821696647)
BD5-WYS_R2_001	(1.0, 24.043453491855153)	(2.0, 13.73392038044715)	(3.0, 8.675949977274255)	(4.0, 5.806051739156195)	(5.0, 3.9919120470512945)	(6.0, 2.9609363765723593)	(7.0, 2.1593578722786417)	(8.0, 1.666275341632511)	(9.0, 1.4526450484127145)	('>10', 15.19526230315224)	('>50', 4.2940260103953545)	('>100', 8.535220612731036)	('>500', 3.611059475915438)	('>1k', 3.4634900831915374)	('>5k', 0.22803433624683367)	('>10k+', 0.18240490368724746)
