geneID
Ceric.29G021900
Ceric.33G065500
Ceric.1Z082000
Ceric.12G051800
Ceric.15G037400
Ceric.12G052800
Ceric.16G027500
Ceric.15G037400 
Ceric.38G021500
Ceric.05G029400 
Ceric.14G063000
Ceric.37G052700  
Ceric.39G001800
Ceric.39G054900 
Ceric.08G048300
Ceric.11G071800
Ceric.12G051600 
Ceric.16G005300
Ceric.16G027500 
Ceric.27G057900
Ceric.27G042700
Ceric.30G028000
Ceric.34G033600
