"query","sum","numGenes","sum_corrected"
"Ceric.33G049200.1",7.756,30,0.258533333333333
"Ceric.03G063200.1",3.942,30,0.1314
"Ceric.22G030500.1",4.975,10,0.4975
"Ceric.38G046200.1",8.445,10,0.8445
"Ceric.33G016000.1",5.147,20,0.25735
"Ceric.26G039900.1",3.268,10,0.3268
"Ceric.04G069400.1",6.178,10,0.6178
"Ceric.26G010000.1",20.765,20,1.03825
"Ceric.31G036600.1",8.088,10,0.8088
"Ceric.02G095800.1",5.004,10,0.5004
"Ceric.18G076300.1",1.523,10,0.1523
"Ceric.11G079100.1",5.929,10,0.5929
"Ceric.07G019400.1",3.022,10,0.3022
"Ceric.26G066400.1",2.481,10,0.2481
"Ceric.01G002000.1",3.291,10,0.3291
"Ceric.30G060700.1",5.619,30,0.1873
"Ceric.02G100800.1",2.854,10,0.2854
"Ceric.28G006500.1",1.854,10,0.1854
"Ceric.01G018500.1",11.505,30,0.3835
"Ceric.1Z166400.1",6.163,10,0.6163
"Ceric.34G003800.1",6.088,10,0.6088
"Ceric.36G021500.1",4.194,10,0.4194
"hubs",3.383,22,0.153772727272727
