"query","sum","numGenes","sum_corrected"
"Ceric.01G002000.1",3.291,10,0.3291
"Ceric.38G046200.1",8.445,10,0.8445
"Ceric.30G060700.1",5.619,30,0.1873
"Ceric.22G030500.1",4.975,10,0.4975
"Ceric.07G019400.1",3.022,10,0.3022
"hubs",0,5,0
