"query","sum","numGenes","sum_corrected"
"Ceric.33G031700.1",7.656,10,0.7656
"Ceric.22G051200.1",8.073,10,0.8073
"Ceric.02G081900.1",4.999,20,0.24995
"Ceric.1Z166400.1",6.163,10,0.6163
"Ceric.24G015600.1",4.377,10,0.4377
"Ceric.03G065200.1",5.606,20,0.2803
"Ceric.39G000500.1",7.652,10,0.7652
"Ceric.23G021300.1",8.302,30,0.276733333333333
"Ceric.25G018800.1",14.054,60,0.234233333333333
"Ceric.29G067800.1",3.133,20,0.15665
"Ceric.09G052700.1",6.922,30,0.230733333333333
"hubs",3.928,11,0.357090909090909
