"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.03G029200.1","GO:0009107","lipoate biosynthetic process",5,1,0,0.0044,"BP",2.35654732351381
"Ceric.03G029200.1","GO:0019290","siderophore biosynthetic process",38,1,0.03,0.0328,"BP",1.48412615628832
"Ceric.05G057700.1","GO:0042823","pyridoxal phosphate biosynthetic process",5,1,0,0.0025,"BP",2.60205999132796
"Ceric.05G057700.1","GO:0042545","cell wall modification",70,1,0.03,0.0345,"BP",1.46218090492673
"Ceric.06G079300.1","GO:0006635","fatty acid beta-oxidation",7,1,0,0.00087,"BP",3.06048074738138
"Ceric.07G023000.1","GO:0007264","small GTPase-mediated signal transductio...",92,1,0.01,0.011,"BP",1.95860731484178
"Ceric.07G023000.1","GO:0006886","intracellular protein transport",194,1,0.02,0.024,"BP",1.61978875828839
"Ceric.08G028400.1","GO:0007264","small GTPase-mediated signal transductio...",92,2,0.06,0.0013,"BP",2.88605664769316
"Ceric.08G028400.1","GO:0006886","intracellular protein transport",194,2,0.12,0.0056,"BP",2.2518119729938
"Ceric.08G028400.1","GO:0006535","cysteine biosynthetic process from serin...",17,1,0.01,0.0106,"BP",1.97469413473523
"Ceric.08G028400.1","GO:0006913","nucleocytoplasmic transport",59,1,0.04,0.0363,"BP",1.44009337496389
"Ceric.08G035200.1","GO:0010215","cellulose microfibril organization",5,1,0,0.00062,"BP",3.20760831050175
"Ceric.08G035200.1","GO:0016049","cell growth",8,1,0,0.001,"BP",3
"Ceric.16G028400.1","GO:0009664","plant-type cell wall organization",47,2,0.05,0.00092,"BP",3.03621217265444
"Ceric.16G028400.1","GO:0051260","protein homooligomerization",7,1,0.01,0.00698,"BP",2.15614457737684
"Ceric.16G045700.1","GO:0009584","detection of visible light",3,1,0,0.0045,"BP",2.34678748622466
"Ceric.16G045700.1","GO:0009585","red, far-red light phototransduction",3,1,0,0.0045,"BP",2.34678748622466
"Ceric.16G045700.1","GO:0017006","protein-tetrapyrrole linkage",7,1,0.01,0.0105,"BP",1.97881070093006
"Ceric.16G045700.1","GO:0015693","magnesium ion transport",7,1,0.01,0.0105,"BP",1.97881070093006
