"hubGene","genes","cor"
"Ceric.38G030800.1","Ceric.38G030800.1",1
"Ceric.38G030800.1","Ceric.28G003100.1",0.828
"Ceric.38G030800.1","Ceric.30G047500.1",0.807
"Ceric.38G030800.1","Ceric.32G036100.1",0.795
"Ceric.38G030800.1","Ceric.36G031700.1",0.794
"Ceric.38G030800.1","Ceric.32G037700.1",0.784
"Ceric.38G030800.1","Ceric.1Z084300.1",0.776
"Ceric.38G030800.1","Ceric.19G018900.1",0.775
"Ceric.38G030800.1","Ceric.27G061300.1",0.774
"Ceric.38G030800.1","Ceric.11G069600.1",0.771
"Ceric.38G030800.1","Ceric.30G027700.1",0.768
"Ceric.38G030800.1","Ceric.36G031500.1",0.768
"Ceric.38G030800.1","Ceric.15G063700.1",0.763
"Ceric.38G030800.1","Ceric.18G056300.1",0.76
"Ceric.38G030800.1","Ceric.14G097200.1",0.751
"Ceric.38G030800.1","Ceric.22G056300.1",0.75
"Ceric.38G030800.1","Ceric.36G031400.1",0.749
"Ceric.38G030800.1","Ceric.17G049100.1",0.748
"Ceric.38G030800.1","Ceric.1Z084200.1",0.748
"Ceric.38G030800.1","Ceric.32G037000.1",0.748
"Ceric.30G051000.1","Ceric.30G051000.1",1
"Ceric.30G051000.1","Ceric.11G067500.1",0.74
"Ceric.30G051000.1","Ceric.29G073700.1",0.738
"Ceric.30G051000.1","Ceric.29G019400.1",0.722
"Ceric.30G051000.1","Ceric.29G017700.1",0.718
"Ceric.30G051000.1","Ceric.1Z293900.1",0.716
"Ceric.30G051000.1","Ceric.21G016900.1",0.716
"Ceric.30G051000.1","Ceric.04G023400.1",0.714
"Ceric.30G051000.1","Ceric.36G017200.1",0.713
"Ceric.30G051000.1","Ceric.17G072400.1",0.709
"Ceric.03G029200.1","Ceric.03G029200.1",1
"Ceric.03G029200.1","Ceric.12G074500.1",0.732
"Ceric.03G029200.1","Ceric.12G063300.1",0.713
"Ceric.03G029200.1","Ceric.22G015500.1",0.688
"Ceric.03G029200.1","Ceric.09G035000.1",0.632
"Ceric.03G029200.1","Ceric.38G055000.1",0.627
"Ceric.03G029200.1","Ceric.18G028800.1",0.599
"Ceric.03G029200.1","Ceric.37G013700.1",0.591
"Ceric.03G029200.1","Ceric.26G050500.1",0.586
"Ceric.03G029200.1","Ceric.04G077400.1",0.582
"Ceric.03G029200.1","Ceric.1Z128100.1",0.578
"Ceric.03G029200.1","Ceric.23G012200.1",0.574
"Ceric.03G029200.1","Ceric.27G069400.1",0.569
"Ceric.03G029200.1","Ceric.02G039500.1",0.558
"Ceric.03G029200.1","Ceric.10G037000.1",0.558
"Ceric.03G029200.1","Ceric.34G029100.1",0.555
